"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load","Midday On","Midday Off","Midday Load","School  On","School Off","School Load","PM Peak On","PM Peak Off","PM Peak Load","Evening On","Evening Off","Evening Load","Owl On","Owl Off","Owl Load"
"2-Clement to 32nd & Balboa Weekday",,,,,,,,,,,,,,,,,,,,,
"Market & Steuart NW","261","0","271","47","0","47","79","0","83","29","0","30","95","0","100","5","0","5","6","0","6"
"Market St&Drumm St N-NS/BZ","160","3","428","21","0","68","28","1","110","22","0","52","83","2","181","5","0","10","1","0","7"
"Market St&Front St N-NS/BZ","153","6","575","35","0","103","26","1","135","15","2","65","58","3","236","13","0","23","6","0","13"
"Sutter St&Sansome St NW-FS/BZ","530","31","1074","108","4","207","132","12","255","66","5","126","193","9","420","24","1","46","7","0","20"
"Sutter St&Kearny St NW-FS/BZ","355","25","1404","55","2","260","75","9","321","48","1","173","152","12","560","24","1","69","1","0","21"
"Sutter St&Stockton St NW-FS/BZ","307","61","1650","23","10","273","119","20","420","45","10","208","98","17","641","20","3","86","2","1","22"
"Sutter St&Powell St NW-FS/BZ","169","32","1787","19","4","288","53","10","463","29","7","230","59","10","690","8","1","93","1","0","23"
"Sutter St&Mason St NW-FS/BZ","38","52","1773","2","7","283","12","18","457","7","3","234","14","22","682","2","1","94","1","1","23"
"Sutter St&Taylor St NW-FS/BZ","70","69","1774","9","5","287","27","21","463","9","10","233","19","27","674","4","5","93","2","1","24"
"Sutter St&Jones St NW-FS/BZ","53","76","1751","13","6","294","19","16","466","6","12","227","12","37","649","2","2","93","1","3","22"
"Sutter St&Leavenworth St NW-FS/BZ","100","124","1727","35","5","324","32","29","469","11","19","219","20","56","613","1","14","80","1","1","22"
"Sutter St&Hyde St NW-FS/BZ","66","85","1708","19","16","327","23","26","466","10","11","218","12","28","597","1","4","77","1","0","23"
"Sutter St&Larkin St NW-FS/BZ","61","112","1657","22","25","324","20","30","456","6","15","209","11","38","570","1","4","74","1","0","24"
"Sutter St&Polk St NW-FS/BZ","98","113","1642","13","13","324","38","32","462","22","19","212","24","42","552","1","6","69","0","1","23"
"Sutter St&Van Ness Ave NE-NS/BZ","150","191","1601","26","44","306","50","57","455","25","26","211","42","52","542","5","10","64","2","2","23"
"Sutter St&Gough St NE-NS/BZ","64","163","1502","7","28","285","33","51","437","8","19","200","15","58","499","0","7","57","1","0","24"
"Sutter St&Octavia St NW-FS/BZ","43","83","1462","7","5","287","20","26","431","9","14","195","7","33","473","0","5","52","0","0","24"
"Sutter St&Laguna St NW-FS/BZ","25","57","1430","7","4","290","9","14","426","3","10","188","5","25","453","1","3","50","0","1","23"
"Sutter St&Buchanan St NE-NS/BZ","56","120","1366","2","16","276","24","47","403","14","15","187","12","38","427","1","2","49","3","2","24"
"Sutter St&Fillmore St NE-NS/BZ","100","199","1267","19","24","271","44","66","381","17","33","171","19","66","380","0","10","39","1","0","25"
"Sutter St&Steiner St NE-NS/BZ","19","46","1240","6","4","273","7","16","372","0","8","163","5","15","370","0","3","36","1","0","26"
