"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load","Midday On","Midday Off","Midday Load","School  On","School Off","School Load","PM Peak On","PM Peak Off","PM Peak Load","Evening On","Evening Off","Evening Load","Owl On","Owl Off","Owl Load"
"17-ParkMerced to SF State Weekday",,,,,,,,,,,,,,,,,,,,,
"West Portal Station N-FS","382","0","387","39","0","44","72","0","72","49","0","49","115","0","115","66","0","66","41","0","41"
"West Portal Ave&Vicente St N-NS","7","0","394","0","0","44","1","0","73","1","0","50","1","0","116","3","0","69","1","0","42"
"West Portal Ave&14th Ave N-NS/FL","70","3","461","3","0","47","25","0","98","10","0","60","18","1","133","11","1","79","3","1","44"
"15th Ave&West Portal Ave S-FS","2","0","463","0","0","47","1","0","99","0","0","60","1","0","134","0","0","79","0","0","44"
"Junipero Serra Blvd&Sloat Blvd SW","9","5","467","2","0","49","2","0","101","3","1","62","1","3","132","0","0","79","1","1","44"
"Junipero Serra Blvd&Ocean Ave NW-NS","14","13","468","1","2","48","4","4","101","5","1","66","3","4","131","1","2","78","0","0","44"
"Eucalyptus Dr&19th Ave NE-NS","9","19","458","0","12","36","4","1","104","2","1","67","1","3","129","1","2","77","1","0","45"
"20th Ave&Buckingham Way NW-NS","8","29","437","0","3","33","4","13","95","2","6","63","1","5","125","0","1","76","1","1","45"
"20th Ave&Macy SW-FS/FL","7","25","419","1","3","31","1","9","87","1","5","59","4","7","122","0","1","75","0","0","45"
"20th Ave&Winston Dr SW-FS","26","57","388","0","3","28","2","13","76","7","14","52","8","15","115","8","10","73","1","2","44"
"95 Buckingham Way NE-NS/BZ","1","10","379","0","1","27","0","1","75","1","1","52","0","4","111","0","2","71","0","1","43"
"175 Buckingham Way NE-NS/BZ","3","22","360","1","4","24","1","4","72","0","3","49","1","5","107","0","3","68","0","3","40"
"280 Buckingham Way SE-NS/BZ","2","30","332","1","0","25","1","6","67","0","5","44","0","11","96","0","7","61","0","1","39"
"Winston Dr&Buckingham Way S-FS/BZ","2","5","329","1","1","25","1","1","67","0","0","44","0","1","95","0","0","61","0","2","37"
"Winston Dr&20th Ave SE-FS/BZ","38","8","359","4","1","28","7","3","71","9","0","53","10","3","102","5","1","65","3","0","40"
"19th Ave&Holloway Ave NW-NS/SI","36","74","321","1","19","10","5","18","58","9","9","53","11","12","101","9","8","66","1","8","33"
"Crespi Dr&Varela Ave NE-NS/FL","1","9","313","0","0","10","0","1","57","0","0","53","0","4","97","1","2","65","0","2","31"
"Gonzalez Dr&Cardenas Ave NW-NS","1","8","306","1","0","11","0","1","56","0","2","51","0","2","95","0","1","64","0","2","29"
"Cambon Dr&Castelo Ave SW-FS","2","24","284","0","2","9","2","3","55","0","6","45","0","9","86","0","3","61","0","1","28"
"Cambon Dr&Font Blvd NW-NS","1","33","252","1","4","6","0","7","48","0","3","42","0","5","81","0","7","54","0","7","21"
"Font Blvd&Chumasero Dr S-FS","0","0","252","0","0","6","0","0","48","0","0","42","0","0","81","0","0","54","0","0","21"
"Font Blvd&Cambon Dr E-NS","36","91","197","8","3","11","13","18","43","9","20","31","5","26","60","1","20","35","0","4","17"
"Font Blvd&Gonzalez Dr E-NS","4","16","185","2","0","13","1","5","39","0","1","30","1","7","54","0","2","33","0","1","16"
"Font Blvd&Juan Bautista Cir E-NS","1","9","177","0","1","12","0","2","37","0","1","29","0","5","49","1","0","34","0","0","16"
"Juan Bautista Cir&Font Blvd NE-NS","2","10","169","0","0","12","1","1","37","1","1","29","0","5","44","0","3","31","0","0","16"
"Font Blvd&Serrano Dr E-NS","3","35","137","1","4","9","1","6","32","0","6","23","1","10","35","0","7","24","0","2","14"
"Font Blvd&Tapia Dr E-NS","3","11","129","0","0","9","1","5","28","0","2","21","2","3","34","0","0","24","0","1","13"
"Font Blvd&Arballo Dr E-NS","3","10","122","0","2","7","1","2","27","0","2","19","0","0","34","0","2","22","2","2","13"
