"Stop","Daily On","Daily Off","Daily Load","Owl On","Owl Off","Owl Load"
"91-OWL Clockwise to West Portal Weekday",,,,,,
"19th Ave&Holloway Ave NE-FS/SI","21","0","30","21","0","30"
"19th Ave&Winston Dr NE-FS","0","0","30","0","0","30"
"19th Ave&Eucalyptus Dr SE-NS/BZ","0","0","30","0","0","30"
"19th Ave&Ocean Ave SE-NS","0","0","30","0","0","30"
"19th Ave&Sloat Blvd NE-FS/BZ","1","0","31","1","0","31"
"19th Ave&Wawona St SE-NS/BZ","0","0","31","0","0","31"
"19th Ave&Vicente St SE-NS","0","0","31","0","0","31"
"19th Ave&Ulloa St NE-FS/BZ","0","0","31","0","0","31"
"19th Ave&Taraval St NE-FS/BZ","6","1","36","6","1","36"
"19th Ave&Santiago St NE-FS/BZ","0","0","36","0","0","36"
"19th Ave&Rivera St SE-NS/BZ","1","1","36","1","1","36"
"19th Ave&Quintara St SE-NS/BZ","1","0","37","1","0","37"
"19th Ave&Pacheco St SE-NS/BZ","0","0","37","0","0","37"
"19th Ave&Ortega St NE-FS/BZ","3","0","40","3","0","40"
"19th Ave&Noriega St SE-NS/BZ","4","1","43","4","1","43"
"19th Ave&Moraga St SE-NS/BZ","1","0","44","1","0","44"
"19th Ave&Lawton St SE-NS/BZ","0","0","44","0","0","44"
"19th Ave&Kirkham St NE-FS/BZ","0","0","44","0","0","44"
"19th Ave&Judah St SE-NS/BZ","3","1","46","3","1","46"
"19th Ave&Irving St SE-NS/BZ","2","0","48","2","0","48"
"19th Ave&Lincoln Way SE-NS/BZ","3","0","51","3","0","51"
"Park Presidio Blvd&Fulton St NE-FS","0","1","50","0","1","50"
"Park Presidio Blvd&Balboa St NE-FS","0","0","50","0","0","50"
"Park Presidio&Geary Blvd NE-FS","1","4","47","1","4","47"
"Park Presidio&California NE-FS","1","1","47","1","1","47"
"Richardson Ave&Francisco St NW-NS","0","1","46","0","1","46"
"Lombard St&Divisadero St SW-NS/BZ","0","1","45","0","1","45"
"Lombard St&Pierce St SW-NS/BZ","2","1","46","2","1","46"
"Lombard St&Fillmore St SW-NS/BZ","9","0","55","9","0","55"
"Lombard St&Laguna St SW-NS","0","0","55","0","0","55"
"Van Ness Ave&Chestnut St NE-FS/BZ","3","2","56","3","2","56"
"Van Ness Ave&Francisco St NE-FS","0","0","56","0","0","56"
"North Point St&Van Ness Ave SE-FS","8","2","62","8","2","62"
"North Point St&Polk St SE-FS/BZ","3","0","65","3","0","65"
"North Point St&Larkin St SW-NS/BZ","2","0","67","2","0","67"
"North Point St&Hyde St SW-NS/BZ","2","1","68","2","1","68"
"Columbus Ave&Bay St W-MB/BZ","19","10","77","19","10","77"
"Columbus Ave&Francisco St SW-FS","1","1","77","1","1","77"
"Columbus Ave&Taylor St S-FS/BZ","1","0","78","1","0","78"
"Columbus Ave&Lombard St SW-FS/BZ","2","1","79","2","1","79"
"Columbus Ave&Filbert St W-NS/BZ","3","1","81","3","1","81"
"Columbus Ave&Union St NW-NS/BZ","3","0","84","3","0","84"
"Stockton St&Columbus Ave SW-FS/BZ","22","2","104","22","2","104"
"Stockton St&Pacific Ave W-MB/BB","15","1","118","15","1","118"
"Stockton St&Washington St W-MB","7","1","124","7","1","124"
"Stockton St&Sacramento St W-MB","10","3","131","10","3","131"
"Stockton St&Sutter St NW-NS/BB","9","10","130","9","10","130"
"Stockton St&Geary Blvd NW-NS/SI","8","15","123","8","15","123"
"4th St&Market St S-FS/BZ","10","15","118","10","15","118"
"4th St&Mission St S-FS/BZ","25","31","112","25","31","112"
"4th St&Howard St S-FS/BZ","2","2","112","2","2","112"
"4th St&Folsom St S-FS/BZ","1","6","107","1","6","107"
"4th St&Brannan St S-FS","0","12","95","0","12","95"
"4th St&Townsend St W-NS","10","7","98","10","7","98"
"4th St&Berry St S-FS","0","0","98","0","0","98"
