"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load","Midday On","Midday Off","Midday Load","School  On","School Off","School Load","PM Peak On","PM Peak Off","PM Peak Load","Evening On","Evening Off","Evening Load","Night On","Night Off","Night Load"
"45-Union-Stockton to Caltrain Weekday",,,,,,,,,,,,,,,,,,,,,
"Lyon St&Greenwich St SW-FS/BZ","304","0","718","38","0","91","73","0","230","35","0","141","86","0","181","40","0","42","32","0","33"
"Union St&Lyon St SE-FS","9","0","727","1","0","92","5","0","235","2","0","143","1","0","182","0","0","42","0","0","33"
"Union St&Baker St SW-NS","36","0","763","14","0","106","9","0","244","4","0","147","7","0","189","2","0","44","0","0","33"
"Union St&Divisadero St SW-NS","31","0","794","3","0","109","10","0","254","5","0","152","10","0","199","3","0","47","0","0","33"
"Union St&Pierce St SW-NS/BZ","78","0","872","21","0","130","28","0","282","13","0","165","10","0","209","4","0","51","2","0","35"
"Union St&Steiner St ** MI","2","4","870","0","0","130","1","0","283","0","0","165","0","0","209","1","4","48","0","0","35"
"Union St&Fillmore St SE-FS/BZ","383","17","1227","63","3","190","115","8","390","71","3","233","82","1","288","37","2","78","15","0","48"
"Union St&Buchanan St SW-NS/BZ","176","6","1397","23","0","213","52","2","440","37","2","268","40","2","326","15","0","93","9","0","57"
"Union St&Laguna St SW-NS/BZ","174","27","1544","40","5","248","57","8","489","23","4","287","35","9","352","13","0","106","6","1","62"
"Union St&Gough St SW-NS/BZ","201","18","1727","47","4","291","66","6","549","28","4","311","38","2","388","15","2","119","7","0","69"
"Union St&Van Ness Ave SW-NS/BZ","332","166","1893","89","19","361","100","48","601","40","29","322","62","39","411","22","15","126","19","16","72"
"Union St&Polk St SW-NS/BZ","252","64","2081","57","3","415","84","19","666","43","14","351","38","20","429","24","7","143","6","1","77"
"Union St&Larkin St SE-FS/BZ","82","28","2135","32","2","445","31","14","683","8","4","355","8","5","432","2","2","143","1","1","77"
"Union St&Hyde St SW-NS/BZ","90","82","2143","32","8","469","28","25","686","10","13","352","13","21","424","4","12","135","3","3","77"
"Union St&Leavenworth St SW-NS","48","58","2133","20","6","483","20","18","688","5","15","342","2","13","413","0","4","131","1","2","76"
"Union St&Jones St SW-NS/BZ","33","37","2129","10","4","489","12","14","686","5","5","342","5","9","409","1","4","128","0","1","75"
"Union St&Taylor St SW-NS","17","33","2113","1","3","487","4","11","679","6","6","342","4","11","402","2","1","129","0","1","74"
"Union St&Mason St SW-NS/BZ","53","49","2117","20","2","505","18","10","687","5","12","335","6","12","396","2","8","123","2","5","71"
"Union St&Columbus Ave S-MB/BZ","215","265","2067","42","39","508","69","89","667","36","52","319","47","53","390","11","25","109","10","7","74"
"Stockton St&Columbus Ave SW-FS/BZ","582","215","2434","93","33","568","188","84","771","105","44","380","115","35","470","45","15","139","36","4","106"
"Stockton St&Pacific Ave W-MB/BB","745","135","3044","105","20","653","319","54","1036","130","26","484","140","29","581","31","3","167","20","3","123"
"Stockton St&Washington St W-MB","590","178","3456","84","21","716","246","85","1197","102","32","554","113","30","664","32","6","193","13","4","132"
"Stockton St&Sacramento St W-MB","387","263","3580","75","54","737","140","112","1225","63","40","577","68","37","695","29","12","210","12","8","136"
"Stockton St&Sutter St NW-NS/BB","135","368","3347","36","99","674","44","131","1138","21","52","546","28","54","669","3","16","197","3","16","123"
"Stockton St&Geary Blvd NW-NS/SI","132","661","2818","31","88","617","36","264","910","23","116","453","28","126","571","9","42","164","5","25","103"
