"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load","Midday On","Midday Off","Midday Load","School  On","School Off","School Load","PM Peak On","PM Peak Off","PM Peak Load","Evening On","Evening Off","Evening Load","Owl On","Owl Off","Owl Load"
"Bay Shore Blvd&Sunnydale Ave","333","0","340","99","0","101","99","0","99","36","0","36","70","0","72","16","0","19","13","0","13"
"Bayshore&Arleta/Blanken","662","5","997","195","2","294","176","1","274","101","0","137","164","2","234","10","0","29","16","0","29"
"Third Street&Le Conte Ave","202","112","1087","83","20","357","53","38","289","25","16","146","25","31","228","8","6","31","8","1","36"
"Third Street&Gilman Ave NE/FS SI","720","99","1708","191","38","510","181","21","449","136","14","268","167","24","371","27","2","56","18","0","54"
"Third Street&Carroll Ave NE/FS SI","190","62","1836","41","25","526","76","22","503","25","6","287","41","6","406","7","0","63","0","3","51"
"Third Street&Van Dyke Ave NE/FS SI","530","183","2183","181","31","676","143","40","606","69","37","319","104","58","452","19","13","69","14","4","61"
"Third Street&Revere/Shafter","378","174","2387","138","23","791","115","50","671","54","43","330","52","50","454","11","8","72","8","0","69"
"Third Street&Oakdale/Palou","655","447","2595","237","104","924","224","123","772","61","83","308","88","117","425","18","16","74","27","4","92"
"Third Street&Kirkwood/La Salle","354","139","2810","132","15","1041","100","34","838","28","30","306","51","50","426","10","10","74","33","0","125"
"Third Street&Hudson/Innes Ave","289","133","2966","110","24","1127","82","35","885","38","31","313","40","33","433","14","8","80","5","2","128"
"Third Street&Evans Ave NE/FS SI","588","476","6044","70","81","1116","87","71","901","61","32","342","63","43","453","11","8","83","2","3","127"
"Third Street&Marin St SE/NS SI","340","200","6184","30","54","1092","42","20","923","41","8","375","52","6","499","2","1","84","3","11","119"
"Third Street&23rd St NE/FS SI","598","334","6448","74","74","1092","77","49","951","55","21","409","75","17","557","14","4","94","4","2","121"
"Third Street&Evans Ave NE/FS SI","0","0","0",,,,,,,,,,,,,,,,,,
"Third Street&Marin St SE/NS SI","0","0","0",,,,,,,,,,,,,,,,,,
"Third Street&23rd St NE/FS SI","0","0","0",,,,,,,,,,,,,,,,,,
"Third Street&20th St NE/FS SI","349","430","3143","95","167","1020","84","138","897","69","47","431","87","60","584","10","8","96","4","10","115"
"Third Street&Mariposa St NE/FS SI","185","50","3278","79","30","1069","54","7","944","19","5","445","23","3","604","8","2","102","2","3","114"
"Third Street&Gene Friend Wy NE/FS","311","40","3549","63","24","1108","65","2","1007","60","4","501","111","6","709","12","2","112","0","2","112"
"Third Street&Mission Rock St NE/FS","65","27","3587","7","3","1112","8","8","1007","17","6","512","28","8","729","4","2","114","1","0","113"
"King St&6th St **","0","0","0","0","0","0",,,,,,,,,,,,,"0","0","0"
"King St&4th St W-NS/SI","0","0","0","0","0","0",,,,,,,,,,,,,"0","0","0"
"4th Street & King Street","599","828","3358","217","278","1051","163","265","905","67","104","475","128","146","711","18","16","116","6","19","100"
"King St&2nd St W-NS/SI","454","97","3715","76","30","1097","112","26","991","82","17","540","157","20","848","25","0","141","2","4","98"
"Embarcadero&Brannan St","242","46","3911","64","15","1146","89","11","1069","33","4","569","44","14","878","7","2","146","5","0","103"
"Embarcadero&Folsom St","248","249","3910","25","106","1065","79","62","1086","44","30","583","88","39","927","12","6","152","0","6","97"
"Tunnel Entry Point Inbound Nea","0","1","3909","0","0","1065","0","0","1086","0","0","583","0","1","926","0","0","152","0","0","97"
"EMBARCADERO STATION OB","1136","1163","3882","157","344","878","251","275","1062","152","183","552","486","285","1127","71","42","181","19","34","82"
"Montgomery Station Outbound","1039","693","4228","79","222","735","237","211","1088","162","101","613","476","116","1487","79","23","237","6","20","68"
"Powell Station Outbound","1435","856","4807","143","121","757","506","345","1249","232","138","707","413","200","1700","131","36","332","10","16","62"
"Civic Center Station Outbound","824","736","4895","227","208","776","233","287","1195","108","81","734","194","118","1776","46","34","344","16","8","70"
"Van Ness Station OB","635","662","4868","104","185","695","206","198","1203","127","80","781","162","152","1786","30","31","343","6","16","60"
"Church St Station Outbound","380","697","4551","96","69","722","119","155","1167","44","98","727","94","296","1584","22","71","294","5","8","57"
"Castro Station Outbound","309","1198","3662","83","86","719","78","269","976","36","184","579","95","542","1137","12","109","197","5","8","54"
"Forest Hill Station Outbound","217","513","3366","55","80","694","75","117","934","45","77","547","33","196","974","8","31","174","1","12","43"
"West Portal Station N-NS","687","940","3113","165","132","727","216","234","916","150","175","522","133","328","779","11","66","119","12","5","50"
"West Portal Ave&Ulloa St","21","34","3100","3","4","726","5","2","919","3","0","525","4","20","763","6","8","117","0","0","50"
"West Portal Ave&14th Ave N-NS/SI","128","161","3067","22","20","728","37","57","899","39","24","540","26","51","738","3","7","113","1","2","49"
"Saint Francis Circle NW-NS/SI","145","251","2961","34","48","714","41","54","886","34","46","528","31","86","683","2","13","102","3","4","48"
"Junipero Serra Blvd&Ocean Ave NW-NS","175","244","2892","46","57","703","56","60","882","45","42","531","20","71","632","4","9","97","4","5","47"
"Ocean Ave&San Leandro Way W-NS/SI","65","69","2888","15","13","705","28","23","887","16","16","531","6","13","625","0","4","93","0","0","47"
"Ocean Ave&Aptos Ave W-NS/SI","130","124","2894","20","50","675","12","27","872","87","19","599","11","20","616","0","4","89","0","4","43"
"Ocean Ave&Cerritos Ave W-NS/SI","35","92","2837","11","9","677","10","27","855","10","20","589","3","33","586","0","1","88","1","2","42"
"Ocean Ave&Victoria St SW-NS/SI","155","262","2730","65","38","704","34","65","824","45","71","563","7","70","523","1","14","75","3","4","41"
"Ocean Ave&Jules Ave SW-NS/SI","299","496","2533","122","99","727","67","132","759","61","100","524","35","149","409","3","14","64","11","2","50"
"Ocean Ave&Miramar Ave SW-NS/SI","126","364","2295","45","30","742","38","123","674","22","101","445","16","91","334","3","15","52","2","4","48"
"Ocean Ave&Lee St SW-NS/SI","118","1057","1356","48","324","466","37","337","374","14","227","232","11","144","201","1","17","36","7","8","47"
"City College Pedestrian Bridge SW","64","325","1095","3","121","348","44","111","307","9","40","201","6","43","164","2","3","35","0","7","40"
"METRO TERMINAL-NS/SI","0","1069","26","0","345","3","0","298","9","0","198","3","0","154","10","0","34","1","0","40","0"
"Total Passenger Boardings ","16415","16138",,"3750","3749",,"4439","4430",,"2562","2559",,"3920","3912",,"698","700",,"283","283",
"Subject to disclaimer at www.sfmta.com/tepdata"
,,,,,,,,,,,,,,,,,,,,,

