"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load","Midday On","Midday Off","Midday Load","School  On","School Off","School Load","PM Peak On","PM Peak Off","PM Peak Load","Evening On","Evening Off","Evening Load","Owl On","Owl Off","Owl Load"
"4-Sutter to 6th Avenue & California Weekday",,,,,,,,,,,,,,,,,,,,,
"Sutter St&Sansome St NW-FS/BZ","273","0","276","88","0","88","8","0","10",,,,"148","0","149","18","0","18","11","0","11"
"Sutter St&Kearny St NW-FS/BZ","111","2","385","20","0","108","16","0","26",,,,"62","1","210","12","1","29","1","0","12"
"Sutter St&Stockton St NW-FS/BZ","78","6","457","12","1","119","3","0","29",,,,"57","4","263","6","0","35","0","1","11"
"Sutter St&Powell St NW-FS/BZ","43","9","491","10","2","127","3","1","31",,,,"25","6","282","4","0","39","1","0","12"
"Sutter St&Mason St NW-FS/BZ","21","13","499","5","6","126","2","1","32",,,,"12","5","289","1","1","39","1","0","13"
"Sutter St&Taylor St NW-FS/BZ","16","14","501","3","1","128","1","0","33",,,,"12","11","290","0","2","37","0","0","13"
"Sutter St&Jones St NW-FS/BZ","9","27","483","5","4","129","2","3","32",,,,"2","17","275","0","2","35","0","1","12"
"Sutter St&Leavenworth St NW-FS/BZ","31","30","484","19","5","143","4","0","36",,,,"7","20","262","1","5","31","0","0","12"
"Sutter St&Hyde St NW-FS/BZ","15","30","469","7","5","145","2","2","36",,,,"5","21","246","0","0","31","1","2","11"
"Sutter St&Larkin St NW-FS/BZ","22","34","457","10","10","145","3","0","39",,,,"9","19","236","0","5","26","0","0","11"
"Sutter St&Polk St NW-FS/BZ","14","28","443","1","5","141","1","4","36",,,,"9","16","229","2","2","26","1","1","11"
"Sutter St&Van Ness Ave NE-NS/BZ","42","70","415","16","25","132","3","9","30",,,,"21","32","218","1","4","23","1","0","12"
"Sutter St&Gough St NE-NS/BZ","11","45","381","5","13","124","1","2","29",,,,"3","26","195","0","3","20","2","1","13"
"Sutter St&Octavia St NW-FS/BZ","5","17","369","1","2","123","1","0","30",,,,"3","13","185","0","2","18","0","0","13"
"Sutter St&Laguna St NW-FS/BZ","8","15","362","3","4","122","2","1","31",,,,"2","7","180","0","2","16","1","1","13"
"Sutter St&Buchanan St NE-NS/BZ","10","38","334","3","9","116","0","6","25",,,,"6","21","165","1","2","15","0","0","13"
"Sutter St&Fillmore St NE-NS/BZ","23","59","298","7","12","111","6","6","25",,,,"9","34","140","1","5","11","0","2","11"
"Sutter St&Steiner St NE-NS/BZ","6","17","287","2","5","108","3","0","28",,,,"1","10","131","0","2","9","0","0","11"
"Sutter St&Scott St NE-NS/BZ","6","17","276","3","5","106","0","4","24",,,,"3","8","126","0","0","9","0","0","11"
"Sutter St&Divisadero St NE-NS/BZ","11","55","232","3","26","83","0","9","15",,,,"7","17","116","0","2","7","1","1","11"
"Sutter St&Baker St NE-NS/BZ","6","8","230","4","0","87","0","0","15",,,,"2","8","110","0","0","7","0","0","11"
"Presidio Ave&Sutter St SW-FS/BZ","2","35","197","1","11","77","0","3","12",,,,"1","14","97","0","3","4","0","4","7"
"Presidio Ave&Pine St SE-NS","0","5","192","0","1","76","0","0","12",,,,"0","4","93","0","0","4","0","0","7"
"California St&Presidio Ave NW-FS","40","33","205","7","18","65","0","0","12","5","0","7","25","13","107","1","1","4","2","1","10"
"California St&Laurel St NE-NS/BZ","9","20","194","2","8","59","2","3","11","0","0","7","5","8","104","0","1","3","0","0","10"
"California St&Spruce St NE-NS/BZ","8","24","178","1","7","53","0","0","11","1","1","7","6","14","96","0","1","2","0","1","9"
"California St&Maple St NW-FS/BZ","3","19","162","1","11","43","0","3","8","0","0","7","2","3","95","0","0","2","0","2","7"
"California St&Cherry St NW-FS/BZ","3","10","155","0","6","37","0","1","7","2","0","9","1","3","93","0","0","2","0","0","7"
"California St&Arguello Blvd NW-FS","1","25","131","0","8","29","0","1","6","0","2","7","1","13","81","0","1","1","0","0","7"
