"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load","Midday On","Midday Off","Midday Load","School  On","School Off","School Load","PM Peak On","PM Peak Off","PM Peak Load","Evening On","Evening Off","Evening Load","Owl On","Owl Off","Owl Load"
"28-19th Avenue to Daly City BART Weekday",,,,,,,,,,,,,,,,,,,,,
"Marina Blvd&Laguna St SW-NS-BZ","24","8","1641","11","5","252","7","1","598","0","0","310","3","2","290","3","0","116","0","0","75"
"Laguna St&Chestnut St NW-NS/BZ","108","8","1741","4","0","256","9","4","603","83","3","390","7","0","297","4","0","120","1","1","75"
"Lombard St&Fillmore St NE-NS/BZ","18","0","1759","2","0","258","4","0","607","3","0","393","3","0","300","4","0","124","2","0","77"
"Lombard St&Pierce St NE-NS/BZ","11","0","1770","2","0","260","0","0","607","2","0","395","3","0","303","4","0","128","0","0","77"
"Lombard St&Divisadero St NW-FS/BZ","16","0","1786","3","0","263","0","0","607","5","0","400","7","0","310","1","0","129","0","0","77"
"Richardson Ave&Francisco St SE-NS","10","3","1793","3","0","266","0","3","604","0","0","400","5","0","315","2","0","131","0","0","77"
"GG Bridge Parking Lot N-NS","22","20","1795","1","1","266","10","12","602","7","1","406","4","5","314","0","1","130","0","0","77"
"GGBR&Merchant Rd N-NS","46","7","1834","18","1","283","7","6","603","2","0","408","12","0","326","2","0","132","5","0","82"
"Park Presidio&California SW-FS","222","68","1988","47","5","325","78","10","671","21","14","415","54","25","355","14","7","139","8","7","83"
"Park Presidio&Geary Blvd SW-FS","497","155","2330","93","17","401","136","24","783","58","48","425","117","38","434","41","14","166","52","14","121"
"Park Presidio Blvd&Balboa St SW-FS","158","50","2438","42","8","435","42","9","816","33","17","441","31","11","454","7","4","169","3","1","123"
"Park Presidio Blvd&Fulton St NW-NS","246","99","2585","70","21","484","92","36","872","26","18","449","39","17","476","15","3","181","4","4","123"
"19th Ave&Lincoln Way SW-FS/BZ","164","148","2601","43","10","517","51","58","865","21","29","441","37","38","475","7","11","177","5","2","126"
"19th Ave&Irving St NW-NS/BZ","289","202","2688","23","21","519","131","85","911","44","47","438","68","34","509","21","10","188","2","5","123"
"19th Ave&Judah St SW-FS/BZ","341","163","2866","110","25","604","110","42","979","38","31","445","55","41","523","15","15","188","13","9","127"
"19th Ave&Kirkham St NW-NS/BZ","22","49","2839","6","6","604","5","8","976","2","16","431","4","10","517","3","6","185","2","3","126"
