"Stop","Daily On","Daily Off","Daily Load","Owl On","Owl Off","Owl Load"
"Van Ness Ave&Turk St NE-FS/BZ","2","5","86","2","5","86"
"Van Ness Ave&Eddy St NE-FS/BZ","1","4","83","1","4","83"
"Van Ness Ave&O'Farrell St NE-FS","9","7","85","9","7","85"
"Van Ness Ave&Geary Blvd **-MI","0","2","83","0","2","83"
"Van Ness Ave&Post St E-MB/BB","1","8","76","1","8","76"
"Van Ness Ave&Sutter St NE-FS/BZ","5","7","74","5","7","74"
"Van Ness Ave&California St NE-FS","1","19","56","1","19","56"
"Van Ness Ave&Clay St NE-FS/BZ","1","2","55","1","2","55"
"Van Ness Ave&Jackson St NE-FS/BZ","3","1","57","3","1","57"
"Van Ness Ave&Broadway NE-FS/BZ","1","2","56","1","2","56"
"Van Ness Ave&Union St SE-NS/BZ","0","7","49","0","7","49"
"Van Ness Ave&Greenwich St NE-FS","0","3","46","0","3","46"
"Van Ness Ave&Chestnut St NE-FS/BZ","1","9","38","1","9","38"
"Van Ness Ave&Francisco St NE-FS","0","0","38","0","0","38"
"Van Ness Ave&North Point St NE-FS","0","0","38","0","0","38"
"Van Ness Ave&North Point St SW-FS","0","34","4","0","34","4"
"Total Passenger Boardings ","182","179",,"182","179",
"Subject to disclaimer at www.sfmta.com/tepdata",,,,,,

