"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load","Midday On","Midday Off","Midday Load","PM Peak On","PM Peak Off","PM Peak Load"
"28L-19th Avenue Limited to California & Park Presidio Weekday",,,,,,,,,,,,
"Daly City Bart Station NW-NS","397","0","397","247","0","247","132","0","132","18","0","18"
"Junipero Serra Blvd&Palmetto Av -FS","0","0","397","0","0","247","0","0","132","0","0","18"
"Junipero Serra Blvd&Brotherhd-NE-FS","0","0","397","0","0","247","0","0","132","0","0","18"
"19th Ave&Junipero Serra Blvd N-FS","0","0","397","0","0","247","0","0","132","0","0","18"
"19th Ave&Banbury Dr SE-NS","0","0","397","0","0","247","0","0","132","0","0","18"
"19th Ave&Holloway Ave NE-FS/BZ","205","181","421","79","149","177","111","29","214","15","3","30"
"19th Ave&Winston Dr NE-FS","64","38","447","16","9","184","44","26","232","4","3","31"
"19th Ave&Eucalyptus Dr SE-NS/BZ","80","19","508","13","15","182","61","4","289","6","0","37"
"19th Ave&Ocean Ave SE-NS","1","1","508","0","1","181","1","0","290","0","0","37"
"19th Ave&Sloat Blvd NE-FS/BZ","29","8","529","14","2","193","13","5","298","2","1","38"
"19th Ave&Wawona St SE-NS/BZ","0","0","529","0","0","193","0","0","298","0","0","38"
"19th Ave&Vicente St SE-NS","3","1","531","0","0","193","3","1","300","0","0","38"
"19th Ave&Ulloa St NE-FS/BZ","0","2","529","0","1","192","0","1","299","0","0","38"
"19th Ave&Taraval St NE-FS/BZ","69","64","534","26","19","199","36","38","297","7","7","38"
"19th Ave&Santiago St NE-FS/BZ","6","0","540","3","0","202","3","0","300","0","0","38"
"19th Ave&Rivera St SE-NS/BZ","2","0","542","1","0","203","1","0","301","0","0","38"
"19th Ave&Quintara St SE-NS/BZ","56","93","505","18","57","164","34","32","303","4","4","38"
"19th Ave&Pacheco St SE-NS/BZ","0","1","504","0","0","164","0","1","302","0","0","38"
"19th Ave&Ortega St NE-FS/BZ","2","2","504","2","2","164","0","0","302","0","0","38"
"19th Ave&Noriega St SE-NS/BZ","25","40","489","14","9","169","11","27","286","0","4","34"
"19th Ave&Moraga St SE-NS/BZ","0","0","489","0","0","169","0","0","286","0","0","34"
"19th Ave&Lawton St SE-NS/BZ","1","0","490","0","0","169","0","0","286","1","0","35"
"19th Ave&Kirkham St NE-FS/BZ","2","0","492","1","0","170","0","0","286","1","0","36"
"19th Ave&Judah St SE-NS/BZ","39","115","416","26","27","169","12","77","221","1","11","26"
"19th Ave&Irving St SE-NS/BZ","2","2","416","2","2","169","0","0","221","0","0","26"
"19TH AVE & LINCOLN WAY SE-NS/BZ","59","60","415","22","13","178","33","42","212","4","5","25"
"Park Presidio Blvd&Fulton St NE-FS","13","52","376","5","18","165","7","31","188","1","3","23"
"Park Presidio Blvd&Balboa St NE-FS","5","42","339","3","14","154","2","25","165","0","3","20"
"Park Presidio&Geary Blvd NE-FS","7","217","129","2","96","60","5","108","62","0","13","7"
"Park Presidio&California NE-FS","0","129","0","0","60","0","0","62","0","0","7","0"
"Total Passenger Boardings ","1067","1067",,"494","494",,"509","509",,"64","64",
"Subject to disclaimer at www.sfmta.com/tepdata",,,,,,,,,,,,
"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load","School On","School Off","School Load"
"28L-19th Avenue Limited to Daly City BART Weekday",,,,,,,,,,,,
"Park Presidio&California SW-FS","76","0","79","31","0","32","45","0","47"
"Park Presidio&Geary Blvd SW-FS","138","2","215","48","0","80","90","2","135"
"Park Presidio Blvd&Balboa St SW-FS","30","0","245","15","0","95","15","0","150"
"Park Presidio Blvd&Fulton St NW-NS","39","6","278","25","0","120","14","6","158"
"19th Ave&Lincoln Way SW-FS/BZ","36","30","284","14","10","124","22","20","160"
"19th Ave&Irving St NW-NS/BZ","0","0","284","0","0","124","0","0","160"
"19th Ave&Judah St SW-FS/BZ","68","25","327","34","6","152","34","19","175"
"19th Ave&Kirkham St NW-NS/BZ","0","0","327","0","0","152","0","0","175"
"19th Ave&Lawton St SW-FS/BZ","1","0","328","1","0","153","0","0","175"
"19th Ave&Moraga St NW-NS/BZ","0","0","328","0","0","153","0","0","175"
"19th Ave&Noriega St SW-FS/BZ","32","20","340","21","7","167","11","13","173"
"19th Ave&Ortega St SW-FS/BZ","0","0","340","0","0","167","0","0","173"
"19th Ave&Pacheco St SW-FS/BZ","0","0","340","0","0","167","0","0","173"
"19th Ave&Quintara St SW-FS/BZ","65","43","362","14","26","155","51","17","207"
"19th Ave&Rivera St SW-FS/BZ","0","1","361","0","1","154","0","0","207"
"19th Ave&Santiago St NW-NS/BZ","1","0","362","0","0","154","1","0","208"
"19th Ave&Taraval St NW-NS/BZ","49","55","356","21","22","153","28","33","203"
"19th Ave&Ulloa St NW-NS/BZ","1","3","354","0","0","153","1","3","201"
"19th Ave&Vicente St SW-FS/BZ","0","0","354","0","0","153","0","0","201"
"19th Ave&Wawona St NW-NS/BZ","0","0","354","0","0","153","0","0","201"
"19th Ave&Sloat Blvd SW-FS/BZ","4","41","317","1","15","139","3","26","178"
"19th Ave&Ocean Ave NW-NS","0","0","317","0","0","139","0","0","178"
"19th Ave&Eucalyptus Dr NW-NS-BZ","11","42","286","1","29","111","10","13","175"
"19th Ave&Winston Dr NW-NS/SI","48","76","258","5","9","107","43","67","151"
"19th Ave&Holloway Ave NW-NS/FL","92","120","230","11","79","39","81","41","191"
"19th Ave&Junipero Serra Blvd W-NS","0","1","229","0","0","39","0","1","190"
"Junipero Serra Blvd & Font Blvd NW","0","0","229","0","0","39","0","0","190"
"J. Serra at S. F. Golf Club SW-FS","0","0","229","0","0","39","0","0","190"
"Daly City Bart Station NW-NS","0","229","0","0","39","0","0","190","0"
"Total Passenger Boardings ","691","694",,"242","243",,"449","451",
"Subject to disclaimer at www.sfmta.com/tepdata",,,,,,,,,,,,

