"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load","Midday On","Midday Off","Midday Load","School  On","School Off","School Load","PM Peak On","PM Peak Off","PM Peak Load","Evening On","Evening Off","Evening Load","Owl On","Owl Off","Owl Load"
"12-Folsom-Pacific to Jackson & Fillmore Weekday",,,,,,,,,,,,,,,,,,,,,
"26th St&Mission St SE-FS/BZ","293","1","304","105","0","108","79","0","80","34","0","35","56","1","60","13","0","14","6","0","7"
"26th St&South Van Ness Ave SW-NS","26","0","330","13","0","121","5","0","85","4","0","39","1","0","61","1","0","15","2","0","9"
"26th St&Folsom St SW-NS","157","18","469","84","3","202","26","3","108","15","3","51","20","9","72","5","0","20","7","0","16"
"Folsom St&25th St SE-NS","76","3","542","33","1","234","23","1","130","9","0","60","8","1","79","1","0","21","2","0","18"
"Folsom St&24th St NE-FS/BZ","238","14","766","112","5","341","62","3","189","19","0","79","30","6","103","7","0","28","8","0","26"
"Folsom St&22nd St NE-FS","136","31","871","62","15","388","41","5","225","11","6","84","18","4","117","2","1","29","2","0","28"
"Folsom St&20th St SE-NS","202","83","990","92","57","423","46","10","261","27","6","105","24","6","135","2","2","29","11","2","37"
"Folsom St&18th St SE-NS","79","29","1040","14","7","430","22","8","275","19","3","121","17","7","145","2","3","28","5","1","41"
"Folsom St&16th St NE-FS/BZ","89","151","978","21","86","365","26","20","281","13","19","115","24","15","154","4","3","29","1","8","34"
"Folsom St&14th St SE-NS","162","68","1072","18","11","372","65","31","315","27","11","131","39","12","181","11","2","38","2","1","35"
"Folsom St&11th St E-FS/BZ","47","72","1047","14","24","362","14","22","307","4","12","123","13","10","184","2","3","37","0","1","34"
"Folsom St&9th St E-FS/BZ","57","48","1056","9","18","353","12","17","302","3","5","121","28","6","206","4","2","39","1","0","35"
"Folsom St&8th St E-FS/BZ","26","25","1057","8","8","353","3","4","301","2","3","120","12","9","209","0","0","39","1","1","35"
"Folsom St&7th St S-NS/BZ","65","64","1058","25","18","360","12","16","297","7","9","118","18","14","213","2","4","37","1","3","33"
"Folsom St&6th St E-FS/BZ","46","51","1053","19","16","363","12","13","296","3","2","119","8","15","206","2","3","36","2","2","33"
"Folsom St&5th St E-FS/BZ","43","76","1020","22","19","366","9","27","278","4","13","110","7","11","202","0","3","33","1","3","31"
"Folsom St&4th St E-FS/BZ","62","86","996","19","31","354","26","23","281","6","13","103","8","16","194","3","2","34","0","1","30"
"Folsom St&3rd St E-FS/BZ","32","151","877","13","59","308","8","42","247","5","11","97","5","32","167","1","2","33","0","5","25"
"Folsom St&2nd St E-FS/BZ","31","97","811","1","54","255","2","20","229","1","8","90","23","9","181","4","3","34","0","3","22"
"Folsom St&1st St E-FS/BZ","10","44","777","4","22","237","0","9","220","3","4","89","2","7","176","0","2","32","1","0","23"
"Folsom St&Main St S-NS/BZ","9","67","719","4","34","207","1","10","211","2","6","85","1","14","163","1","0","33","0","3","20"
"The Embarcadero&Folsom St NE","38","17","740","2","5","204","3","5","209","2","4","83","27","2","188","4","1","36","0","0","20"
"The Embarcadero&Howard St NE-FS","8","21","727","0","8","196","2","8","203","0","1","82","5","4","189","1","0","37","0","0","20"
"The Embarcadero&Mission St SE-NS","38","8","763","1","3","194","16","2","220","13","2","94","8","1","198","0","0","37","0","0","20"
"Ferry Terminal SE-NS","91","62","792","12","30","176","33","11","242","17","6","105","25","8","215","2","2","37","2","5","17"
"Pier 1 NE-FS","2","5","789","0","2","174","1","2","241","0","1","104","1","0","216","0","0","37","0","0","17"
"Embarcadero&Pier 3&5 E-MB","1","0","790","0","0","174","1","0","242","0","0","104","0","0","216","0","0","37","0","0","17"
"Broadway&Davis St SW-NS/BZ","20","28","782","2","19","157","8","3","247","4","2","106","5","2","219","1","1","37","0","1","16"
"Battery St&Broadway SW-FS/BZ","56","40","798","1","20","138","10","9","248","6","3","109","37","5","251","0","1","36","2","2","16"
"Pacific Ave&Sansome St NW-FS","47","12","833","3","7","134","13","3","258","6","1","114","22","0","273","3","1","38","0","0","16"
"Pacific Ave&Montgomery St NE-NS","43","22","854","10","9","135","13","4","267","9","2","121","9","4","278","2","1","39","0","2","14"
"Pacific Ave&Kearny St NE-NS","112","43","923","24","5","154","40","7","300","24","12","133","22","16","284","1","2","38","1","1","14"
"Pacific Ave&Grant Ave NE-NS","511","92","1342","45","21","178","237","38","499","109","10","232","97","21","360","17","1","54","6","1","19"
"Pacific Ave&Stockton St NE-NS","653","197","1798","55","50","183","284","86","697","144","28","348","151","26","485","16","5","65","3","2","20"
"Pacific Ave&Powell St NE-NS","163","102","1859","18","20","181","79","50","726","32","14","366","30","15","500","3","0","68","1","3","18"
"Pacific Ave&Mason St NE-NS","49","185","1723","13","21","173","12","91","647","7","35","338","13","36","477","2","2","68","2","0","20"
"Pacific Ave&Taylor St NE-NS","37","201","1559","18","19","172","11","70","588","4","46","296","3","57","423","1","7","62","0","2","18"
"Pacific Ave&Jones St NE-NS","11","172","1398","4","13","163","4","58","534","0","42","254","3","48","378","0","10","52","0","1","17"
"Pacific Ave&Leavenworth St NE-NS","12","336","1074","3","23","143","6","130","410","2","71","185","1","94","285","0","13","39","0","5","12"
"Pacific Ave&Hyde St NE-NS","16","247","843","6","18","131","7","87","330","2","50","137","1","80","206","0","11","28","0","1","11"
"Pacific Ave&Larkin St NE-NS","3","201","645","1","15","117","1","76","255","1","42","96","0","60","146","0","5","23","0","3","8"
"Pacific Ave&Polk St NE-NS","17","305","357","4","39","82","6","130","131","4","46","54","3","77","72","0","13","10","0","0","8"
"Jackson St&Polk St NW","0","36","144","0","4","33","0","16","55","0","4","21","0","9","24","0","3","7","0","0","4"
"Pacific Ave&Van Ness Ave SE-FS/BZ","14","190","145","0","40","38","9","76","48","3","32","21","2","32","33","0","7","0","0","3","5"
"Pacific Ave&Van Ness Ave NE-NS","0","0","145","0","0","38","0","0","48","0","0","21","0","0","33","0","0","0","0","0","5"
"Jackson St&Van Ness Ave NW-FS","13","25","124","5","5","36","4","9","37","0","3","18","4","7","30",,,,"0","1","3"
"Jackson St&Franklin St NE-NS","1","5","120","0","0","36","1","1","37","0","1","17","0","3","27",,,,"0","0","3"
"Jackson St&Gough St NE-NS","0","5","115","0","1","35","0","3","34","0","0","17","0","1","26",,,,"0","0","3"
"Jackson St&Octavia St NE-NS","0","3","112","0","1","34","0","0","34","0","0","17","0","2","24",,,,"0","0","3"
"Jackson St&Laguna St NE-NS","0","6","106","0","1","33","0","2","32","0","2","15","0","1","23",,,,"0","0","3"
"Jackson St&Buchanan St NE-NS","0","8","98","0","2","31","0","1","31","0","1","14","0","4","19",,,,"0","0","3"
"Jackson St&Webster St NW-FS","1","10","89","0","4","27","0","3","28","1","0","15","0","3","16",,,,"0","0","3"
"Jackson St&Fillmore St NW-FS/BZ","0","86","3","0","26","1","0","27","1","0","15","0","0","15","1",,,,"0","3","0"
"Total Passenger Boardings ","3843","3849",,"919","919",,"1295","1292",,"608","610",,"831","837",,"120","121",,"70","70",
"Subject to disclaimer at www.sfmta.com/tepdata",,,,,,,,,,,,,,,,,,,,,
"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load","Midday On","Midday Off","Midday Load","School  On","School Off","School Load","PM Peak On","PM Peak Off","PM Peak Load","Evening On","Evening Off","Evening Load","Owl On","Owl Off","Owl Load"
"12-Folsom-Pacific to Mission District Weekday",,,,,,,,,,,,,,,,,,,,,
"Jackson St&Fillmore St NW-FS/BZ","105","0","113","32","0","37","33","0","35","12","0","12","26","0","27",,,,"2","0","2"
"Jackson St&Steiner St NE-NS","0","0","113","0","0","37","0","0","35","0","0","12","0","0","27",,,,"0","0","2"
"Steiner St&Washington St NW-NS","1","0","114","1","0","38","0","0","35","0","0","12","0","0","27",,,,"0","0","2"
"Washington St&Fillmore St SW-NS","17","0","131","13","0","51","2","0","37","0","0","12","2","0","29",,,,"0","0","2"
"Washington St&Webster St SW-NS","20","0","151","10","0","61","4","0","41","3","0","15","2","0","31",,,,"1","0","3"
"Washington St&Buchanan St SW-NS","18","0","169","12","0","73","4","0","45","2","0","17","0","0","31",,,,"0","0","3"
"Washington St&Laguna St SE-FS","16","3","182","12","1","84","2","0","47","2","1","18","0","1","30",,,,"0","0","3"
"Washington St&Gough St SW-NS","7","0","189","5","0","89","1","0","48","0","0","18","1","0","31",,,,"0","0","3"
"Washington St&Franklin St SW-NS","21","0","210","17","0","106","2","0","50","0","0","18","2","0","33",,,,"0","0","3"
"Van Ness Ave&Jackson St SW-FS/BZ","10","5","215","3","1","108","4","3","51","3","1","20","0","0","33",,,,"0","0","3"
"Pacific Ave&Van Ness Ave SE-FS/BZ","321","4","552","106","1","217","111","2","171","41","0","63","47","1","79","11","0","12","5","0","10"
"Pacific Ave&Polk St SE-FS","342","2","892","79","0","296","162","1","332","45","0","108","40","1","118","10","0","22","6","0","16"
"Pacific Ave&Larkin St SW-NS","150","4","1038","47","0","343","57","1","388","20","2","126","23","1","140","3","0","25","0","0","16"
"Pacific Ave&Hyde St SW-NS","241","23","1256","95","8","430","88","4","472","24","7","143","25","4","161","6","0","31","3","0","19"
"Pacific Ave&Leavenworth St SW-NS","235","37","1454","82","6","506","91","15","548","25","4","164","29","10","180","4","2","33","4","0","23"
"Pacific Ave&Jones St SW-NS","85","22","1517","29","2","533","27","5","570","13","6","171","13","8","185","1","1","33","2","0","25"
"Pacific Ave&Taylor St SW-NS","65","25","1557","33","6","560","15","6","579","6","5","172","9","6","188","0","1","32","2","1","26"
"Pacific Ave&Mason St SW-NS","53","60","1550","16","4","572","17","31","565","6","10","168","13","13","188","1","2","31","0","0","26"
"Pacific Ave&Powell St SW-NS","46","341","1255","14","61","525","11","175","401","8","54","122","12","46","154","1","4","28","0","1","25"
"Broadway&Stockton St SE-FS","218","393","1080","38","75","488","87","200","288","47","62","107","39","45","148","2","7","23","5","4","26"
"Broadway&Columbus SE-NS","108","54","1134","23","13","498","45","15","318","14","4","117","16","14","150","4","5","22","6","3","29"
"Broadway&Montgomery St SW-NS","40","84","1090","13","21","490","6","24","300","9","22","104","11","15","146","0","2","20","1","0","30"
"Broadway&Sansome St-FS","16","79","1027","2","54","438","1","18","283","4","1","107","8","5","149","1","0","21","0","1","29"
"Broadway&Battery St SE-FS/BZ","24","74","977","3","48","393","4","18","269","4","3","108","11","4","156","1","1","21","1","0","30"
"Broadway&The Embarcadero SW-NS/BZ","14","23","968","1","9","385","2","11","260","3","1","110","6","2","160","2","0","23","0","0","30"
"Pier 5 NW-NS","1","1","968","0","0","385","0","0","260","0","0","110","1","1","160","0","0","23","0","0","30"
"The Embarcadero&Washington St N-NS","6","14","960","0","5","380","2","4","258","2","3","109","1","1","160","0","1","22","1","0","31"
"The Embarcadero&Market St NW-NS","49","222","787","14","100","294","11","58","211","10","32","87","11","22","149","2","3","21","1","7","25"
"The Embarcadero&Mission St NW-NS","43","127","703","3","25","272","22","66","167","9","24","72","9","10","148","0","0","21","0","2","23"
"The Embarcadero&Howard St SW-FS","7","58","650","1","54","219","1","1","166","0","0","71","3","3","148","1","0","22","1","0","24"
"The Embarcadero&Folsom St SW-FS","12","38","624","1","28","192","2","5","163","1","1","71","6","4","150","1","0","23","1","0","25"
"Harrison St&The Embarcadero NW-FS","5","32","597","1","23","170","1","4","160","0","3","68","2","1","151","1","1","23","0","0","25"
"Harrison St&Main St W-FS/BZ","29","12","614","4","3","171","8","4","164","5","1","72","11","3","159","1","0","24","0","1","24"
"Harrison St&1st St N-NS/BZ","14","19","609","8","4","175","3","8","159","2","1","73","0","5","154","0","1","23","1","0","25"
"Harrison St&2nd St W-FS/BZ","60","55","614","5","43","137","15","3","171","10","0","83","23","6","171","4","2","25","3","1","27"
"Harrison St&3rd St W-FS/BZ","57","21","650","6","9","134","16","6","181","9","1","91","22","4","189","1","0","26","3","1","29"
"Harrison St&4th St W-FS/BZ","65","26","689","11","7","138","16","6","191","13","4","100","24","7","206","1","0","27","0","2","27"
"Harrison St&5th St W-FS/BZ","54","12","731","9","3","144","14","1","204","6","1","105","21","6","221","3","1","29","1","0","28"
"Harrison St&7th St N-NS/BZ","113","67","777","31","22","153","30","20","214","19","7","117","25","16","230","7","2","34","1","0","29"
"Harrison St&8th St N-NS/BZ","20","31","766","6","4","155","2","5","211","3","4","116","7","17","220","2","1","35","0","0","29"
"Harrison St&9th St W-FS/BZ","37","66","737","5","21","139","10","18","203","8","9","115","11","15","216","2","2","35","1","1","29"
"11th St&Harrison St N-FS/BZ","35","66","706","4","14","129","14","27","190","8","6","117","6","15","207","2","3","34","1","1","29"
