"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load","Midday On","Midday Off","Midday Load","School  On","School Off","School Load","PM Peak On","PM Peak Off","PM Peak Load","Evening On","Evening Off","Evening Load","Owl On","Owl Off","Owl Load"
"44-O'Shaughnessy to India Basin Weekday",,,,,,,,,,,,,,,,,,,,,
"California St&7th Ave S-MB/BZ","579","0","590","78","0","81","140","0","143","111","0","113","200","0","201","29","0","30","21","0","22"
"6th Ave&Clement St NW-NS/BZ","602","8","1184","53","0","134","199","3","339","111","0","224","182","4","379","36","0","66","21","1","42"
"6th Ave&Geary Blvd SW-FS/BZ","642","32","1794","86","0","220","180","13","506","138","9","353","167","9","537","43","1","108","28","0","70"
"6th Ave&Anza St NW-NS/BZ","64","16","1842","15","3","232","18","7","517","8","1","360","19","4","552","1","1","108","3","0","73"
"6th Ave&Balboa St SW-FS/BZ","193","109","1926","50","9","273","43","37","523","33","24","369","44","32","564","15","5","118","8","2","79"
"Cabrillo St&6th Ave NW-FS","37","74","1889","6","4","275","12","23","512","2","19","352","15","25","554","2","2","118","0","1","78"
"8th Ave&Cabrillo St SW-FS","35","48","1876","13","3","285","7","16","503","6","15","343","8","12","550","0","2","116","1","0","79"
"8th Ave&Fulton St NW-NS/BZ","189","121","1944","51","12","324","53","43","513","25","28","340","47","32","565","10","4","122","3","2","80"
"Golden Gate Park Museums N-NS/BZ","64","27","1981","3","6","321","24","11","526","11","6","345","21","4","582","2","0","124","3","0","83"
"9th Ave&Lincoln Way SW-FS/BZ","104","137","1948","18","9","330","20","45","501","21","28","338","25","43","564","12","10","126","8","2","89"
"9th Ave&Irving St SW-FS/BZ","145","209","1884","26","39","317","28","58","471","27","32","333","41","55","550","10","18","118","13","7","95"
"9th Ave&Judah St SW-FS/BZ","343","265","1962","58","61","314","56","87","440","67","40","360","104","60","594","32","11","139","26","6","115"
"9th Ave&Kirkham St NW-NS/BZ","40","28","1974","17","1","330","9","9","440","5","6","359","8","9","593","1","1","139","0","2","113"
"9th Ave&Lawton St NW-NS/RC","78","60","1992","34","5","359","16","14","442","13","10","362","10","26","577","3","3","139","2","2","113"
"Lawton St&7th Ave SW-NS","88","41","2039","28","0","387","36","19","459","11","5","368","9","10","576","1","3","137","3","4","112"
"1697 7th Ave SW-FS","11","2","2048","7","0","394","3","0","462","1","1","368","0","1","575","0","0","137","0","0","112"
"Laguna Honda Blvd&Noriega St SW-FS","3","0","2051","1","0","395","1","0","463","0","0","368","1","0","576","0","0","137","0","0","112"
"Laguna Honda Blvd&Clarendon Ave-SW","9","12","2048","3","1","397","5","3","465","0","5","363","1","2","575","0","1","136","0","0","112"
"Forest Hill Station","456","418","2086","59","116","340","87","122","430","109","55","417","145","89","631","39","23","152","17","13","116"
"Woodside Ave&Balceta Ave SW-NS","3","8","2081","1","1","340","0","0","430","1","2","416","1","3","629","0","2","150","0","0","116"
"Woodside Ave&Hernandez Ave SE-FS","23","53","2051","0","6","334","9","16","423","6","10","412","2","14","617","6","5","151","0","2","114"
"Woodside Ave&Ulloa St SW-NS","6","6","2051","0","0","334","0","0","423","3","2","413","3","2","618","0","2","149","0","0","114"
"Woodside Ave&Portola Dr W-NS","136","128","2059","12","21","325","31","35","419","46","20","439","40","44","614","4","4","149","3","4","113"
