"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load","Midday On","Midday Off","Midday Load","School  On","School Off","School Load","PM Peak On","PM Peak Off","PM Peak Load","Evening On","Evening Off","Evening Load","Owl On","Owl Off","Owl Load"
"23-Monterey to Bayview Weekday",,,,,,,,,,,,,,,,,,,,,
"Sloat Blvd&47th Ave NW-FS/BZ","13","0","13","2","0","2",,,,,,,,,,"7","0","7","4","0","4"
"Great Hwy&Sloat Blvd W-MB","76","0","94","13","0","16","22","0","22","15","0","17","26","0","28","0","0","7","0","0","4"
"Sloat Blvd&47th Ave SE-FS/BZ","51","2","143","10","1","25","13","0","35","11","0","28","17","1","44","0","0","7","0","0","4"
"Sloat Blvd&45th Ave SE-FS/BZ","89","1","231","30","0","55","24","1","58","14","0","42","11","0","55","4","0","11","6","0","10"
"Sloat Blvd&43rd Ave S-FS","12","0","243","7","0","62","4","0","62","1","0","43","0","0","55","0","0","11","0","0","10"
"Sloat Blvd&41st Ave S-FS/BZ","18","1","260","8","0","70","1","0","63","4","0","47","2","1","56","1","0","12","2","0","12"
"Sloat Blvd&Skyline Blvd SW-NS/BZ","43","1","302","14","0","84","14","1","76","3","0","50","8","0","64","2","0","14","2","0","14"
"Sloat Blvd&37th Ave SW-NS","3","0","305","0","0","84","1","0","77","2","0","52","0","0","64","0","0","14","0","0","14"
"Sloat Blvd&36th Ave SW-NS","27","0","332","8","0","92","8","0","85","3","0","55","6","0","70","1","0","15","1","0","15"
"Sloat Blvd&Clearfield Dr SW-NS/BZ","80","7","405","17","1","108","28","5","108","14","0","69","17","1","86","2","0","17","2","0","17"
"Sloat Blvd&Everglade Dr S-MB/BZ","145","18","532","18","2","124","34","5","137","29","7","91","36","4","118","14","0","31","14","0","31"
"Sloat Blvd&Sylvan Dr SW-NS/BZ","72","1","603","13","1","136","11","0","148","35","0","126","9","0","127","1","0","32","3","0","34"
