"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load","Midday On","Midday Off","Midday Load","School  On","School Off","School Load","PM Peak On","PM Peak Off","PM Peak Load","Evening On","Evening Off","Evening Load","Owl On","Owl Off","Owl Load"
"37-Corbett to Haight & Masonic Weekday",,,,,,,,,,,,,,,,,,,,,
"Parkridge Dr&Burnett Ave SW-FS/BZ","142","0","170","56","0","65","53","0","59","18","0","19","10","0","13","4","0","7","1","0","7"
"Burnett Ave&Crestline Dr W-FS","20","2","188","15","0","80","3","0","62","2","2","19","0","0","13","0","0","7","0","0","7"
"Burnett Ave&Dawnview Way NW-NS","23","0","211","15","0","95","5","0","67","2","0","21","1","0","14","0","0","7","0","0","7"
"Portola Dr&Diamond Hts Bl SE-FS","62","2","271","10","0","105","37","2","102","6","0","27","5","0","19","2","0","9","2","0","9"
"Corbett Ave&Cuesta Ct Ct N-FS/BZ","45","0","316","24","0","129","17","0","119","3","0","30","1","0","20","0","0","9","0","0","9"
"925 Corbett Ave E-FS","72","0","388","36","0","165","25","0","144","4","0","34","7","0","27","0","0","9","0","0","9"
"800 Corbett Ave SE-MB","49","0","437","31","0","196","11","0","155","3","0","37","1","0","28","3","0","12","0","0","9"
"Corbett Ave&Romain St E-NS","24","1","460","7","0","203","7","1","161","7","0","44","1","0","29","2","0","14","0","0","9"
"Corbett Ave&Graystone Ter E-MI","45","0","505","27","0","230","14","0","175","2","0","46","2","0","31","0","0","14","0","0","9"
"539 Corbett Ave E-MB","29","3","531","6","0","236","18","3","190","3","0","49","1","0","32","1","0","15","0","0","9"
"Corbett Ave&Clayton St SE-NS","36","3","564","11","1","246","12","1","201","7","0","56","6","1","37","0","0","15","0","0","9"
"341 Corbett Ave SE-MB","10","4","570","2","1","247","0","2","199","8","1","63","0","0","37","0","0","15","0","0","9"
"Corbett Ave&Marsily St S-NS","9","2","577","3","1","249","5","0","204","1","1","63","0","0","37","0","0","15","0","0","9"
"Corbett Ave&Danvers St S-NS","5","0","582","1","0","250","2","0","206","0","0","63","2","0","39","0","0","15","0","0","9"
"211 Corbett Ave S-MB","3","0","585","3","0","253","0","0","206","0","0","63","0","0","39","0","0","15","0","0","9"
"Corbett Ave&Hattie St SW-NS","2","1","586","2","0","255","0","1","205","0","0","63","0","0","39","0","0","15","0","0","9"
"Corbett Ave&Douglass St SW-NS","8","5","589","2","2","255","4","1","208","1","1","63","1","1","39","0","0","15","0","0","9"
"Market St&Castro St S-NS/SI","19","454","154","5","230","30","2","152","58","1","35","29","1","22","18","4","11","8","6","4","11"
"Market St&Noe St S-NS/SI","4","19","139","0","4","26","2","8","52","0","6","23","0","0","18","2","0","10","0","1","10"
"Market St&Sanchez St S-NS","1","5","135","0","1","25","0","3","49","0","0","23","1","1","18","0","0","10","0","0","10"
"Church St&Market St SE-NS/SI","47","14","135","3","2","24","7","8","30","3","3","12","26","0","42","8","1","17","0","0","10"
"Sanchez St&15th St NE-FS","2","2","33","0","0","2","2","1","19","0","1","10","0","0","2",,,,,,
"14th St&Church St SW-NS/BZ","0","31","2","0","2","0","0","17","2","0","10","0","0","2","0",,,,,,
"14th St&Church St NW-FS/BZ","110","25","222","7","7","26","24","9","45","18","3","27","38","6","74","15","0","32","8","0","18"
"14th St&Sanchez St NE-NS/FL","44","9","257","3","3","26","7","0","52","9","0","36","15","2","87","4","0","36","6","4","20"
"14th St&Noe St NE-NS/FL","5","4","258","1","0","27","2","0","54","0","1","35","2","1","88","0","2","34","0","0","20"
"14th St&Castro St NW-FS","7","15","250","2","3","26","1","6","49","0","2","33","0","3","85","1","0","35","3","1","22"
"14th St&Alpine Ter NE-NS","6","18","238","4","0","30","0","3","46","0","5","28","1","8","78","1","2","34","0","0","22"
"Buena Vista Ter&Roosevelt Way NE-FS","5","32","211","3","2","31","0","5","41","1","2","27","1","11","68","0","12","22","0","0","22"
"Buena Vista Ter&Buena Vista East E","2","16","197","0","0","31","0","4","37","1","2","26","0","5","63","0","2","20","1","3","20"
"Buena Vista Ave&Buena Vista Ter-MB","3","20","180","3","5","29","0","4","33","0","3","23","0","4","59","0","2","18","0","2","18"
"Upper Ter&Buena Vista West St W-FS","1","16","165","0","3","26","1","4","30","0","1","22","0","4","55","0","2","16","0","2","16"
"Upper Ter&Masonic Ave N-NS","0","22","143","0","0","26","0","4","26","0","2","20","0","12","43","0","2","14","0","2","14"
"414 Roosevelt Way NW-NS","1","5","139","0","0","26","1","2","25","0","0","20","0","3","40","0","0","14","0","0","14"
"Roosevelt Way&Clifford Ter NW-MI","0","7","132","0","0","26","0","0","25","0","0","20","0","2","38","0","5","9","0","0","14"
"Roosevelt Way&Lower Ter N-MI","1","12","121","0","2","24","0","3","22","0","3","17","1","3","36","0","0","9","0","1","13"
"Roosevelt Way&17th St NW-NS","1","11","111","0","4","20","1","4","19","0","1","16","0","2","34","0","0","9","0","0","13"
"17th St&Clayton St NE-NS","2","17","96","2","1","21","0","1","18","0","0","16","0","12","22","0","3","6","0","0","13"
"17th St&Belvedere St NE-NS","0","3","93","0","1","20","0","2","16","0","0","16","0","0","22","0","0","6","0","0","13"
"17th St&Cole St NE-NS","0","2","91","0","0","20","0","1","15","0","1","15","0","0","22","0","0","6","0","0","13"
"Cole St&Alma St SE-NS","3","6","88","0","0","20","0","1","14","3","3","15","0","2","20","0","0","6","0","0","13"
"Cole St&Parnassus Ave SE-NS","2","11","79","0","7","13","0","2","12","0","0","15","2","2","20","0","0","6","0","0","13"
"Cole St&Carl St NE-FS/BZ","13","8","84","0","1","12","3","2","13","2","0","17","8","2","26","0","1","5","0","2","11"
"Cole St&Waller St SE-NS","1","4","81","0","1","11","0","0","13","0","0","17","0","3","23","1","0","6","0","0","11"
"Cole St&Haight St SE-NS","0","13","68","0","2","9","0","3","10","0","2","15","0","3","20","0","1","5","0","2","9"
"Haight St&Clayton St SW-NS/BZ","2","7","63","1","1","9","0","2","8","0","2","13","1","0","21","0","2","3","0","0","9"
"Masonic Ave&Haight St SW-FS/BZ","0","30","33","0","3","6","0","3","5","0","6","7","0","12","9","0","0","3","0","6","3"
"Total Passenger Boardings ","866","861",,"285","290",,"266","265",,"105","99",,"135","129",,"48","48",,"27","30",
"Subject to disclaimer at www.sfmta.com/tepdata",,,,,,,,,,,,,,,,,,,,,
"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load","Midday On","Midday Off","Midday Load","School  On","School Off","School Load","PM Peak On","PM Peak Off","PM Peak Load","Evening On","Evening Off","Evening Load","Owl On","Owl Off","Owl Load"
"37-Corbett to Twin Peaks Weekday",,,,,,,,,,,,,,,,,,,,,
"Masonic Ave&Haight St SW-FS/BZ","34","0","57","7","0","8","7","0","15","4","0","9","12","0","19","1","0","2","3","0","4"
"Ashbury St&Haight St SE-NS/BZ","2","0","59","0","0","8","1","0","16","0","0","9","1","0","20","0","0","2","0","0","4"
"Haight St&Clayton St NE-NS/BZ","6","0","65","1","0","9","2","0","18","1","0","10","1","0","21","1","0","3","0","0","4"
"Cole St&Haight St SW-FS","16","1","80","10","1","18","3","0","21","1","0","11","1","0","22","1","0","4","0","0","4"
"Cole St&Frederick St NW-NS","18","0","98","3","0","21","2","0","23","3","0","14","7","0","29","3","0","7","0","0","4"
"Cole St&Carl St SW-FS/BZ","36","9","125","4","5","20","6","0","29","3","0","17","17","4","42","1","0","8","5","0","9"
"Cole St&Parnassus Ave SW-FS/BZ","29","2","152","3","1","22","9","1","37","2","0","19","12","0","54","3","0","11","0","0","9"
"Cole St&Alma St NW-NS","4","3","153","0","0","22","1","0","38","0","0","19","1","3","52","2","0","13","0","0","9"
"Cole St&17th St NW-NS","6","2","157","1","0","23","1","1","38","4","1","22","0","0","52","0","0","13","0","0","9"
"Cole St&Carmel St NW-NS","4","10","151","3","2","24","1","2","37","0","0","22","0","4","48","0","2","11","0","0","9"
"Carmel St&Belvedere St SW-MI","1","4","148","1","0","25","0","3","34","0","0","22","0","1","47","0","0","11","0","0","9"
"Carmel St&Twin Peaks Blvd SW-NS","6","18","136","5","1","29","0","6","28","0","0","22","0","6","41","0","4","7","1","1","9"
"Roosevelt Way&17th St SW-FS","0","1","135","0","0","29","0","0","28","0","0","22","0","1","40","0","0","7","0","0","9"
"Roosevelt Way&Lower Ter SE-NS","11","4","142","6","1","34","4","0","32","0","1","21","1","2","39","0","0","7","0","0","9"
"Roosevelt Way&Clifford Ter E-MB","8","0","150","6","0","40","1","0","33","0","0","21","1","0","40","0","0","7","0","0","9"
"415 Roosevelt Way SE-NS","3","3","150","2","0","42","1","1","33","0","1","20","0","0","40","0","0","7","0","1","8"
"Roosevelt Way&Museum Way E-FS","2","5","147","2","0","44","0","1","32","0","2","18","0","2","38","0","0","7","0","0","8"
"Roosevelt Way&15th St S-NS","6","3","150","4","0","48","2","0","34","0","1","17","0","0","38","0","0","7","0","2","6"
"Roosevelt Way&Buena Vista Ter SE-FS","2","2","150","2","0","50","0","1","33","0","0","17","0","1","37","0","0","7","0","0","6"
"Roosevelt Way&14th St SE-NS","5","3","152","2","0","52","2","0","35","0","1","16","1","2","36","0","0","7","0","0","6"
"14th St&Castro St SW-NS","5","5","152","3","3","52","0","2","33","0","0","16","0","0","36","2","0","9","0","0","6"
"14th St&Noe St SW-NS","6","4","154","2","0","54","1","0","34","0","0","16","3","4","35","0","0","9","0","0","6"
"14th St&Sanchez St SW-NS","13","0","167","0","0","54","0","0","34","0","0","16","12","0","47","1","0","10","0","0","6"
"14th St&Church St SW-NS/BZ","269","83","359","14","43","25","54","23","70","40","4","53","108","6","149","43","1","52","10","6","10"
"Market St&15th St W-FS/BZ","15","2","372","0","1","24","3","0","73","2","0","55","9","0","158","1","1","52","0","0","10"
"Market St&16th St W-FS/BB","24","7","389","0","0","24","6","3","76","2","0","57","14","4","168","2","0","54","0","0","10"
"Market St&Castro St W-FS/SI","232","15","607","15","1","39","36","4","108","32","1","88","90","8","250","40","1","93","19","0","29"
"17th St&Diamond St NW-FS","72","7","672","5","1","43","18","2","124","7","1","94","22","2","270","12","1","104","8","0","37"
"Corbett Ave&Ord St NW-FS","0","2","670","0","0","43","0","0","124","0","1","93","0","1","269","0","0","104","0","0","37"
"Corbett Ave&Hattie St NW-FS","2","2","670","0","0","43","1","1","124","1","0","94","0","1","268","0","0","104","0","0","37"
"211 Corbett Ave N-MB","1","11","660","1","0","44","0","2","122","0","3","91","0","6","262","0","0","104","0","0","37"
"Corbett Ave&Danvers St W-FS","0","8","652","0","2","42","0","0","122","0","0","91","0","4","258","0","0","104","0","2","35"
"Corbett Ave&Marsily St W-FS","0","14","638","0","0","42","0","3","119","0","4","87","0","2","256","0","4","100","0","1","34"
"328 Corbett Ave NW-MB","2","11","629","0","1","41","2","5","116","0","1","86","0","4","252","0","0","100","0","0","34"
"Corbett Ave&Clayton St N-NS","3","23","609","0","0","41","0","4","112","2","1","87","1","11","242","0","6","94","0","1","33"
"Corbett Ave&Iron Aly W-NS","38","29","618","0","3","38","23","8","127","11","4","94","4","7","239","0","2","92","0","5","28"
"Corbett Ave&Graystone Ter NW-NS","7","64","561","2","8","32","1","7","121","3","6","91","1","28","212","0","15","77","0","0","28"
"Corbett Ave&Romain St S-FS","0","45","516","0","2","30","0","13","108","0","8","83","0","16","196","0","5","72","0","1","27"
"795 Corbett Ave NW-MB","0","55","461","0","4","26","0","9","99","0","2","81","0","31","165","0","4","68","0","5","22"
"Corbett Ave&Hopkins Ave N-NS","6","39","428","3","2","27","1","5","95","1","4","78","0","17","148","1","6","63","0","5","17"
"956 Corbett Ave W-MB","2","21","409","0","1","26","2","4","93","0","4","74","0","9","139","0","3","60","0","0","17"
"6 Portola Dr NW-MB","0","20","389","0","1","25","0","1","92","0","2","72","0","8","131","0","8","52","0","0","17"
"120 Portola Dr NW-MB","1","16","374","0","0","25","0","0","92","1","6","67","0","7","124","0","3","49","0","0","17"
