"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load","Midday On","Midday Off","Midday Load","School  On","School Off","School Load","PM Peak On","PM Peak Off","PM Peak Load","Evening On","Evening Off","Evening Load","Owl On","Owl Off","Owl Load"
"15-Third Street to City College Weekday",,,,,,,,,,,,,,,,,,,,,
"Kearny St&North Point St SE-NS/BZ","459","0","516","63","0","109","164","0","168","69","0","70","110","0","115","34","0","34","19","0","20"
"North Point St&Kearny St NW-FS/BZ","0","0","516","0","0","109","0","0","168","0","0","70","0","0","115","0","0","34","0","0","20"
"North Point St&Stockton St NE-NS","231","2","745","39","0","148","43","0","211","38","0","108","65","0","180","31","0","65","15","2","33"
"Powell St&North Point St SW-FS/BZ","564","9","1300","69","2","215","152","2","361","112","2","218","139","2","317","59","0","124","33","1","65"
"Powell St&Francisco St NW-NS/BZ","496","6","1790","94","1","308","96","0","457","127","4","341","139","1","455","23","0","147","17","0","82"
"Powell St&Lombard St SW-FS/BZ","313","21","2082","93","1","400","67","4","520","82","9","414","58","7","506","7","0","154","6","0","88"
"Powell St&Filbert St NW-NS","169","49","2202","62","6","456","42","18","544","34","15","433","22","8","520","4","2","156","5","0","93"
"Columbus Ave&Union St NW-NS/BZ","557","156","2603","182","14","624","152","50","646","75","37","471","100","41","579","26","12","170","22","2","113"
"Columbus Ave&Stockton St S-FS/BZ","652","292","2963","170","22","772","207","89","764","107","66","512","110","91","598","20","17","173","38","7","144"
"Columbus Ave&Broadway S-FS/BZ","639","187","3415","119","13","878","198","49","913","121","54","579","124","53","669","36","11","198","41","7","178"
"Columbus Ave&Jackson St SW-FS/BZ","365","71","3709","68","8","938","100","21","992","58","20","617","90","18","741","21","3","216","28","1","205"
"Clay St&Montgomery St SE-FS/BZ","366","189","3886","94","71","961","93","48","1037","58","26","649","77","32","786","24","6","234","20","6","219"
"Sansome St&Clay St SW-FS/BZ","187","118","3955","25","39","947","20","38","1019","38","22","665","85","15","856","9","2","241","10","2","227"
"Sansome St&California St NW-NS/BZ","249","152","4052","33","43","937","31","37","1013","39","17","687","115","39","932","13","5","249","18","11","234"
"Sansome St&Sutter St NW-NS/BB","639","1554","3137","212","325","824","78","383","708","96","309","474","177","358","751","37","103","183","39","76","197"
"2nd St&Stevenson St W-FS/BZ","1463","313","4287","384","74","1134","318","86","940","214","68","620","333","59","1025","121","14","290","93","12","278"
"2nd St&Howard St S-FS/BZ","249","96","4440","65","36","1163","48","33","955","39","9","650","71","10","1086","12","4","298","14","4","288"
"2nd St&Folsom St S-FS/BZ","73","195","4318","14","109","1068","15","47","923","18","11","657","20","13","1093","4","2","300","2","13","277"
"2nd St&Harrison St S-FS/BZ","37","99","4256","5","46","1027","9","25","907","9","9","657","12","14","1091","2","2","300","0","3","274"
"2nd St&Bryant St S-FS/BZ","16","166","4106","4","73","958","2","45","864","3","19","641","7","20","1078","0","7","293","0","2","272"
"2nd St&Brannan St W-NS","14","133","3987","2","46","914","3","39","828","2","12","631","2","21","1059","1","7","287","4","8","268"
"Brannan St&3rd St W-FS/BZ","35","80","3942","7","27","894","6","18","816","7","14","624","8","17","1050","2","2","287","5","2","271"
"4th St&Brannan St S-FS","127","41","4028","35","10","919","28","11","833","24","8","640","24","9","1065","7","0","294","9","3","277"
"4th St&Townsend St W-NS","412","455","3985","83","53","949","85","53","865","73","77","636","116","247","934","31","16","309","24","9","292"
"3rd St&Terry A Francois Blvd SW-FS","18","37","3966","2","11","940","10","12","863","3","7","632","1","7","928","2","0","311","0","0","292"
"3rd St&Gene Friend Way SW-FS/FL","14","109","3871","2","28","914","1","29","835","5","15","622","3","23","908","1","8","304","2","6","288"
"3rd St&16th St SW-FS/BZ","30","20","3881","1","7","908","8","6","837","8","1","629","10","3","915","0","1","303","3","2","289"
"3rd St&18th St SW-FS/BZ","303","147","4037","44","45","907","68","27","878","83","11","701","87","49","953","12","13","302","9","2","296"
"3rd St&20th St NW-NS/BZ","89","194","3932","13","67","853","24","43","859","24","29","696","17","40","930","3","7","298","8","8","296"
"3rd St&22nd St NW-NS/BZ","199","267","3864","26","90","789","50","50","859","53","29","720","45","68","907","15","17","296","10","13","293"
"3rd St&23rd St SW-FS/BZ","28","107","3785","2","46","745","10","24","845","8","8","720","7","19","895","0","7","289","1","3","291"
"3rd St&25th St SW-FS/BZ","22","63","3744","3","25","723","4","5","844","8","7","721","5","20","880","1","1","289","1","5","287"
"3rd St&Cesar Chavez St NW-NS/BZ","70","155","3659","3","82","644","25","23","846","24","14","731","16","16","880","1","3","287","1","17","271"
"3rd ST&Arthur SW-FS/BZ","21","75","3493","0","34","610","10","24","832","6","7","730","3","4","879","2","2","287","0","4","155"
"Cargo Way&3rd St SE-FS","0","3","109",,,,,,,,,,,,,,,,"0","3","109"
"Cargo Way&Mendell St W-NS","0","0","109",,,,,,,,,,,,,,,,"0","0","109"
"Mendell St&Newhall St NW-NS","0","0","109",,,,,,,,,,,,,,,,"0","0","109"
