"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load","Midday On","Midday Off","Midday Load","School  On","School Off","School Load","PM Peak On","PM Peak Off","PM Peak Load","Evening On","Evening Off","Evening Load","Owl On","Owl Off","Owl Load"
"Jackson St&Jones St N-MI","7","19","4089","3","2","217","2","1","1661","0","0","705","0","9","787","0","3","586","2","4","133"
"Jackson St&Leavenworth St NE-NS","14","42","4061","3","1","219","1","2","1660","1","5","701","0","7","780","8","22","572","1","5","129"
"Jackson St&Hyde St NE-NS","31","40","4052","1","4","216","5","6","1659","5","5","701","5","7","778","4","14","562","11","4","136"
"Hyde St&Pacific Ave SE-NS","27","38","4041","4","3","217","13","5","1667","8","0","709","0","14","764","2","14","550","0","2","134"
"Hyde St&Broadway SE-NS","28","27","4042","2","1","218","17","5","1679","3","4","708","6","10","760","0","6","544","0","1","133"
"Hyde St&Vallejo St NE-FS","3","9","4036","0","0","218","1","2","1678","2","0","710","0","1","759","0","6","538","0","0","133"
"Hyde St&Green St E-MI","3","18","4021","0","0","218","3","1","1680","0","0","710","0","2","757","0","11","527","0","4","129"
"Hyde St&Union St E-MI","26","56","3991","3","6","215","5","9","1676","6","8","708","7","11","753","5","8","524","0","14","115"
"Hyde St&Filbert St E-MI","2","9","3984","1","1","215","1","1","1676","0","2","706","0","0","753","0","5","519","0","0","115"
"Hyde St&Greenwich St SE-NS","1","5","3980","0","0","215","0","0","1676","0","0","706","1","4","750","0","1","518","0","0","115"
"Hyde St&Lombard St E-MI","276","744","3512","5","44","176","144","351","1469","79","157","628","35","148","637","13","38","493","0","6","109"
"Hyde St&Chestnut St SE-NS","14","40","3486","0","4","172","2","8","1463","8","1","635","0","4","633","4","23","474","0","0","109"
"Hyde St&Bay St E-MI","6","17","3475","0","0","172","0","2","1461","2","7","630","0","1","632","4","7","471","0","0","109"
"Hyde St&North Point St SE-NS","1","213","3263","0","12","160","1","55","1407","0","4","626","0","64","568","0","74","397","0","4","105"
"Hyde St&Beach St SE-NS","1","1980","1284","0","71","89","0","776","631","0","527","99","0","278","290","0","265","132","1","63","43"
"Hyde Turntable NW-FS/TT","0","1274","10","0","88","1","0","626","5","0","98","1","0","289","1","0","132","0","0","41","2"
"Total Passenger Boardings ","5800","5799",,"466","466",,"2182","2181",,"960","959",,"1081","1081",,"868","868",,"243","244",
"Subject to disclaimer at www.sfmta.com/tepdata"
,,,,,,,,,,,,,,,,,,,,,

