"Stop","Daily On","Daily Off","Daily Load","Owl On","Owl Off","Owl Load"
"Judah St&9th Ave NW-FS/SI","3","3","63","3","3","63"
"Judah St&12th Ave NE-NS/SI","0","0","63","0","0","63"
"Judah St&Funston Ave NE-NS","0","1","62","0","1","62"
"Judah St&16th Ave N-MI/SI","0","0","62","0","0","62"
"Judah St&19th Ave NE-NS/SI","3","9","56","3","9","56"
"Judah St&23rd Ave NE-NS/SI","0","5","51","0","5","51"
"Judah St&25th Ave NE-NS/SI","0","6","45","0","6","45"
"Judah St&28th Ave NE-NS/SI","0","0","45","0","0","45"
"Judah St&31st Ave NE-NS/SI","1","6","40","1","6","40"
"Judah St&34th Ave NE-NS/SI","0","5","35","0","5","35"
"Judah St&Sunset Blvd NE-NS/SI","0","0","35","0","0","35"
"Judah St&40th Ave NE-NS/SI","0","0","35","0","0","35"
"Judah St&43rd Ave NE-NS/SI","0","8","27","0","8","27"
"Judah St&46th Ave NE-NS/SI","3","20","10","3","20","10"
"Judah St&La Playa St NE-NS","0","0","10","0","0","10"
"Judah St&La Playa St SE-FS","0","6","4","0","6","4"
"Total Passenger Boardings ","180","188",,"180","188",
"Subject to disclaimer at www.sfmta.com/tepdata"
,,,,,,

