"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load"
"Bay Shore Blvd&Arleta Ave W-FS","83","359","751","9","67","112","74","292","639"
"Bay Shore Blvd&Leland Ave W-FS","32","36","747","10","6","116","22","30","631"
"Visitacion Ave&Bay Shore Blvd N-FS","15","32","730","2","4","114","13","28","616"
"Visitacion Ave&Rutland St E-NS","27","114","643","2","19","97","25","95","546"
"Visitacion Ave&Schwerin St E-NS","22","80","585","2","16","83","20","64","502"
"Visitacion Ave&Britton St E-NS","11","41","555","1","4","80","10","37","475"
"Visitacion Ave&Sawyer St E-NS","13","79","489","1","14","67","12","65","422"
"Hahn St&Visitacion Ave SW-FS","0","3","486","0","1","66","0","2","420"
"Hahn St&Sunnydale Ave N-NS","22","55","453","2","6","62","20","49","391"
"Sunnydale Ave&Santos St NE-NS","12","14","451","2","1","63","10","13","388"
"Santos St&Brookdale Ave SW-FS","11","14","448","2","1","64","9","13","384"
"Santos St&Velasco Ave N-NS","12","19","441","2","4","62","10","15","379"
"Geneva Ave&Santos St N-FS/BZ","43","35","449","6","6","62","37","29","387"
"Geneva Ave&Carter St NE-NS/BZ","15","22","442","3","2","63","12","20","379"
"1721 Geneva Ave NE-MB","5","9","438","1","2","62","4","7","376"
"1650 Geneva Ave N-FS","1","3","436","1","1","62","0","2","374"
"Geneva Ave&Prague St E-NS/BZ","5","21","420","2","3","61","3","18","359"
"Geneva Ave&Moscow St N-FS/BZ","3","23","400","0","3","58","3","20","342"
"Geneva Ave&Naples St E-NS/BZ","11","36","375","1","7","52","10","29","323"
"Geneva Ave&Madrid St N-FS/BZ","14","10","379","0","4","48","14","6","331"
"Geneva Ave&Paris St E-NS","5","33","351","1","2","47","4","31","304"
"Geneva Ave&Mission St E-NS","53","148","256","3","22","28","50","126","228"
"Geneva Ave&Cayuga Ave E-NS/BZ","5","16","245","1","5","24","4","11","221"
"Geneva Ave&Delano Ave N-FS/BZ","1","3","243","0","1","23","1","2","220"
"Geneva Balboa Bart Station NE-MB/BZ","78","144","177","6","15","14","72","129","163"
"Geneva Ave&Howth St E-NS/BZ","1","26","152","0","3","11","1","23","141"
"Phelan Loop N-MB/FL","0","152","0","0","11","0","0","141","0"
"Total Passenger Boardings ","2241","2636",,"321","387",,"1920","2249",
"Subject to disclaimer at www.sfmta.com/tepdata"
,,,,,,,,,

