"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load","Midday On","Midday Off","Midday Load","School  On","School Off","School Load","PM Peak On","PM Peak Off","PM Peak Load","Evening On","Evening Off","Evening Load","Owl On","Owl Off","Owl Load"
"54-Felton to Daly City BART Weekday",,,,,,,,,,,,,,,,,,,,,
"Hudson Ave&3rd St E-NS/BZ","140","0","156","14","0","19","48","0","53","28","0","28","33","0","37","9","0","11","8","0","8"
"3rd St&Innes Ave SW-FS/BZ","66","3","219","12","0","31","22","2","73","15","0","43","15","0","52","1","1","11","1","0","9"
"3rd St&Mckinnon Ave NW-NS/BZ","64","16","267","17","0","48","20","8","85","10","2","51","11","5","58","0","1","10","6","0","15"
"3rd St&Palou Ave NW-NS/BZ","108","45","330","23","11","60","28","18","95","24","7","68","21","6","73","7","1","16","5","2","18"
"Revere Ave&3rd St S-FS","53","24","359","13","7","66","13","3","105","7","4","71","9","7","75","11","2","25","0","1","17"
"Revere Ave&Lane St W-NS","15","6","368","7","0","73","3","3","105","1","1","71","1","1","75","2","0","27","1","1","17"
"Revere Ave&Jennings St W-NS","28","21","375","12","4","81","6","5","106","4","5","70","6","4","77","0","2","25","0","1","16"
"Revere Ave&Ingalls St W-NS","66","27","414","24","5","100","16","7","115","7","5","72","10","6","81","6","3","28","3","1","18"
"Ingalls St&Thomas Ave N-NS","13","6","421","6","0","106","3","2","116","2","1","73","2","2","81","0","1","27","0","0","18"
"Ingalls St&Van Dyke Ave N-NS","26","5","442","10","4","112","3","1","118","9","0","82","4","0","85","0","0","27","0","0","18"
"Van Dyke Ave&Jennings St E-NS","44","33","453","23","11","124","7","1","124","3","9","76","9","11","83","1","0","28","1","1","18"
"Van Dyke Ave&Keith St E-NS","27","6","474","8","1","131","4","3","125","1","0","77","10","1","92","0","1","27","4","0","22"
"Van Dyke Ave&Lane St E-NS","6","20","460","2","9","124","2","5","122","0","0","77","0","5","87","1","0","28","1","1","22"
"Williams Ave&3rd St N-FS","83","30","513","25","7","142","18","5","135","9","9","77","25","5","107","3","3","28","3","1","24"
"Williams Ave&Reddy St NE-NS","11","7","517","2","0","144","2","4","133","5","0","82","1","1","107","0","0","28","1","2","23"
"Reddy St&Thornton Ave SE-NS","25","3","539","9","1","152","5","1","137","3","1","84","4","0","111","3","0","31","1","0","24"
"Topeka Ave&Newhall St NE-NS","11","8","542","5","1","156","5","1","141","1","1","84","0","4","107","0","1","30","0","0","24"
"Topeka Ave&Bridge View Dr E-NS","24","27","539","15","2","169","5","6","140","3","8","79","1","6","102","0","5","25","0","0","24"
"Bridge View Dr&Scotia Ave N-NS","19","6","552","9","1","177","6","1","145","2","0","81","2","2","102","0","1","24","0","1","23"
"Vesta St&Phelps St NW-NS","54","18","588","14","1","190","26","12","159","5","4","82","9","1","110","0","0","24","0","0","23"
"Phelps St&Carroll Ave W-FS","8","5","591","5","1","194","0","0","159","0","2","80","3","2","111","0","0","24","0","0","23"
"Phelps St&Egbert Ave N-NS","99","84","606","17","29","182","38","27","170","16","11","85","24","15","120","3","1","26","1","1","23"
"Bacon St&San Bruno Ave N-MB/BZ","37","33","610","5","7","180","9","13","166","11","5","91","7","3","124","4","2","28","1","3","21"
"Bacon St&Girard St NE-NS","89","30","669","11","22","169","30","3","193","17","1","107","25","4","145","6","0","34","0","0","21"
"Bacon St&Goettingen St NE-NS","14","11","672","6","8","167","3","1","195","3","0","110","1","2","144","0","0","34","1","0","22"
