"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load","Midday On","Midday Off","Midday Load","PM Peak On","PM Peak Off","PM Peak Load","Evening On","Evening Off","Evening Load","Night On","Night Off","Night Load"
"Union St&Gough St NE-NS/BZ","12","87","548","9","10","166","0","3","25","3","70","332","0","4","19","0","0","6"
"Union St&Laguna St NE-NS/BZ","10","96","462","3","15","154","1","5","21","5","72","265","1","4","16","0","0","6"
"Union St&Buchanan St NE-NS/BZ","6","77","391","1","24","131","2","2","21","3","48","220","0","3","13","0","0","6"
"Union St&Fillmore St NW-FS/BZ","13","181","193","6","51","56","1","8","14","6","114","112","0","5","8","0","3","3"
"Fillmore St&Union St SW-FS/FL","1","25","6","1","25","6",,,,,,,,,,,,
"Green St&Steiner St NE-NS","0","1","5","0","1","5",,,,,,,,,,,,
"Union St&Steiner St *-MI","0","0","193","0","0","56","0","0","14","0","0","112","0","0","8","0","0","3"
"Steiner St&Union St SE-NS","0","0","6","0","0","5",,,,,,,,,,"0","0","1"
"Union St&Pierce St NE-NS/BZ","5","50","152","1","9","51","0","3","11","4","34","82","0","4","4","0","0","4"
"Union St&Divisadero St NE-NS/BZ","2","31","123","1","8","44","0","1","10","1","21","62","0","1","3","0","0","4"
"Union St&Baker St NE-NS","0","16","107","0","6","38","0","3","7","0","7","55","0","0","3","0","0","4"
"Baker St&Greenwich St SE-NS","5","32","80","3","6","35","0","1","6","2","24","33","0","1","2","0","0","4"
"Lyon St&Greenwich St SW-FS/BZ","0","69","11","0","30","5","0","6","0","0","29","4","0","0","2","0","4","0"
"Total Passenger Boardings ","1312","1428",,"325","363",,"60","63",,"871","944",,"49","47",,"7","11",
"Subject to disclaimer at www.sfmta.com/tepdata",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,

