"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load","Midday On","Midday Off","Midday Load","School  On","School Off","School Load","PM Peak On","PM Peak Off","PM Peak Load","Evening On","Evening Off","Evening Load","Owl On","Owl Off","Owl Load"
"22-Fillmore to 20th & 3rd Streets Weekday",,,,,,,,,,,,,,,,,,,,,
"Fillmore St&Bay St SE-NS/BZ","267","0","291","29","0","36","76","0","82","52","0","54","65","0","69","21","0","23","24","0","27"
"Fillmore St&North Point St SE-NS","4","0","295","0","0","36","3","0","85","0","0","54","1","0","70","0","0","23","0","0","27"
"Fillmore St&Beach St SE-NS/BZ","9","0","304","1","0","37","7","0","92","0","0","54","1","0","71","0","0","23","0","0","27"
"Fillmore St&Jefferson St SW-FS/BZ","37","17","324","17","2","52","11","9","94","7","2","59","1","4","68","0","0","23","1","0","28"
"Fillmore St&Beach St NW-NS/BZ","108","9","423","27","0","79","23","2","115","23","2","80","25","5","88","7","0","30","3","0","31"
"Fillmore St&Cervantes Blvd NW","85","1","507","19","0","98","28","0","143","15","0","95","17","1","104","6","0","36","0","0","31"
"Fillmore St&Chestnut St NW-NS/BZ","506","41","972","47","15","130","99","9","233","112","6","201","135","8","231","64","0","100","49","3","77"
"Fillmore St&Lombard St SW-FS/BZ","394","22","1344","59","2","187","91","4","320","76","11","266","102","2","331","39","2","137","27","1","103"
"Union St&Fillmore St NW-FS/BZ","383","71","1656","32","13","206","85","20","385","71","15","322","111","17","425","60","6","191","24","0","127"
"Steiner St&Union St SW-FS/BZ","97","8","1748","13","0","220","24","3","408","25","2","345","26","3","448","2","0","193","7","0","134"
"Steiner St&Green St W-MI","18","9","1757","4","3","221","4","2","410","4","4","345","5","0","453","1","0","194","0","0","134"
"Steiner St&Vallejo St W-MI","14","6","1765","4","0","225","2","1","411","3","3","345","4","1","456","1","1","194","0","0","134"
"Broadway&Steiner St SE-FS","23","9","1779","0","2","223","3","3","411","6","1","350","11","3","464","2","0","196","1","0","135"
"Fillmore St&Broadway SW-FS/BZ","63","47","1795","7","11","219","12","7","416","25","13","362","16","12","468","3","4","195","0","0","135"
"Jackson St&Fillmore St NW-FS/BZ","2","0","2",,,,"0","0","0",,,,"1","0","1","0","0","0","1","0","1"
"Fillmore St&Jackson St SW-FS/BZ","166","160","1803","30","30","219","41","38","419","37","41","358","43","37","475","10","10","195","5","4","137"
"Fillmore St&Sacramento St NW","513","244","2072","40","43","216","175","75","519","80","47","391","144","56","563","52","13","234","22","10","149"
"Fillmore St&Pine St SW-FS/BZ","265","53","2284","26","6","236","62","15","566","50","15","426","84","12","635","20","3","251","23","2","170"
"Fillmore St&Sutter St SW-FS/BZ","334","182","2436","44","28","252","115","57","624","58","41","443","83","38","680","22","12","261","12","6","176"
"Fillmore St&Geary Blvd SW-FS/BZ","718","283","2871","85","13","324","215","71","768","132","66","509","178","83","775","46","29","278","62","21","217"
"Fillmore St&O'Farrell St SW-FS/BZ","329","97","3103","55","13","366","105","28","845","56","27","538","76","25","826","23","3","298","14","1","230"
"Fillmore St&Eddy St NW-NS/BZ","242","134","3211","84","13","437","70","41","874","32","29","541","46","34","838","7","11","294","3","6","227"
"Fillmore St&Turk St SW-FS/BZ","292","171","3332","81","15","503","88","65","897","46","36","551","53","43","848","14","8","300","10","4","233"
"Fillmore St&Mcallister St SW","370","256","3446","95","21","577","109","91","915","52","53","550","74","67","855","21","16","305","19","8","244"
"Fillmore St&Grove St NW-NS/BZ","80","55","3471","21","6","592","21","10","926","15","17","548","15","18","852","5","3","307","3","1","246"
"Fillmore St&Hayes St SW-FS/BZ","276","189","3558","80","25","647","79","54","951","30","33","545","55","48","859","19","19","307","13","10","249"
"Fillmore St&Oak St SW-FS/BZ","175","195","3538","42","37","652","51","39","963","17","34","528","44","53","850","13","19","301","8","13","244"
"Fillmore St&Haight St NW-NS/BZ","324","384","3478","75","39","688","85","115","933","49","69","508","75","98","827","19","45","275","21","18","247"
"Hermann St&Fillmore St SE-FS/BZ","55","74","3459","14","7","695","16","17","932","3","11","500","17","28","816","3","7","271","2","4","245"
"Church St&Duboce Ave NW-NS/BZ","180","293","3346","54","47","702","64","90","906","25","48","477","25","75","766","10","20","261","2","13","234"
"Church St&Market St NW-NS","597","567","3377","104","117","689","184","150","940","81","75","484","131","134","763","47","63","245","50","28","256"
"Church St&16th St NW-NS/SI","232","208","3401","40","77","652","69","45","964","60","27","517","48","41","770","7","14","238","8","4","260"
"16th St&Dolores St SW-NS","112","121","3392","24","22","654","36","30","970","25","33","509","18","22","766","3","10","231","6","4","262"
"16th St&Guerrero St SW-NS/BZ","72","144","3320","18","8","664","14","31","953","17","30","496","15","54","727","4","13","222","4","8","258"
"16th St&Valencia St SW-NS/BZ","189","363","3146","49","35","678","65","103","915","28","61","463","22","94","655","9","42","189","16","28","246"
"16th St&Mission St SW-NS/BZ","1076","1275","2947","240","173","745","329","361","883","158","212","409","224","320","559","63","89","163","62","120","188"
"16th St&Shotwell St SE-FS/BZ","177","236","2888","43","54","734","60","73","870","33","39","403","28","44","543","2","11","154","11","15","184"
"16th St&Harrison St SW-NS/BZ","72","289","2671","22","74","682","17","92","795","12","35","380","17","75","485","2","6","150","2","7","179"
"16th St&Bryant St SE-FS/BZ","126","626","2171","23","100","605","46","225","616","21","111","290","21","123","383","13","42","121","2","25","156"
"16th St&Potrero Ave SW-NS/BZ","193","616","1749","55","125","534","48","199","464","33","103","221","33","121","295","16","25","112","8","43","123"
"16th St&San Bruno Ave SE-FS/BZ","12","52","1709","4","20","518","4","11","457","1","3","219","2","9","288","0","3","109","1","6","118"
"16th St&Kansas St SW-NS/BZ","15","118","1606","4","51","471","5","28","434","2","11","210","2","10","280","0","4","105","2","14","106"
"17th St&Kansas St NW-FS/BZ","62","219","1449","20","90","401","11","66","379","23","25","208","5","26","259","1","7","99","2","5","103"
"17th St&De Haro St SW-NS","4","4","50","0","2","23",,,,"2","1","15",,,,"0","1","4","2","0","8"
"17th St&Wisconsin St SE-FS/BZ","15","142","1322","4","46","357","5","48","336","1","12","198","2","22","239","1","9","90","2","5","102"
"Connecticut St&17th St SW-FS/BZ","17","140","1199","3","47","313","5","40","301","1","14","185","4","13","230","3","10","83","1","16","87"
"Connecticut St&18th St NW-NS","10","198","1011","1","42","272","2","50","253","3","34","154","2","50","182","1","15","69","1","7","81"
"18th St&Texas St SE-FS/BZ","17","111","917","1","25","248","6","31","228","5","13","146","2","23","161","2","13","58","1","6","76"
"18th St&Pennsylvania Ave SE-FS/BZ","3","56","864","1","10","239","1","13","216","0","9","137","0","13","148","0","3","55","1","8","69"
"18th St&Minnesota St SW-NS/BZ","1","50","815","1","27","213","0","10","206","0","1","136","0","9","139","0","1","54","0","2","67"
"18th St&3rd St SW-NS/BZ","6","355","466","1","64","150","1","79","128","1","73","64","3","82","60","0","33","21","0","24","43"
"20th St&3rd St NW-FS/BZ","0","451","15","0","147","3","0","127","1","0","62","2","0","57","3","0","19","2","0","39","4"
"Total Passenger Boardings ","9337","9351",,"1743","1747",,"2672","2678",,"1608","1610",,"2112","2113",,"664","664",,"538","539",
"Subject to disclaimer at www.sfmta.com/tepdata",,,,,,,,,,,,,,,,,,,,,
"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load","Midday On","Midday Off","Midday Load","School  On","School Off","School Load","PM Peak On","PM Peak Off","PM Peak Load","Evening On","Evening Off","Evening Load","Owl On","Owl Off","Owl Load"
"22-Fillmore to the Marina Weekday",,,,,,,,,,,,,,,,,,,,,
"20th St&3rd St NW-FS/BZ","714","0","744","148","0","157","190","0","194","114","0","116","176","0","179","46","0","51","40","0","47"
"Tennessee St&18th St SE-NS","77","0","821","7","0","164","16","0","210","13","0","129","33","0","212","5","0","56","3","0","50"
"18th St&Pennsylvania Ave NE-NS/BZ","62","1","882","20","0","184","19","1","228","12","0","141","9","0","221","1","0","57","1","0","51"
"18th St&Texas St NE-NS/BZ","95","2","975","25","0","209","19","1","246","11","1","151","23","0","244","9","0","66","8","0","59"
"18th St&Connecticut St NE-NS/BZ","205","19","1161","44","9","244","47","4","289","35","1","185","45","5","284","20","0","86","14","0","73"
"Connecticut St&17th St SE-NS","131","13","1279","21","9","256","22","2","309","24","1","208","51","1","334","8","0","94","5","0","78"
"17th St&Wisconsin St NW-FS/BZ","96","7","1368","2","4","254","16","2","323","25","1","232","31","0","365","16","0","110","6","0","84"
"17th St&De Haro St NE-NS/BZ","340","37","1671","44","14","284","61","8","376","102","5","329","100","9","456","21","1","130","12","0","96"
"17th St&Kansas St NE-NS","46","10","1707","1","3","282","14","2","388","11","2","338","10","0","466","9","1","138","1","2","95"
"16th St&Vermont St NW-FS/BZ","127","15","1819","18","0","300","25","5","408","30","3","365","46","5","507","4","2","140","4","0","99"
"16th St&Potrero Ave NW-FS/BZ","683","208","2294","125","20","405","215","43","580","116","59","422","150","50","607","42","26","156","35","10","124"
"16th St&Bryant St NE-NS/BZ","603","100","2795","101","13","493","178","28","730","122","30","514","144","23","728","40","4","191","18","2","139"
"16th St&Harrison St NE-NS/BZ","222","54","2963","14","9","498","88","21","797","35","6","543","57","12","773","19","0","210","9","6","142"
"16th St&Folsom St NW-FS/BZ","269","113","3119","88","20","566","76","35","838","43","26","560","48","21","800","5","8","207","9","3","148"
"16th St&Mission St NE-NS/BZ","1342","1162","3299","360","148","778","399","339","898","207","248","519","214","322","692","70","62","215","92","43","197"
"16th St&Valencia St NE-NS/BZ","414","165","3548","84","16","846","112","52","958","68","29","558","78","41","729","44","17","242","28","10","215"
"16th St&Guerrero St NE-NS/BZ","179","94","3633","37","10","873","50","26","982","23","18","563","37","24","742","22","7","257","10","9","216"
"16th St&Dolores St NE-NS","116","115","3634","30","41","862","42","29","995","18","17","564","15","25","732","5","1","261","6","2","220"
"16th St&Church St NE-NS/BZ","152","318","3468","45","146","761","39","51","983","32","50","546","29","47","714","5","20","246","2","4","218"
"Church St&Market St SE-NS","431","436","3463","77","69","769","113","126","970","84","84","546","84","107","691","42","31","257","31","19","230"
"Church St&Duboce Ave-NS","514","373","3604","65","82","752","139","91","1018","98","62","582","125","95","721","51","24","284","36","19","247"
"Hermann St&Fillmore St NE-NS/BZ","64","39","3629","16","8","760","14","11","1021","10","8","584","10","3","728","11","4","291","3","5","245"
"Fillmore St&Haight St SE-NS/BZ","397","419","3607","69","58","771","118","110","1029","64","79","569","104","110","722","24","37","278","18","25","238"
"Fillmore St&Oak St NE-FS/BZ","158","286","3479","54","34","791","39","78","990","25","44","550","28","78","672","5","31","252","7","21","224"
"Fillmore St&Hayes St NE-FS/BZ","168","288","3359","51","33","809","44","70","964","25","54","521","34","86","620","8","31","229","6","14","216"
"Fillmore St&Grove St NE-FS/BZ","40","73","3326","7","6","810","15","18","961","10","11","520","7","22","605","1","9","221","0","7","209"
"Fillmore St&Mcallister St SE","233","262","3297","59","39","830","87","68","980","39","47","512","35","68","572","5","22","204","8","18","199"
"Fillmore St&Golden Gate Ave NE","170","242","3225","39","31","838","71","82","969","31","51","492","22","52","542","5","15","194","2","11","190"
"Fillmore St&Eddy St NE-FS/BZ","207","285","3147","63","62","839","82","73","978","29","50","471","27","61","508","0","26","168","6","13","183"
"Fillmore St&O'Farrell St SE-NS/BZ","164","326","2985","34","64","809","54","115","917","40","51","460","25","61","472","7","20","155","4","15","172"
"Fillmore St&Geary Blvd NE-FS/BZ","293","772","2506","81","174","716","106","254","769","55","133","382","38","121","389","3","48","110","10","42","140"
"Fillmore St&Sutter St SE-NS/BZ","279","320","2465","59","67","708","86","122","733","54","58","378","51","49","391","12","12","110","17","12","145"
"Fillmore St&Pine St SW-FS/BZ","95","285","2275","21","60","669","25","94","664","20","50","348","17","48","360","5","12","103","7","21","131"
"Fillmore St&Sacramento St SE","208","637","1846","34","168","535","62","240","486","50","100","298","47","86","321","13","19","97","2","24","109"
