"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load","Midday On","Midday Off","Midday Load","School  On","School Off","School Load","PM Peak On","PM Peak Off","PM Peak Load","Evening On","Evening Off","Evening Load","Owl On","Owl Off","Owl Load"
"108-Treasure Island to Transbay Terminal Weekday",,,,,,,,,,,,,,,,,,,,,
"13th St&Gateview Ave NE-NS","210","0","367","41","0","44","53","0","56","16","0","24","36","0","89","26","0","85","38","0","69"
"Gateview Ave&North Point St NE-MB","183","117","433","43","1","86","49","16","89","20","14","30","43","48","84","23","25","83","5","13","61"
"Gateview Ave&Bayside Dr (Ti) NE-NS","183","112","504","46","1","131","52","8","133","13","10","33","37","39","82","20","35","68","15","19","57"
"Gateview Ave&Mason Ct SW-FS","228","169","563","57","1","187","66","20","179","24","19","38","35","51","66","20","49","39","26","29","54"
"Avenue B&Gateview Ct SW-FS","186","121","628","36","2","221","44","16","207","25","11","52","32","40","58","28","31","36","21","21","54"
"Avenue B&Halibut Ct SW-FS","1","1","628","0","0","221","1","0","208","0","0","52","0","0","58","0","0","36","0","1","53"
"Avenue B&Gateview St NW-NS","171","119","680","61","3","279","49","20","237","13","19","46","24","43","39","15","19","32","9","15","47"
"Avenue B&9th Ave NW-NS","144","73","751","21","4","296","42","21","258","12","13","45","27","18","48","20","13","39","22","4","65"
"9th St&Avenue C S-MB","79","32","798","5","6","295","22","14","266","12","4","53","34","7","75","6","1","44","0","0","65"
"9th St&Avenue E SE-FS","30","14","814","4","5","294","6","3","269","0","1","52","10","1","84","9","3","50","1","1","65"
"9th St&Avenue H SW-NS","81","5","890","2","1","295","8","2","275","22","1","73","41","1","124","3","0","53","5","0","70"
"Avenue H&6th St NW-NS","2","0","892","0","0","295","1","0","276","1","0","74","0","0","124","0","0","53","0","0","70"
"Avenue H&4th St NW-NS","128","15","1005","10","0","305","33","4","305","30","1","103","47","1","170","5","9","49","3","0","73"
"Avenue H&California St NW-NS","3","0","1008","0","0","305","0","0","305","1","0","104","2","0","172","0","0","49","0","0","73"
"California St&Avenue C MB N","394","3","1399","9","0","314","36","0","341","45","0","149","156","2","326","97","0","146","51","1","123"
"Treasure Island Main Gate SW-FS","80","7","1472","12","1","325","26","3","364","9","1","157","21","2","345","7","0","153","5","0","128"
"Macalla Rd.&Treasure Isl. Rd SE-FS","8","1","1479","1","0","326","1","0","365","1","0","158","4","1","348","0","0","153","1","0","129"
"Macalla Rd&NImitz Ct. SE-FS","14","3","1490","2","0","328","5","0","370","0","0","158","1","0","349","3","2","154","3","1","131"
"Macalla Rd&Bldg. 240 S-NS","13","0","1503","4","0","332","3","0","373","0","0","158","2","0","351","3","0","157","1","0","132"
"North Gate&Macalla Rd NW-FS","8","4","1507","1","0","333","1","0","374","2","3","157","3","1","353","1","0","158","0","0","132"
"Trans Bay Terminal","0","1357","150","0","333","0","0","373","1","0","148","9","0","302","51","0","101","57","0","100","32"
"Total Passenger Boardings ","2146","2153",,"355","358",,"498","500",,"246","245",,"555","557",,"286","288",,"206","205",
"Subject to disclaimer at www.sfmta.com/tepdata",,,,,,,,,,,,,,,,,,,,,
"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load","Midday On","Midday Off","Midday Load","School  On","School Off","School Load","PM Peak On","PM Peak Off","PM Peak Load","Evening On","Evening Off","Evening Load","Owl On","Owl Off","Owl Load"
"108-Treasure Island to Treasure Island Weekday",,,,,,,,,,,,,,,,,,,,,
"Trans Bay Terminal","1163","0","1164","118","0","118","197","0","198","142","0","142","349","0","349","208","0","208","149","0","149"
"Macalla St&Treasure Island Rd N-NS","2","51","1115","0","0","118","0","4","194","0","5","137","2","27","324","0","12","196","0","3","146"
"Treasure Island Gate SE-NS","2","66","1051","0","11","107","1","15","180","0","9","128","0","23","301","1","7","190","0","1","145"
"California St&Avenue D S-NS","48","634","465","5","64","48","6","89","97","8","78","58","14","166","149","9","137","62","6","100","51"
"California St&Avenue H SE-FS","0","30","435","0","14","34","0","7","90","0","3","55","0","1","148","0","5","57","0","0","51"
"California Ave&Avenue M SE-MI","1","4","432","0","0","34","0","3","87","0","0","55","0","0","148","1","1","57","0","0","51"
"Avenue M&3rd St NE-FS","1","1","432","0","0","34","0","0","87","0","0","55","1","0","149","0","1","56","0","0","51"
"Avenue M&8th St SE-NS","2","26","408","0","7","27","0","12","75","1","1","55","1","6","144","0","0","56","0","0","51"
"Avenue M&10th St NE-FS","1","14","395","0","3","24","1","4","72","0","1","54","0","3","141","0","2","54","0","1","50"
"Avenue M&13th St SE-NS","6","11","390","5","8","21","1","3","70","0","0","54","0","0","141","0","0","54","0","0","50"
"13th St&Gateview Ave NE-NS","0","379","11","0","17","4","0","66","4","0","53","1","0","139","2","0","54","0","0","50","0"
"Total Passenger Boardings ","1226","1216",,"128","124",,"206","203",,"151","150",,"367","365",,"219","219",,"155","155",
"Subject to disclaimer at www.sfmta.com/tepdata",,,,,,,,,,,,,,,,,,,,,

