"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load","Midday On","Midday Off","Midday Load","School  On","School Off","School Load","PM Peak On","PM Peak Off","PM Peak Load","Evening On","Evening Off","Evening Load","Owl On","Owl Off","Owl Load"
"1-California to 33rd Ave & Geary Weekday",,,,,,,,,,,,,,,,,,,,,
"Howard St&Main St E-NS/BZ","349","0","379","55","0","62","76","0","82","33","0","37","169","0","182","10","0","10","6","0","6"
"Main St&Market St NE-MB/BZ","104","16","467","9","0","71","15","0","97","17","0","54","60","16","226","2","0","12","1","0","7"
"Drumm St&California St NE-FS/BZ","493","4","956","122","1","192","147","0","244","70","1","123","137","2","361","10","0","22","7","0","14"
"Clay St&Drumm St SW-NS/BZ","438","0","501","20","0","28","71","0","91","44","0","51","181","0","194","90","0","101","32","0","36"
"Sacramento St&Davis St NE-NS/BZ","1235","14","2678","148","1","367","322","0","657","188","3","359","369","7","917","170","3","290","38","0","88"
"Sacramento St&Battery St NW-FS/BZ","739","25","3392","51","8","410","182","9","830","128","2","485","289","3","1203","63","3","350","26","0","114"
"Sacramento St&Sansome St NW-FS/BZ","564","27","3929","27","7","430","130","2","958","97","6","576","246","10","1439","51","2","399","13","0","127"
"Sacramento St&Montgomery St NW-FS","659","53","4535","53","10","473","132","22","1068","133","11","698","250","9","1680","69","1","467","22","0","149"
"Sacramento St&Kearny St NW-FS/BZ","885","125","5295","138","18","593","241","55","1254","159","15","842","259","31","1908","63","4","526","25","2","172"
"Sacramento St&Grant Ave NW-FS/BZ","724","225","5794","92","19","666","213","111","1356","148","45","945","176","39","2045","68","10","584","27","1","198"
"Sacramento St&Stockton St NE-NS/BZ","1110","795","6109","147","111","702","393","321","1428","187","154","978","298","181","2162","55","22","617","30","6","222"
"Sacramento St&Powell St NE-NS/BZ","254","276","6087","52","41","713","69","70","1427","37","59","956","63","80","2145","25","15","627","8","11","219"
"Sacramento St&Sproule Ln NE-NS","222","433","5876","48","56","705","63","110","1380","39","64","931","51","155","2041","10","30","607","11","18","212"
"Sacramento St&Jones St NE-NS/BZ","100","338","5638","25","27","703","25","59","1346","19","45","905","21","151","1911","7","45","569","3","11","204"
"Sacramento St&Leavenworth St NE-NS","177","330","5485","59","14","748","47","58","1335","24","42","887","33","159","1785","10","42","537","4","15","193"
"Sacramento St&Hyde St NE-NS/BZ","182","498","5169","49","41","756","67","131","1271","21","79","829","31","178","1638","11","53","495","3","16","180"
"Sacramento St&Larkin St NW-FS/BZ","139","377","4931","42","21","777","42","82","1231","24","77","776","22","148","1512","9","35","469","0","14","166"
"Sacramento St&Polk St NW-FS/BZ","430","508","4853","80","42","815","133","131","1233","67","83","760","96","194","1414","41","46","464","13","12","167"
