"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load","Midday On","Midday Off","Midday Load","School  On","School Off","School Load","PM Peak On","PM Peak Off","PM Peak Load","Evening On","Evening Off","Evening Load","Owl On","Owl Off","Owl Load"
"Fort Miley Hospital N-NS","0","92","143","0","22","83","0","28","18","0","7","11","0","20","4","0","1","0","0","14","27"
"43rd Ave&Clement St SW-FS","3","93","6","2","67","4",,,,,,,,,,,,,"1","26","2"
"43rd Ave&Point Lobos Ave NW-NS","0","0","6","0","0","4",,,,,,,,,,,,,"0","0","2"
"Point Lobos Ave&44th Ave NE-NS","0","16","51","0","0","4",,,,,,,"0","0","4","0","9","24","0","7","19"
"Point Lobos Ave&46th Ave NW-FS","1","8","44","1","1","4",,,,,,,"0","1","3","0","5","19","0","1","18"
"48th Ave&Point Lobos Ave SW-FS/BZ","0","37","7","0","3","1",,,,,,,"0","3","0","0","17","2","0","14","4"
"33rd Ave&Anza St NW-NS","4","174","971","0","124","80","2","18","272","2","13","224","0","9","222","0","7","101","0","3","72"
"33rd Ave&Balboa St NW-NS/BZ","8","67","912","1","6","75","3","16","259","2","18","208","2","14","210","0","11","90","0","2","70"
"Balboa St&35th Ave N-MB","19","76","855","2","9","68","8","19","248","6","22","192","3","18","195","0","8","82","0","0","70"
"Balboa St&37th Ave NE-NS","20","164","711","2","16","54","8","38","218","4","42","154","3","41","157","3","16","69","0","11","59"
"Balboa St&40th Ave NE-NS","8","113","606","2","12","44","5","28","195","0","26","128","1","38","120","0","3","66","0","6","53"
"Balboa St&43rd Ave NE-NS","6","86","526","0","4","40","2","20","177","3","22","109","1","21","100","0","12","54","0","7","46"
"45th Ave&Balboa St SW-FS","4","77","453","0","4","36","1","28","150","2","20","91","0","11","89","1","8","47","0","6","40"
"45th Ave&Cabrillo St NW-NS","1","65","389","0","5","31","0","12","138","1","13","79","0","21","68","0","8","39","0","6","34"
"Cabrillo St&47th Ave NE-NS","1","40","350","0","0","31","0","11","127","0","8","71","1","11","58","0","4","35","0","6","28"
"Cabrillo St&La Playa St NE-NS/SI","0","349","1","0","31","0","0","126","1","0","71","0","0","58","0","0","35","0","0","28","0"
"Total Passenger Boardings ","17855","17897",,"2828","2860",,"4248","4232",,"2981","2971",,"3878","3895",,"2458","2470",,"1462","1469",
"Subject to disclaimer at www.sfmta.com/tepdata",,,,,,,,,,,,,,,,,,,,,
"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load","Midday On","Midday Off","Midday Load","School  On","School Off","School Load","PM Peak On","PM Peak Off","PM Peak Load","Evening On","Evening Off","Evening Load","Owl On","Owl Off","Owl Load"
"38-Geary to Transbay Terminal Weekday",,,,,,,,,,,,,,,,,,,,,
"Cabrillo St&La Playa St NE-NS/SI","461","0","466","63","0","63","151","0","153","85","0","86","87","0","88","40","0","41","35","0","35"
"Cabrillo St&La Playa St SE-FS/BZ","0","0","466","0","0","63","0","0","153","0","0","86","0","0","88","0","0","41","0","0","35"
"Cabrillo St&47th Ave SW-NS","36","0","502","13","0","76","9","0","162","4","0","90","9","0","97","0","0","41","1","0","36"
"45th Ave&Cabrillo St NE-FS","89","4","587","28","2","102","32","0","194","9","2","97","13","0","110","3","0","44","4","0","40"
"45th Ave&Balboa St SE-NS","102","11","678","30","2","130","38","3","229","11","2","106","11","2","119","11","2","53","1","0","41"
"Balboa St&43rd Ave SW-NS","72","5","745","20","0","150","29","0","258","7","2","111","11","3","127","1","0","54","4","0","45"
"Balboa St&40th Ave SW-NS","124","17","852","42","4","188","40","6","292","19","2","128","14","3","138","4","2","56","5","0","50"
"Balboa St&37th Ave SW-NS","245","28","1069","48","4","232","101","9","384","33","6","155","41","6","173","13","3","66","9","0","59"
"Balboa St&34th Ave SW-NS","129","13","1185","34","1","265","43","4","423","20","3","172","18","3","188","9","1","74","5","1","63"
"33rd Ave&Balboa St NE-FS","38","17","1206","7","2","270","20","6","437","8","4","176","2","4","186","0","1","73","1","0","64"
"33rd Ave&Anza St SE-NS","33","33","1206","4","17","257","10","9","438","13","5","184","4","2","188","0","0","73","2","0","66"
"48th Ave&Point Lobos Ave SW-FS/BZ","46","0","48",,,,,,,,,,"11","0","11","18","0","19","17","0","18"
"Geary Blvd&45th Ave SW-NS","12","0","60",,,,,,,,,,"3","0","14","3","0","22","6","0","24"
"Fort Miley Hospital N-NS","348","0","407","24","0","43","127","0","149","83","0","92","105","0","113","9","0","10",,,
"Fort Miley Nursing Facility N-MB","0","0","407","0","0","43","0","0","149","0","0","92","0","0","113","0","0","10",,,
"43rd Ave&Clement St SW-FS","8","0","415","2","0","45","2","0","151","3","0","95","0","0","113","1","0","11",,,
"43rd Ave&Point Lobos Ave NW-NS","45","11","449","3","1","47","21","9","163","14","0","109","7","1","119","0","0","11",,,
"Geary Blvd&42nd Ave SE-FS/BZ","229","20","718","34","1","80","57","7","213","27","6","130","67","5","195","23","1","55","21","0","45"
"Geary Blvd&39th Ave SW-NS/BZ","195","16","897","48","4","124","48","2","259","28","3","155","41","5","231","22","2","75","8","0","53"
"Geary Blvd&36th Ave SW-NS/BZ","124","7","1014","28","3","149","33","3","289","22","1","176","23","0","254","10","0","85","8","0","61"
"Geary Blvd&33rd Ave SW-NS/BZ","371","61","1328","39","8","180","88","16","361","129","14","295","66","17","303","31","2","114","18","4","75"
"33rd Ave&Geary Blvd SE-NS","146","134","1218","26","47","236","47","51","434","32","13","203","14","18","184","9","4","78","18","1","83"
"Geary Blvd&32nd Ave SE-FS/BZ","239","14","2771","19","1","434","49","3","841","129","6","621","34","1","520","5","3","194","3","0","161"
"Geary Blvd&30th Ave SW-NS/BZ","555","100","3226","79","37","476","131","24","948","150","18","753","128","15","633","41","6","229","26","0","187"
"Geary Blvd&25th Ave SW-NS/BZ","701","158","3769","130","22","584","191","44","1095","119","42","830","140","37","736","64","10","283","57","3","241"
"Geary Blvd&23rd Ave SW-NS/BZ","222","74","3917","40","15","609","47","23","1119","44","15","859","36","13","759","28","6","305","27","2","266"
"Geary Blvd&20th Ave SW-NS/BZ","802","278","4441","107","29","687","261","98","1282","149","81","927","151","56","854","72","8","369","62","6","322"
"Geary Blvd&17th Ave SW-NS/BZ","499","191","4749","56","15","728","132","57","1357","99","54","972","116","48","922","57","14","412","39","3","358"
"Geary Blvd&Park Presidio Blvd SW-NS","584","332","5004","128","58","798","146","87","1416","107","102","980","114","61","975","43","16","439","46","8","396"
"Geary Blvd&12th Ave SE-FS/BZ","251","105","5150","51","22","827","53","25","1444","44","26","998","49","20","1004","30","9","460","24","3","417"
"Geary Blvd&9th Ave SE-FS/BZ","394","332","5212","68","35","860","111","117","1438","68","83","983","78","71","1011","42","16","486","27","10","434"
"Geary Blvd&6th Ave SW-NS/BZ","795","553","5454","139","62","937","226","173","1491","151","133","1001","174","111","1074","66","48","504","39","26","447"
"Geary Blvd&03rd Ave SW-NS/BZ","312","165","5601","39","9","967","83","41","1533","58","41","1018","61","45","1090","35","20","519","36","9","474"
