"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load","Midday On","Midday Off","Midday Load","School  On","School Off","School Load","PM Peak On","PM Peak Off","PM Peak Load","Evening On","Evening Off","Evening Load","Owl On","Owl Off","Owl Load"
"52-Excelsior to Forest Hill Station Weekday",,,,,,,,,,,,,,,,,,,,,
"Dublin St&LaGrande Ave SE/BZ","33","0","97","12","0","36","11","0","30","3","0","11","3","0","10","4","0","8","0","0","2"
"Brazil Ave&Prague St NE","19","0","116","5","0","41","10","0","40","1","0","12","1","0","11","0","0","8","2","0","4"
"Brazil Ave&Moscow St E-NS","54","2","168","14","1","54","30","1","69","4","0","16","5","0","16","1","0","9","0","0","4"
"Brazil Ave&Athens St E-NS","38","0","206","16","0","70","14","0","83","6","0","22","0","0","16","2","0","11","0","0","4"
"Brazil Ave&Naples St E-NS","54","4","256","26","1","95","16","0","99","6","2","26","4","1","19","2","0","13","0","0","4"
"Brazil Ave&Madrid St E-NS","32","3","285","18","0","113","9","0","108","2","0","28","1","1","19","0","2","11","2","0","6"
"Brazil Ave&Paris St E-NS","5","1","289","5","0","118","0","0","108","0","0","28","0","1","18","0","0","11","0","0","6"
"Brazil Ave&Mission St E-NS","48","53","284","21","15","124","15","24","99","6","9","25","6","5","19","0","0","11","0","0","6"
"Mission St&Excelsior Ave E-FS/BZ","76","15","345","28","2","150","28","7","120","5","1","29","8","5","22","6","0","17","1","0","7"
"Silver Ave&Mission St N-FS","83","28","400","48","5","193","20","15","125","4","5","28","7","0","29","4","2","19","0","1","6"
"Silver Ave&Alemany Blvd E-NS","18","2","416","8","0","201","6","2","129","2","0","30","2","0","31","0","0","19","0","0","6"
"Rousseau St&Cayuga Ave E-NS","12","0","428","4","0","205","5","0","134","0","0","30","3","0","34","0","0","19","0","0","6"
"Still St&Lyell St NE-NS","5","0","433","3","0","208","0","0","134","0","0","30","0","0","34","2","0","21","0","0","6"
"Bosworth St&Diamond St NE-NS/BZ","295","273","456","52","148","112","34","76","92","24","16","38","142","21","156","32","9","44","11","3","14"
"Diamond St&Chenery St SE-NS","43","2","497","2","0","114","5","1","96","6","0","44","23","0","179","5","0","49","2","1","15"
"Diamond St&Surrey St SE-NS","6","2","501","0","0","114","4","0","100","0","0","44","1","2","178","1","0","50","0","0","15"
"Diamond St&Sussex St E-MI","7","1","507","1","0","115","2","0","102","2","0","46","2","1","179","0","0","50","0","0","15"
"Diamond St&Arbor St E-MI","5","18","494","2","1","116","2","2","102","1","5","42","0","8","171","0","2","48","0","0","15"
"Diamond St&Moffitt St NE-FS","0","0","494","0","0","116","0","0","102","0","0","42","0","0","171","0","0","48","0","0","15"
"Diamond St&Conrad St NW-FS","2","17","479","0","1","115","2","3","101","0","3","39","0","6","165","0","4","44","0","0","15"
"Diamond St&Diamond Heights Blvd-NS","5","25","459","2","4","113","0","3","98","0","2","37","1","14","152","2","1","45","0","1","14"
"Diamond Heights Blvd&Berkeley SE-NS","4","9","454","0","0","113","1","1","98","2","2","37","1","3","150","0","2","43","0","1","13"
"Diamond Heights Blvd&Addison  NE-FS","9","39","424","2","5","110","3","5","96","2","5","34","1","16","135","1","6","38","0","2","11"
