"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load","Midday On","Midday Off","Midday Load","School  On","School Off","School Load","PM Peak On","PM Peak Off","PM Peak Load","Evening On","Evening Off","Evening Load","Owl On","Owl Off","Owl Load"
"10-Townsend to Van Ness & North Weekday",,,,,,,,,,,,,,,,,,,,,
"17th St&De Haro St NE-NS/BZ","272","0","471","126","0","204","59","0","99","40","0","76","41","0","76","3","0","8","3","0","8"
"De Haro St&16th St SE-NS","12","0","483","2","0","206","6","0","105","3","0","79","1","0","77","0","0","8","0","0","8"
"Rhode Island St&16th St NE-FS","16","0","499","5","0","211","2","0","107","2","0","81","6","0","83","0","0","8","1","0","9"
"Rhode Island St&15th St SE-NS","45","1","543","9","0","220","12","0","119","7","0","88","15","1","97","2","0","10","0","0","9"
"Rhode Island St&Alameda St SE-NS","8","0","551","1","0","221","2","0","121","2","0","90","3","0","100","0","0","10","0","0","9"
"Division St&Townsend St NE-NS/BZ","65","0","616","23","0","244","16","0","137","7","0","97","15","0","115","3","0","13","1","0","10"
"Townsend St&7th St S-NS","50","2","664","11","0","255","10","0","147","5","2","100","21","0","136","2","0","15","1","0","11"
"Townsend St&6th St S-NS","12","0","676","5","0","260","2","0","149","2","0","102","3","0","139","0","0","15","0","0","11"
"Townsend St&5th St S-NS","16","0","692","4","0","264","5","0","154","2","0","104","5","0","144","0","0","15","0","0","11"
"Townsend St&4th St S-NS/BZ","384","86","990","246","13","497","75","28","201","14","20","98","42","23","163","2","1","16","5","1","15"
"Townsend St&3rd St E-FS/BZ","47","28","1009","15","4","508","10","7","204","6","13","91","12","3","172","1","1","16","3","0","18"
"2nd St&Townsend St N-FS/BZ","17","6","1020","5","1","512","3","3","204","1","0","92","8","2","178","0","0","16","0","0","18"
"2nd St&Brannan St E-NS/BZ","37","14","1043","6","3","515","10","4","210","5","3","94","15","4","189","0","0","16","1","0","19"
"2nd St&Bryant St N-FS/BZ","32","7","1068","5","2","518","6","2","214","6","3","97","11","0","200","3","0","19","1","0","20"
"2nd St&Harrison St N-FS/BZ","12","28","1052","2","16","504","2","8","208","3","1","99","5","3","202","0","0","19","0","0","20"
"2nd St&Folsom St E-NS/BZ","26","63","1015","1","39","466","2","12","198","4","2","101","19","9","212","0","1","18","0","0","20"
"Fremont St&Folsom St N-FS/BZ","7","10","1012","2","7","461","3","2","199","1","1","101","1","0","213","0","0","18","0","0","20"
"Fremont St&Howard St E-NS","30","119","923","16","68","409","3","18","184","1","8","94","9","23","199","1","2","17","0","0","20"
"Fremont St&Mission St E-NS/BZ","43","111","855","34","55","388","2","19","167","1","11","84","5","22","182","1","3","15","0","1","19"
"Fremont St&Market St E-NS/SI","248","226","877","92","79","401","66","44","189","22","33","73","57","61","178","3","4","14","8","5","22"
"Pine St&Battery St NW-FS/BZ","61","45","893","15","22","394","5","11","183","10","2","81","26","8","196","4","0","18","1","2","21"
"Sansome St&California St NE-FS","112","69","936","32","41","385","17","13","187","15","2","94","46","9","233","2","2","18","0","2","19"
"Sansome St&Sacramento St NE-FS/BZ","131","67","1000","50","36","399","27","12","202","8","4","98","42","12","263","3","0","21","1","3","17"
"Sansome St&Washington St NE-FS/BZ","46","41","1005","13","24","388","9","7","204","8","3","103","14","6","271","2","0","23","0","1","16"
"Sansome St&Pacific Ave NE-FS/BZ","22","47","980","6","26","368","6","15","195","0","1","102","10","4","277","0","1","22","0","0","16"
"Sansome St&Vallejo St NE-FS/BZ","9","73","916","3","50","321","1","12","184","0","4","98","5","5","277","0","1","21","0","1","15"
"Sansome St&Union St NE-FS","4","52","868","1","36","286","1","9","176","1","0","99","1","7","271","0","0","21","0","0","15"
"Sansome St&Filbert St NE-FS/BZ","27","136","759","1","81","206","2","30","148","5","7","97","18","11","278","1","2","20","0","5","10"
"Sansome St&Lombard St SE-NS/BZ","21","94","686","1","50","157","4","14","138","4","13","88","10","17","271","2","0","22","0","0","10"
"The Embarcadero&Bay St E-NS/FL","1","26","661","0","9","148","0","10","128","1","1","88","0","6","265","0","0","22","0","0","10"
"North Point St&Kearny St NW-FS/BZ","16","57","620","1","21","128","6","25","109","7","5","90","2","5","262","0","0","22","0","1","9"
"North Point St&Stockton St NE-NS","34","132","522","4","26","106","11","32","88","7","19","78","10","48","224","1","4","19","1","3","7"
"North Point St&Mason St NW-FS/BZ","66","125","463","6","18","94","19","25","82","18","30","66","19","46","197","4","4","19","0","2","5"
"North Point St&Jones St NW-FS/BZ","30","44","449","5","19","80","7","5","84","8","7","67","7","9","195","2","2","19","1","2","4"
"North Point St&Hyde St NE-NS/BZ","1","80","370","0","15","65","0","12","72","1","16","52","0","33","162","0","3","16","0","1","3"
"North Point St&Larkin St NE-NS/BZ","4","42","332","0","2","63","3","7","68","0","5","47","1","27","136","0","1","15","0","0","3"
"North Point St&Polk St NW-FS/BZ","2","126","208","0","34","29","0","28","40","1","13","35","1","44","93","0","7","8","0","0","3"
"Van Ness Ave&North Point St NE-FS","0","0","208","0","0","29","0","0","40","0","0","35","0","0","93","0","0","8","0","0","3"
"Van Ness Ave&No. Point St NW-NS/BZ","0","195","13","0","29","0","0","39","1","0","31","4","0","86","7","0","7","1","0","3","0"
"Total Passenger Boardings ","1966","2152",,"748","826",,"414","453",,"228","260",,"506","534",,"42","46",,"28","33",
"Subject to disclaimer at www.sfmta.com/tepdata"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load","Midday On","Midday Off","Midday Load","School  On","School Off","School Load","PM Peak On","PM Peak Off","PM Peak Load","Evening On","Evening Off","Evening Load","Owl On","Owl Off","Owl Load"
"10-Townsend to 17th & De Haro Weekday",,,,,,,,,,,,,,,,,,,,,
"Van Ness Ave&No. Point St NW-NS/BZ","244","0","391","95","0","133","72","0","106","31","0","58","45","0","90","1","0","1","0","0","3"
"North Point St&Van Ness Ave SE-FS","0","0","391","0","0","133","0","0","106","0","0","58","0","0","90","0","0","1","0","0","3"
