,,,,,,,,,,,,,,,,,,,,,,"Passenger Activity Report"
,"SF MTA",,,,,,,,,,,,,,,,,,,,,"Weekday"
,"N - Judah - Two Cars",,,,,,,,,,,,,,,,,,,,,"Inbound"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Daily Total",,,"AM Peak",,,"Midday",,,"School",,,"PM Peak",,,"Evening",,,"Night",,
,"Stop","On","Off","Load","On","Off","Load","On","Off","Load","On","Off","Load","On","Off","Load","On","Off","Load","On","Off","Load"
,"King St&6th St **","139","0","141","3","0","5","38","0","38","29","0","29","22","0","22","33","0","33","14","0","14"
,"King St&4th St","2159","0","2300","518","0","523","461","0","499","251","0","280","612","0","634","246","0","279","71","0","85"
,"King St&2nd St W-NS/SI","1302","17","3585","68","2","589","187","6","680","180","6","454","427","3","1058","402","0","681","38","0","123"
,"Embarcadero&Brannan St","482","68","3999","93","4","678","146","11","815","63","13","504","109","23","1144","54","15","720","17","2","138"
,"The Embarcadero&Folsom St S-NS","572","226","4345","27","69","636","121","61","875","94","21","577","263","43","1364","59","28","751","8","4","142"
,"Tunnel Entry Point Inbound Nea","16","5","4356","0","0","636","0","0","875","9","4","582","4","1","1367","3","0","754","0","0","142"
,"EMBARCADERO STATION OB","3367","1409","6314","491","284","843","486","282","1079","389","195","776","1478","373","2472","416","256","914","107","19","230"
,"Montgomery Station Outbound","2916","541","8689","174","133","884","386","181","1284","375","67","1084","1402","96","3778","473","51","1336","106","13","323"
,"Powell Station Outbound","3444","762","11371","242","48","1078","717","297","1704","591","117","1558","1080","198","4660","692","84","1944","122","18","427"
,"Civic Center Station Outbound","1858","741","12488","434","119","1393","419","199","1924","265","88","1735","476","166","4970","185","144","1985","79","25","481"
,"VANNESS STATION OB","1298","956","12830","156","205","1344","297","246","1975","261","90","1906","357","248","5079","180","134","2031","47","33","495"
,"Duboce Ave&Church St NW-FS/SI","1470","1355","12945","219","84","1479","288","194","2069","250","183","1973","341","615","4805","234","186","2079","138","93","540"
