"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load","Midday On","Midday Off","Midday Load","School  On","School Off","School Load","PM Peak On","PM Peak Off","PM Peak Load","Evening On","Evening Off","Evening Load","Owl On","Owl Off","Owl Load"
"3-Jackson to Market & Sansome Weekday",,,,,,,,,,,,,,,,,,,,,
"Walnut St&California St E-MB","1","0","165","0","0","16","0","0","45","0","0","16","1","0","49","0","0","21","0","0","18"
"Sacramento St&Walnut St S-MB","11","0","176","4","0","20","2","0","47","2","0","18","1","0","50","0","0","21","2","0","20"
"Sacramento St&Presidio Ave SW","1","0","177","0","0","20","0","0","47","0","0","18","0","0","50","0","0","21","1","0","21"
"Presidio Ave&Clay St SE-NS","12","0","189","5","0","25","4","0","51","0","0","18","3","0","53","0","0","21","0","0","21"
"Presidio Ave&Jackson St SE-NS","30","3","216","8","2","31","7","0","58","8","0","26","6","1","58","1","0","22","0","0","21"
"Jackson St&Baker St SE-FS","64","3","277","26","3","54","16","0","74","11","0","37","9","0","67","0","0","22","2","0","23"
"Jackson St&Divisadero St SW-NS/BZ","44","2","319","17","0","71","10","0","84","5","1","41","10","1","76","2","0","24","0","0","23"
"Jackson St&Scott St SW-NS","30","0","349","13","0","84","4","0","88","4","0","45","9","0","85","0","0","24","0","0","23"
"Jackson St&Steiner St SW-NS/BZ","9","4","354","1","1","84","2","1","89","1","2","44","5","0","90","0","0","24","0","0","23"
"Fillmore St&Jackson St SW-FS/BZ","138","20","472","63","2","145","35","6","118","13","4","53","17","5","102","4","0","28","6","3","26"
"Fillmore St&Sacramento St NW","139","19","592","28","5","168","40","6","152","19","2","70","27","3","126","15","3","40","10","0","36"
"Fillmore St&Pine St SW-FS/BZ","71","15","648","13","2","179","13","3","162","8","3","75","17","7","136","2","0","42","18","0","54"
"Sutter St&Fillmore St SE-FS/BZ","245","32","861","48","4","223","74","9","227","37","4","108","43","11","168","29","3","68","14","1","67"
"Sutter St&Buchanan St SE-FS/BZ","128","25","964","22","2","243","42","16","253","20","3","125","23","4","187","11","0","79","10","0","77"
"Sutter St&Laguna St SW-NS/BZ","42","12","994","23","1","265","9","2","260","3","3","125","5","2","190","2","4","77","0","0","77"
"Post St&Laguna St SE-FS/BZ","74","14","1054","9","0","274","22","7","275","12","3","134","23","4","209","6","0","83","2","0","79"
"Post St&Octavia St SW-NS/BZ","28","18","1064","9","0","283","9","9","275","2","5","131","5","4","210","1","0","84","2","0","81"
"Post St&Gough St SW-NS/BZ","104","42","1126","39","6","316","30","14","291","13","7","137","12","7","215","7","4","87","3","4","80"
"Post St&Van Ness Ave SE-FS/BZ","173","90","1209","32","22","326","50","25","316","19","11","145","50","14","251","20","11","96","2","7","75"
"Post St&Polk St SE-FS/BZ","90","31","1268","20","2","344","24","7","333","16","5","156","18","4","265","6","6","96","6","7","74"
"Post St&Larkin St SE-FS/BZ","99","48","1319","21","5","360","31","8","356","15","6","165","26","19","272","4","6","94","2","4","72"
"Post St&Hyde St SE-FS/BZ","74","60","1333","28","7","381","25","15","366","10","9","166","11","11","272","0","5","89","0","13","59"
