"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load","Midday On","Midday Off","Midday Load","School  On","School Off","School Load","PM Peak On","PM Peak Off","PM Peak Load","Evening On","Evening Off","Evening Load","Owl On","Owl Off","Owl Load"
"21-Hayes to 8th Avenue & Fulton Weekday",,,,,,,,,,,,,,,,,,,,,
"Steuart St&Mission St **/DS","50","0","144","6","0","20","9","0","42","9","0","16","14","0","40","6","0","11","6","0","15"
"Steuart St&Market St E-NS","237","77","304","57","16","61","49","20","71","24","4","36","67","25","82","25","5","31","15","7","23"
"Market St&Drumm St N-NS/BZ","254","5","553","15","2","74","58","3","126","27","0","63","113","0","195","33","0","64","8","0","31"
"Market St&Front St N-NS/BZ","234","10","777","26","4","96","33","1","158","24","2","85","110","2","303","31","1","94","10","0","41"
"Market St&Sansome St W-FS/BZ","300","57","1020","15","17","94","53","12","199","37","8","114","121","17","407","63","2","155","11","1","51"
"Market St&Montgomery St W-FS/BZ","320","40","1297","26","5","112","65","18","246","39","1","152","118","14","511","53","2","206","19","0","70"
"Market St&Grant Ave W-FS/BZ","319","120","1496","24","16","120","69","31","284","42","16","178","99","46","564","68","8","266","17","3","84"
"Market St&Powell St N-NS/BZ","558","150","1904","63","9","174","115","45","354","71","26","223","134","44","654","125","19","372","50","7","127"
"Market St&Mason St W-FS/BZ","139","72","1971","18","9","183","49","22","381","25","7","241","29","21","662","16","11","377","2","2","127"
"Market St&7th St N-NS/BZ","184","89","2066","22","7","198","57","24","414","27","19","249","49","19","692","14","12","379","15","8","134"
"Market St&Hyde St N-NS/BZ","307","78","2295","81","8","271","87","26","475","41","9","281","68","26","734","19","5","393","11","4","141"
"Hayes St&Larkin St NW-FS/BZ","173","53","2415","29","4","296","51","18","508","29","16","294","45","8","771","14","5","402","5","2","144"
"Hayes St&Van Ness Ave NW-FS/BZ","230","67","2578","28","7","317","72","16","564","44","10","328","63","19","815","14","13","403","9","2","151"
"Hayes St&Franklin St NW-FS/BZ","64","45","2597","12","4","325","18","14","568","14","8","334","11","18","808","6","0","409","3","1","153"
"Hayes St&Gough St NW-FS/BZ","94","121","2570","12","14","323","23","14","577","14","20","328","30","48","790","8","19","398","7","6","154"
"Hayes St&Laguna St NE-NS/BZ","97","139","2528","20","10","333","20","20","577","15","21","322","23","49","764","16","22","392","3","17","140"
"Hayes St&Buchanan St NW-FS/BZ","44","92","2480","7","5","335","18","25","570","5","15","312","10","35","739","4","9","387","0","3","137"
"Hayes St&Webster St NW-FS/BZ","32","100","2412","4","2","337","8","19","559","6","16","302","8","40","707","4","15","376","2","8","131"
"Hayes St&Fillmore St NW-FS/BZ","182","228","2366","41","34","344","54","55","558","31","23","310","35","63","679","14","34","356","7","19","119"
"Hayes St&Steiner St NW-FS/BZ","31","129","2268","6","8","342","7","17","548","5","38","277","7","40","646","6","24","338","0","2","117"
"Hayes St&Pierce St NE-NS/BZ","27","132","2163","6","33","315","13","26","535","6","8","275","2","37","611","0","19","319","0","9","108"
"Hayes St&Scott St NW-FS/BZ","14","143","2034","2","13","304","7","21","521","2","15","262","3","58","556","0","29","290","0","7","101"
"Hayes St&Divisadero St NW-FS/BZ","92","271","1855","15","39","280","24","67","478","12","30","244","28","70","514","8","51","247","5","14","92"
"Hayes St&Broderick St NW-FS/BZ","28","109","1774","9","4","285","6","18","466","3","16","231","4","43","475","4","21","230","2","7","87"
"Hayes St&Baker St NW-FS/BZ","56","224","1606","9","35","259","25","85","406","12","35","208","9","44","440","1","21","210","0","4","83"
"Hayes St&Lyon St NE-NS/BZ","10","136","1480","0","3","256","4","26","384","2","25","185","0","43","397","4","29","185","0","10","73"
"Hayes St&Central Ave NE-NS/BZ","6","123","1363","0","9","247","2","16","370","1","13","173","1","51","347","0","23","162","2","11","64"
"Hayes St&Masonic Ave NW-FS/BZ","37","315","1085","5","79","173","20","94","296","7","39","141","4","67","284","1","27","136","0","9","55"
"Hayes St&Ashbury St NE-NS/BZ","28","97","1016","3","11","165","7","21","282","6","11","136","7","36","255","4","15","125","1","3","53"
"Hayes St&Clayton St NW-FS/BZ","6","78","944","4","12","157","0","19","263","0","6","130","1","23","233","0","13","112","1","5","49"
"Hayes St&Cole St NE-NS/BZ","9","129","824","1","27","131","4","29","238","0","18","112","3","36","200","1","14","99","0","5","44"
"Hayes St&Shrader St NE-NS/BZ","7","141","690","0","44","87","1","49","190","3","23","92","2","23","179","1","2","98","0","0","44"
"Hayes St&Stanyan St NE-NS/BZ","11","71","630","1","18","70","4","18","176","3","13","82","3","12","170","0","6","92","0","4","40"
"Fulton St&Stanyan St NW-FS/BZ","22","74","578","2","10","62","6","18","164","3","8","77","7","19","158","4","16","80","0","3","37"
"Fulton St&Arguello Blvd NW-FS/BZ","8","90","496","0","7","55","4","19","149","2","16","63","1","27","132","0","14","66","1","7","31"
"Fulton St&4th Ave NW-FS/BZ","2","43","455","0","2","53","1","13","137","0","2","61","0","13","119","1","13","54","0","0","31"
"6th Ave&Fulton St NE-FS/BZ","5","131","329","0","14","39","0","25","112","3","16","48","1","36","84","1","30","25","0","10","21"
"Cabrillo St&6th Ave NW-FS","1","96","226","0","9","30","0","35","77","1","17","32","0","26","53","0","7","17","0","2","17"
"8th Ave&Cabrillo St SW-FS","2","70","158","0","5","25","1","26","52","0","11","21","1","19","35","0","7","10","0","2","15"
"Fulton St&8th Ave SE-FS/BZ","0","118","40","0","18","7","0","42","10","0","19","2","0","23","12","0","7","3","0","9","6"
"Total Passenger Boardings ","4220","4263",,"569","573",,"1044","1067",,"595","600",,"1231","1240",,"569","570",,"212","213",
"Subject to disclaimer at www.sfmta.com/tepdata",,,,,,,,,,,,,,,,,,,,,
