"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load","Midday On","Midday Off","Midday Load","School  On","School Off","School Load","PM Peak On","PM Peak Off","PM Peak Load","Evening On","Evening Off","Evening Load","Owl On","Owl Off","Owl Load"
"6-Parnassus to 14th Avenue & Quintar Weekday",,,,,,,,,,,,,,,,,,,,,
"Trans Bay Terminal E-NS/SI","245","0","281","51","0","62","69","0","74","28","0","30","55","0","64","26","0","31","16","0","20"
"Fremont St&Market St E-NS/SI","94","15","360","16","4","74","22","2","94","10","0","40","28","5","87","7","4","34","11","0","31"
"Market St&Battery St N-NS/SI","166","5","521","14","2","86","42","2","134","25","1","64","61","0","148","13","0","47","11","0","42"
"Market St&2nd St N-NS/SI","218","16","723","15","2","99","48","6","176","36","5","95","69","3","214","37","0","84","13","0","55"
"Market St&Kearny St N-NS/SI","303","39","987","34","4","129","93","14","255","40","4","131","80","12","282","35","2","117","21","3","73"
"Market St&Stockton St N-NS/SI","381","100","1268","39","8","160","117","35","337","60","22","169","95","27","350","35","7","145","35","1","107"
"Market St&5th  St N-NS/SI","403","134","1537","37","12","185","117","41","413","68","20","217","82","46","386","53","9","189","46","6","147"
"Market St&Taylor St N-NS/SI","175","138","1574","17","20","182","68","51","430","32","22","227","31","30","387","17","10","196","10","5","152"
"Market St&7th St N-NS/BZ","197","183","1588","19","38","163","69","62","437","34","30","231","43","28","402","15","16","195","17","9","160"
"Market St&Hyde St N-NS/BZ","254","176","1666","40","21","182","81","68","450","36","30","237","59","35","426","22","15","202","16","7","169"
"Market St&Larkin St N-NS/SI","97","106","1657","8","13","177","38","40","448","23","27","233","19","15","430","5","5","202","4","6","167"
"Market St&Van Ness Ave N-NS/SI","280","232","1705","29","38","168","83","88","443","46","36","243","73","42","461","28","20","210","21","8","180"
"Haight St&Gough St NW-FS/BZ","91","108","1688","6","12","162","27","31","439","12","19","236","31","31","461","8","8","210","7","7","180"
"Haight St&Octavia St NW-FS","29","27","1690","5","0","167","6","2","443","4","3","237","9","16","454","4","3","211","1","3","178"
"Haight St&Laguna St NW-FS/BZ","31","41","1680","1","3","165","9","8","444","7","9","235","8","12","450","2","6","207","4","3","179"
"Haight St&Buchanan St NE-NS/BZ","14","102","1592","3","11","157","3","26","421","3","15","223","2","29","423","1","14","194","2","7","174"
"Haight St&Fillmore St NW-FS/BZ","203","201","1596","29","9","178","65","56","430","33","37","219","43","51","415","23","26","191","10","22","163"
"Haight St&Pierce St NE-NS/BZ","71","69","1598","10","3","185","20","14","436","10","10","219","16","17","414","10","14","187","5","11","157"
"Haight St&Divisadero St NW-FS/BZ","132","160","1570","29","14","200","41","44","433","14","26","207","26","39","401","14","23","178","8","14","151"
"Haight St&Baker St NE-NS/BZ","18","103","1485","6","11","195","4","21","416","4","15","196","4","37","368","0","13","165","0","6","145"
"Haight St&Central Ave NE-NS/BZ","13","119","1379","5","7","193","0","25","391","2","15","183","4","48","324","1","15","151","1","9","137"
"Haight St&Masonic Ave NW-FS/BZ","81","481","979","15","40","168","25","154","262","16","78","121","18","117","225","6","59","98","1","33","105"
"Masonic Ave&Haight St SW-FS/BZ","0","0","979","0","0","168","0","0","262","0","0","121","0","0","225","0","0","98","0","0","105"
"Masonic Ave&Frederick St NW-NS","2","51","930","1","2","167","1","8","255","0","7","114","0","23","202","0","6","92","0","5","100"
"Frederick St&Ashbury St NW-FS/BZ","30","48","912","11","9","169","4","9","250","10","7","117","4","14","192","0","6","86","1","3","98"
"Frederick St&Clayton St NE-NS","3","18","897","1","0","170","0","2","248","1","2","116","1","6","187","0","6","80","0","2","96"
"Clayton St&Carl St NW-NS","1","5","893","0","1","169","0","1","247","1","0","117","0","0","187","0","0","80","0","3","93"
"Clayton St&Parnassus Ave NW-NS","5","12","886","2","0","171","1","2","246","0","2","115","2","5","184","0","1","79","0","2","91"
"Parnassus Ave&Cole St NW-FS/BZ","21","29","878","6","7","170","5","9","242","3","2","116","4","3","185","2","4","77","1","4","88"
"Parnassus Ave&Shrader St NE-NS","9","9","878","3","1","172","4","2","244","1","1","116","0","2","183","0","2","75","1","1","88"
"Parnassus Ave&Stanyan St NW-FS/BZ","21","26","873","5","2","175","4","6","242","6","3","119","4","6","181","1","4","72","1","5","84"
"Parnassus Ave&Willard St NW-FS/BZ","3","14","862","0","2","173","1","3","240","1","4","116","1","3","179","0","1","71","0","1","83"
"Parnassus Ave&Hillway Ave NW","43","182","723","4","65","112","16","69","187","10","19","107","11","19","171","1","7","65","1","3","81"
"500 Parnassus Ave NW-FS/BZ","111","77","757","7","29","90","21","26","182","30","7","130","44","6","209","8","4","69","1","5","77"
"Parnassus Ave&4th Ave NE-NS/BZ","18","31","744","1","12","79","4","12","174","2","2","130","8","2","215","2","1","70","1","2","76"
"Judah St&6th Ave NE-NS","4","24","724","1","1","79","2","7","169","0","1","129","0","7","208","1","3","68","0","5","71"
"Judah St&7th Ave NW-FS/BZ","10","30","704","1","6","74","2","8","163","2","4","127","3","2","209","0","3","65","2","7","66"
"9th Ave&Judah St SW-FS/BZ","211","211","704","27","15","86","55","43","175","44","42","129","65","66","208","16","22","59","4","23","47"
"9th Ave&Kirkham St NW-NS/BZ","15","26","693","1","0","87","6","6","175","5","5","129","3","12","199","0","2","57","0","1","46"
"9th Ave&Lawton St NW-NS/RC","31","45","679","6","4","89","9","13","171","4","7","126","9","11","197","2","2","57","1","8","39"
"9th Ave&Moraga St NW-NS/BZ","6","90","595","3","7","85","0","26","145","1","19","108","2","27","172","0","7","50","0","4","35"
"9th Ave&Noriega St NW-NS/BZ","1","86","510","1","9","77","0","19","126","0","13","95","0","32","140","0","8","42","0","5","30"
"9th Ave&Ortega St NW-NS","1","59","452","0","6","71","1","16","111","0","18","77","0","15","125","0","2","40","0","2","28"
"Ortega St&10th Ave NE-NS/BZ","3","47","408","1","4","68","0","8","103","0","6","71","0","17","108","0","7","33","2","5","25"
"10th Ave&Pacheco St SW-FS","3","58","353","1","5","64","2","21","84","0","12","59","0","14","94","0","5","28","0","1","24"
"10th Ave&Quintara St NW-NS","5","34","324","0","6","58","0","5","79","2","6","55","1","12","83","2","5","25","0","0","24"
"Quintara St&Cragmont Ave NW-FS","1","31","294","0","0","58","1","10","70","0","7","48","0","12","71","0","2","23","0","0","24"
"Quintara St&12th Ave NE-NS","2","32","264","0","1","57","1","10","61","0","4","44","1","14","58","0","2","21","0","1","23"
"Quintara St&Funston Ave NE-NS","1","15","250","0","2","55","1","1","61","0","10","34","0","2","56","0","0","21","0","0","23"
"14th Ave&Quintara St W-MI","0","247","3","0","55","0","0","59","2","0","34","0","0","56","0","0","21","0","0","22","1"
"Total Passenger Boardings ","4057","4092",,"511","523",,"1188","1191",,"666","668",,"1019","1028",,"397","402",,"276","280",
"Subject to disclaimer at www.sfmta.com/tepdata",,,,,,,,,,,,,,,,,,,,,
