"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load","Midday On","Midday Off","Midday Load","School  On","School Off","School Load","PM Peak On","PM Peak Off","PM Peak Load","Evening On","Evening Off","Evening Load","Owl On","Owl Off","Owl Load"
"43-Masonic to Geneva & Munich Weekday",,,,,,,,,,,,,,,,,,,,,
"Chestnut St&Fillmore St NE-NS/BZ","517","0","528","78","0","79","143","0","145","116","0","117","117","0","119","37","0","37","26","0","31"
"Lombard St&Pierce St NE-NS/BZ","104","0","632","20","0","99","23","0","168","21","0","138","26","0","145","9","0","46","5","0","36"
"Lombard St&Divisadero St NW-FS/BZ","190","1","821","33","0","132","45","0","213","45","0","183","40","1","184","16","0","62","11","0","47"
"Lombard St&Lyon St NE-NS/BZ","125","13","933","31","0","163","35","3","245","17","6","194","28","4","208","6","0","68","8","0","55"
"Letterman Dr&Tide Bldg N-MB","79","24","988","7","3","167","18","6","257","16","11","199","33","3","238","4","1","71","1","0","56"
"Presidio Blvd&Letterman Dr S-FS","169","21","1136","17","6","178","28","4","281","40","1","238","56","7","287","24","2","93","4","1","59"
"Presidio Blvd&Sumner Ave N-NS","23","6","1153","3","0","181","9","4","286","6","1","243","5","1","291","0","0","93","0","0","59"
"Presidio Ave&Jackson St NW-NS","48","15","1186","4","7","178","12","4","294","13","4","252","19","0","310","0","0","93","0","0","59"
"Presidio Ave&Clay St NW-NS","29","17","1198","6","4","180","3","4","293","15","4","263","5","4","311","0","1","92","0","0","59"
"Presidio Ave&California St NW-NS","401","110","1489","49","14","215","111","34","370","90","30","323","106","22","395","33","8","117","12","2","69"
"Presidio Ave&Pine St NW-NS","25","1","1513","3","0","218","7","1","376","8","0","331","7","0","402","0","0","117","0","0","69"
"Presidio Ave&Sutter St SW-FS/BZ","86","33","1566","12","3","227","22","4","394","18","8","341","26","8","420","5","7","115","3","3","69"
"Presidio Ave&Geary Blvd NW-NS/BZ","241","190","1617","41","24","244","81","64","411","57","42","356","49","44","425","10","10","115","3","6","66"
"Masonic Ave&Geary Blvd SW-FS/BZ","436","38","2015","50","7","287","133","15","529","100","8","448","105","6","524","34","1","148","14","1","79"
"Masonic Ave&Turk St NW-NS/BZ","117","55","2077","24","12","299","38","15","552","22","10","460","22","13","533","7","5","150","4","0","83"
"Masonic Ave&Golden Gate Ave SW","46","28","2095","10","6","303","9","8","553","10","6","464","13","7","539","4","1","153","0","0","83"
"Masonic Ave&Fulton St NW-NS/BZ","192","154","2133","61","14","350","55","51","557","30","32","462","29","42","526","11","10","154","6","5","84"
"Masonic Ave&Hayes St NW-NS/BZ","125","106","2152","25","16","359","44","32","569","20","22","460","20","28","518","15","7","162","1","1","84"
"Masonic Ave&Oak St SW-FS/BZ","30","33","2149","10","4","365","5","11","563","4","7","457","11","6","523","0","4","158","0","1","83"
"Masonic Ave&Haight St NW-NS","90","258","1981","23","26","362","22","69","516","18","61","414","19","68","474","7","24","141","1","10","74"
"Haight St&Clayton St NE-NS/BZ","76","90","1967","20","5","377","15","40","491","12","15","411","18","25","467","7","4","144","4","1","77"
"Cole St&Haight St SW-FS","131","114","1984","27","7","397","39","29","501","14","31","394","32","37","462","13","6","151","6","4","79"
"Cole St&Frederick St NW-NS","17","26","1975","1","3","395","6","8","499","4","6","392","5","5","462","1","3","149","0","1","78"
"Cole St&Carl St SW-FS/BZ","51","113","1913","16","22","389","11","33","477","6","22","376","9","28","443","7","6","150","2","2","78"
"Parnassus Ave&Cole St NW-FS/BZ","26","28","1911","7","1","395","10","6","481","4","9","371","5","7","441","0","5","145","0","0","78"
"Parnassus Ave&Shrader St NE-NS","20","8","1923","7","2","400","4","1","484","3","1","373","4","3","442","2","1","146","0","0","78"
"Parnassus Ave&Stanyan St NW-FS/BZ","25","22","1926","4","1","403","10","4","490","2","7","368","7","7","442","2","3","145","0","0","78"
"Parnassus Ave&Willard St NW-FS/BZ","8","11","1923","2","0","405","2","3","489","1","2","367","3","6","439","0","0","145","0","0","78"
"Parnassus Ave&Hillway Ave NW","95","191","1827","8","101","312","28","50","467","25","19","373","33","10","462","0","3","142","1","8","71"
"500 Parnassus Ave NW-FS/BZ","195","86","1936","10","41","281","34","24","477","54","7","420","72","10","524","15","3","154","10","1","80"
"Parnassus Ave&4th Ave NE-NS/BZ","27","27","1936","2","4","279","8","10","475","5","4","421","10","5","529","1","2","153","1","2","79"
"Judah St&6th Ave NE-NS","18","12","1942","5","1","283","2","4","473","5","3","423","6","3","532","0","1","152","0","0","79"
"Judah St&7th Ave NW-FS/BZ","31","40","1933","2","4","281","7","11","469","16","7","432","2","11","523","2","7","147","2","0","81"
"9th Ave&Judah St SW-FS/BZ","359","224","2068","106","25","362","93","67","495","57","49","440","68","57","534","17","22","142","18","4","95"
"9th Ave&Kirkham St NW-NS/BZ","35","31","2072","16","1","377","11","8","498","6","10","436","2","8","528","0","4","138","0","0","95"
"9th Ave&Lawton St NW-NS/RC","87","61","2098","48","8","417","18","12","504","9","11","434","11","20","519","0","9","129","1","1","95"
"Lawton St&7th Ave SW-NS","74","30","2142","44","0","461","15","8","511","4","5","433","7","13","513","0","3","126","4","1","98"
"1697 7th Ave SW-FS","13","6","2149","10","1","470","2","2","511","0","1","432","1","1","513","0","0","126","0","1","97"
"Laguna Honda Blvd&Noriega St SW-FS","0","2","2147","0","0","470","0","0","511","0","0","432","0","1","512","0","0","126","0","1","96"
"Laguna Honda Blvd&Clarendon Ave-SW","9","11","2145","7","1","476","1","1","511","1","6","427","0","0","512","0","1","125","0","2","94"
"FOREST HILL STATION ARRIVE","28","34","170","2","7","10",,,,,,,,,,"14","14","67","12","13","93"
"FOREST HILL STATION LEAVING","281","476","1944","32","165","338","79","119","471","79","83","423","78","97","493","13","11","127","0","1","92"
"Laguna Honda Blvd&Vasquez Ave S-FS","2","8","1938","1","1","338","0","1","470","1","4","420","0","2","491","0","0","127","0","0","92"
"Laguna Honda Blvd&Balceta Ave S-FS","1","2","1937","0","0","338","1","0","471","0","0","420","0","0","491","0","2","125","0","0","92"
"Laguna Honda Blvd&Idora Ave W-NS","1","14","1924","0","2","336","0","4","467","1","2","419","0","4","487","0","1","124","0","1","91"
"Laguna Honda Blvd&Portola Dr W-NS","38","102","1860","8","15","329","6","17","456","17","29","407","5","33","459","2","6","120","0","2","89"
