"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load","Midday On","Midday Off","Midday Load","School  On","School Off","School Load","PM Peak On","PM Peak Off","PM Peak Load","Evening On","Evening Off","Evening Load","Owl On","Owl Off","Owl Load"
"Subject to disclaimer at www.sfmta.com/tepdata",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load","Midday On","Midday Off","Midday Load","School  On","School Off","School Load","PM Peak On","PM Peak Off","PM Peak Load","Evening On","Evening Off","Evening Load","Owl On","Owl Off","Owl Load"
"F-line to Castro Street",,,,,,,,,,,,,,,,,,,,,
"Jones St&Beach St NW-NS","1568","0","1568","86","0","86","317","0","317","249","0","249","586","0","586","260","0","260","70","0","70"
"Beach St&Mason St SW-NS","546","16","2098","38","0","124","126","2","441","94","2","341","173","6","753","70","4","326","45","2","113"
"Beach St&Stockton St SW-NS","1005","28","3075","81","1","204","271","10","702","92","7","426","356","8","1101","161","1","486","44","1","156"
"The Embarcadero&Bay St NW-NS","556","46","3585","31","2","233","148","29","821","121","7","540","176","8","1269","65","0","551","15","0","171"
"The Embarcadero&Sansome St SW","249","21","3813","18","0","251","52","7","866","44","10","574","105","3","1371","21","1","571","9","0","180"
"The Embarcadero&Greenwich St SW","121","33","3901","3","4","250","18","3","881","10","16","568","51","4","1418","30","4","597","9","2","187"
"The Embarcadero&Green St SW-FS/SI","61","17","3945","1","0","251","16","2","895","3","2","569","36","12","1442","5","0","602","0","1","186"
"The Embarcadero&Broadway SW-FS/SI","24","71","3898","4","3","252","7","26","876","3","14","558","9","15","1436","1","13","590","0","0","186"
"The Embarcadero&Washington St S","68","265","3701","5","6","251","20","66","830","10","53","515","28","126","1338","5","13","582","0","1","185"
"The Embarcadero&Ferry Building W-MB","187","574","3314","46","42","255","61","126","765","26","73","468","39","246","1131","13","84","511","2","3","184"
"Ferry Plaza N-MB","111","167","3258","11","43","223","33","47","751","12","33","447","33","28","1136","19","7","523","3","9","178"
"Market St&Drumm St NE-NS","382","861","2779","37","47","213","110","127","734","65","139","373","104","315","925","45","174","394","21","59","140"
"Market St&Battery St N-NS/SI","316","170","2925","26","26","213","97","36","795","45","33","385","95","59","961","30","14","410","23","2","161"
"Market St&2nd St N-NS/SI","331","258","2998","18","43","188","106","80","821","66","33","418","86","66","981","41","28","423","14","8","167"
"Market St&Kearny St N-NS/SI","428","349","3077","56","21","223","135","110","846","68","48","438","103","103","981","47","59","411","19","8","178"
"Market St&Stockton St N-NS/SI","578","800","2855","40","44","219","187","256","777","107","97","448","137","267","851","69","118","362","38","18","198"
"Market St&5th  St N-NS/SI","655","644","2866","36","27","228","238","194","821","85","94","439","148","209","790","97","96","363","51","24","225"
"Market St&Taylor St N-NS/SI","286","254","2898","25","35","218","87","83","825","58","33","464","73","56","807","22","20","365","21","27","219"
"Market St&7th St N-NS/BZ","281","391","2788","21","43","196","104","129","800","42","41","465","60","83","784","40","61","344","14","34","199"
"Market St&Hyde St N-NS/BZ","277","495","2570","32","43","185","82","187","695","50","60","455","73","124","733","31","68","307","9","13","195"
