"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load","Midday On","Midday Off","Midday Load","School  On","School Off","School Load","PM Peak On","PM Peak Off","PM Peak Load","Evening On","Evening Off","Evening Load","Owl On","Owl Off","Owl Load"
"71-Haight-Noriega to Ferry Plaza Weekday",,,,,,,,,,,,,,,,,,,,,
"Ortega St&48th Ave SW-NS/BZ","140","0","146","19","0","19","53","0","54","21","0","24","29","0","31","6","0","6","12","0","12"
"47th Ave&Noriega St SE-NS/FL","61","0","207","13","0","32","29","0","83","9","0","33","3","0","34","5","0","11","2","0","14"
"Noriega St&46th Ave SW-NS/FL","221","0","428","32","0","64","97","0","180","36","0","69","39","0","73","8","0","19","9","0","23"
"Noriega St&45th Ave SW-NS/FL","80","0","508","15","0","79","27","0","207","12","0","81","17","0","90","6","0","25","3","0","26"
"Noriega St&43rd Ave SW-NS/BZ","118","3","623","18","0","97","53","0","260","17","1","97","21","2","109","2","0","27","7","0","33"
"Noriega St&41st Ave SW-NS/BZ","178","10","791","19","2","114","97","4","353","28","2","123","26","2","133","1","0","28","7","0","40"
"Noriega St&39th Ave SW-NS/BZ","127","24","894","15","5","124","41","5","389","40","7","156","25","6","152","4","1","31","2","0","42"
"Noriega St&Sunset Blvd SW-NS/BZ","167","44","1017","19","19","124","75","13","451","34","3","187","32","7","177","4","1","34","3","1","44"
"Noriega St&34th Ave SW-NS/BZ","94","26","1085","21","2","143","46","19","478","11","2","196","11","3","185","2","0","36","3","0","47"
"Noriega St&31st Ave SW-NS/BZ","253","140","1198","32","15","160","112","64","526","34","30","200","51","24","212","14","3","47","10","4","53"
"Noriega St&29th Ave SW-NS/BZ","58","11","1245","12","2","170","28","2","552","11","3","208","5","4","213","1","0","48","1","0","54"
"Noriega St&27th Ave SW-NS/BZ","46","26","1265","12","1","181","21","13","560","3","5","206","7","6","214","1","1","48","2","0","56"
"Noriega St&25th Ave SW-NS","92","65","1292","10","4","187","36","28","568","20","20","206","19","11","222","3","2","49","4","0","60"
"22nd Ave&Noriega St NE-FS/BZ","127","82","1337","19","5","201","56","35","589","19","22","203","19","17","224","8","2","55","6","1","65"
"22nd Ave&Moraga St SE-NS","37","3","1371","10","0","211","17","2","604","3","0","206","3","1","226","3","0","58","1","0","66"
"22nd Ave&Lawton St SE-NS","25","12","1384","5","1","215","12","5","611","2","2","206","4","3","227","0","1","57","2","0","68"
"22nd Ave&Kirkham St SE-NS","20","8","1396","2","0","217","10","1","620","2","4","204","2","3","226","2","0","59","2","0","70"
"22nd Ave&Judah St SE-NS","61","118","1339","11","21","207","28","45","603","6","27","183","10","21","215","3","4","58","3","0","73"
"22nd Ave&Irving St NE-FS/BZ","118","192","1265","11","17","201","57","111","549","20","39","164","24","22","217","3","1","60","3","2","74"
"22nd Ave&Lincoln Way SE-NS","7","1","1271","0","0","201","5","1","553","0","0","164","1","0","218","1","0","61","0","0","74"
"Lincoln Way&21st Ave SW-NS/BZ","22","9","1284","3","3","201","6","2","557","5","1","168","4","3","219","0","0","61","4","0","78"
"Lincoln Way&19th Ave SE-FS/BZ","153","94","1343","14","19","196","53","38","572","31","11","188","35","17","237","14","5","70","6","4","80"
"Lincoln Way&17th Ave SW-NS/BZ","29","3","1369","4","0","200","9","0","581","6","2","192","7","1","243","3","0","73","0","0","80"
"Lincoln Way&15th Ave SW-NS/BZ","20","17","1372","3","0","203","8","4","585","3","8","187","2","5","240","2","0","75","2","0","82"
"Lincoln Way&Funston Ave SW-NS/BZ","24","14","1382","2","2","203","8","5","588","6","2","191","5","5","240","1","0","76","2","0","84"
"Lincoln Way&11th Ave SW-NS/BZ","12","7","1387","2","0","205","8","3","593","0","1","190","1","3","238","0","0","76","1","0","85"
"Lincoln Way&9th Ave SE-FS/BZ","89","118","1358","6","12","199","29","51","571","21","19","192","22","25","235","5","8","73","6","3","88"
"Lincoln Way&7th Ave SE-FS/BZ","13","2","1369","0","0","199","4","1","574","3","0","195","1","1","235","3","0","76","2","0","90"
"Lincoln Way&5th Ave SE-FS/BZ","15","5","1379","0","0","199","3","2","575","6","2","199","6","1","240","0","0","76","0","0","90"
"Lincoln Way&03rd Ave SE-FS/BZ","6","8","1377","0","1","198","2","3","574","1","0","200","1","4","237","1","0","77","1","0","91"
"Lincoln Way&Arguello Blvd SW","5","22","1360","0","4","194","2","10","566","2","3","199","0","3","234","1","1","77","0","1","90"
"Frederick St&Willard St SW-NS/BZ","7","9","1358","0","2","192","4","3","567","0","1","198","3","2","235","0","0","77","0","1","89"
"Stanyan St&Frederick St NE-FS/BZ","16","10","1364","3","1","194","7","3","571","3","5","196","1","1","235","1","0","78","1","0","90"
"Haight St&Stanyan St SE-FS/BZ","159","89","1434","7","3","198","52","36","587","35","18","213","46","26","255","16","5","89","3","1","92"
"Haight St&Cole St SW-NS/BZ","212","70","1576","22","4","216","69","33","623","34","16","231","46","13","288","27","3","113","14","1","105"
"Haight St&Clayton St SW-NS/BZ","220","47","1749","17","3","230","78","15","686","44","9","266","49","13","324","19","4","128","13","3","115"
"Haight St&Masonic Ave SE-FS/BZ","424","72","2101","31","5","256","133","36","783","91","15","342","106","13","417","39","3","164","24","0","139"
"Haight St&Buena Vista West Ave","118","7","2212","10","0","266","45","2","826","23","1","364","28","3","442","7","1","170","5","0","144"
"Haight St&Buena Vista East Ave","64","38","2238","10","1","275","25","18","833","10","7","367","10","7","445","5","3","172","4","2","146"
"Haight St&Divisadero St SE-FS/BZ","161","155","2244","18","11","282","65","52","846","21","32","356","29","38","436","21","14","179","7","8","145"
"Haight St&Pierce St SW-NS/BZ","92","42","2294","16","1","297","37","9","874","13","12","357","14","11","439","5","6","178","7","3","149"
"Haight St&Fillmore St SE-FS/BZ","172","262","2204","18","13","302","63","91","846","27","49","335","37","67","409","14","28","164","13","14","148"
"Haight St&Buchanan St SW-NS/BZ","54","37","2221","8","3","307","21","15","852","7","6","336","8","6","411","5","5","164","5","2","151"
"Laguna St&Haight St NE-FS/BZ","25","40","2206","6","2","311","8","11","849","5","8","333","3","10","404","2","7","159","1","2","150"
"Page St&Octavia St SW-NS/BZ","7","24","2189","0","3","308","3","7","845","3","1","335","1","9","396","0","3","156","0","1","149"
"Page St&Gough St SW-NS/BZ","24","40","2173","3","3","308","8","12","841","5","9","331","5","11","390","1","3","154","2","2","149"
"Page St&Franklin St SW-NS/BZ","8","40","2141","1","2","307","4","14","831","1","7","325","1","10","381","1","3","152","0","4","145"
"Market St&South Van Ness Av S-N/SI","206","395","1952","13","58","262","91","161","761","46","65","306","37","66","352","9","22","139","10","23","132"
"Market St&9th St S-NS/SI","105","143","1914","5","16","251","53","59","755","20","20","306","20","23","349","4","16","127","3","9","126"
"Market St&8th St S-NS/SI","138","260","1792","8","26","233","66","88","733","27","42","291","25","57","317","8","23","112","4","24","106"
"Market St&7th St S-NS/SI","179","210","1761","19","16","236","86","87","732","34","31","294","26","39","304","9","19","102","5","18","93"
"Market St&6th St S-NS/SI","109","179","1691","10","12","234","47","73","706","19","31","282","23","38","289","7","14","95","3","11","85"
"Market St&5th St S-NS/SI","108","487","1312","11","43","202","41","191","556","22","95","209","23","105","207","4","34","65","7","19","73"
"Market St&4th St S-NS/SI","107","350","1069","8","34","176","57","147","466","17","62","164","17","72","152","5","22","48","3","13","63"
"Market St&3rd St S-NS/SI","30","528","571","3","72","107","14","257","223","6","81","89","5","77","80","2","21","29","0","20","43"
"Market St&New Montgomery St NS/SI","27","197","401","2","38","71","11","83","151","6","32","63","6","23","63","0","9","20","2","12","33"
"2nd St&Market St S-FS","0","59","4",,,,,,,,,,"0","26","0","0","19","1","0","14","3"
"Market St&1st St S-NS/SI","17","144","211","2","32","41","8","70","89","5","24","44","2","12","27",,,,"0","6","10"
"Market St&Beale St E-FS/BZ","0","89","122","0","22","19","0","40","49","0","14","30","0","8","19",,,,"0","5","5"
"Spear St&Market St S-FS/BB","2","96","28","1","17","3","1","35","15","0","23","7","0","16","3",,,,"0","5","0"
"Steuart St&Mission St **/DS","0","14","14","0","2","1","0","8","7","0","2","5","0","2","1",,,,"0","0","0"
"Total Passenger Boardings ","5209","5197",,"581","580",,"2129","2123",,"936","934",,"1003","1004",,"318","317",,"242","239",
"Subject to disclaimer at www.sfmta.com/tepdata",,,,,,,,,,,,,,,,,,,,,
"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load","Midday On","Midday Off","Midday Load","School  On","School Off","School Load","PM Peak On","PM Peak Off","PM Peak Load","Evening On","Evening Off","Evening Load","Owl On","Owl Off","Owl Load"
"71-Haight-Noriega to Ortega & 48th Avenue A60Weekday",,,,,,,,,,,,,,,,,,,,,
"Steuart St&Mission St **/DS","16","0","69","2","0","17","10","0","38","4","0","14",,,,,,,,,
"Steuart St&Market St E-NS","163","65","167","40","15","42","84","38","84","39","12","41",,,,,,,,,
"Market St&Drumm St N-NS/BZ","145","3","309","14","0","56","86","1","169","45","2","84",,,,,,,,,
