"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load","Midday On","Midday Off","Midday Load","School  On","School Off","School Load","PM Peak On","PM Peak Off","PM Peak Load","Evening On","Evening Off","Evening Load","Owl On","Owl Off","Owl Load"
"19-Polk to Beach & Larkin Weekday",,,,,,,,,,,,,,,,,,,,,
"Manseau St&Hussey St SW-NS","40","0","224","13","0","55","15","0","29","1","0","37","11","0","73","0","0","5","0","0","25"
"Spear Ave&Cochrane St SW-NS","5","4","225","1","3","53","0","1","28","2","0","39","2","0","75","0","0","5","0","0","25"
"Building 152 E-NS","9","5","229","5","3","55","2","1","29","1","1","39","1","0","76","0","0","5","0","0","25"
"Innes St&Donahue St N-FS","16","0","26",,,,,,,,,,,,,"9","0","12","7","0","14"
"Innes Ave&Earl St E-NS","81","4","332","33","1","87","22","3","48","6","0","45","16","0","92","4","0","21","0","0","39"
"Innes Ave&Fitch St E-NS","41","2","371","10","0","97","26","2","72","0","0","45","3","0","95","2","0","23","0","0","39"
"Innes Ave&Griffith St E-NS","78","0","449","30","0","127","19","0","91","9","0","54","17","0","112","2","0","25","1","0","40"
"Innes Ave&Hunters Point Blvd N-FS","56","1","504","15","1","141","16","0","107","5","0","59","16","0","128","3","0","28","1","0","41"
"MIDDLE PT & HARE","58","4","558","27","0","168","16","1","122","8","1","66","6","1","133","1","1","28","0","0","41"
"Middle Point Rd & West Point Rd SE","84","3","639","35","0","203","21","0","143","4","1","69","15","0","148","7","2","33","2","0","43"
"Middle Point Rd & West Point Rd E","52","1","690","22","0","225","16","0","159","5","0","74","8","0","156","0","1","32","1","0","44"
"Evans Ave&Keith St E-NS","13","2","701","6","0","231","3","0","162","0","0","74","1","0","157","1","0","33","2","2","44"
"US Post Office Arriving NE","122","26","797","35","2","264","31","4","189","10","1","83","12","3","166","11","8","36","23","8","59"
"Evans Ave&Mendell St NE-FS/BZ","20","0","817","4","0","268","3","0","192","7","0","90","3","0","169","1","0","37","2","0","61"
"Evans Ave&Newhall St E-NS/BZ","33","23","827","8","6","270","8","7","193","3","1","92","6","9","166","8","0","45","0","0","61"
"Evans Ave&Phelps St E-NS","234","47","1014","74","9","335","77","15","255","20","6","106","42","13","195","14","4","55","7","0","68"
"Evans Ave&Quint St N-FS","5","2","1017","0","0","335","3","1","257","1","0","107","1","0","196","0","0","55","0","1","67"
"Evans Ave&Selby St E-NS","7","2","1022","0","0","335","1","0","258","0","0","107","4","2","198","1","0","56","1","0","68"
"Evans Ave&Napoleon St E-NS","21","6","1037","3","3","335","6","2","262","2","0","109","7","1","204","2","0","58","1","0","69"
"Evans Ave&Cesar Chavez St SE","19","4","1052","5","2","338","3","0","265","2","0","111","6","1","209","3","0","61","0","1","68"
"Connecticut St&Cesar Chavez St-FS","69","7","1114","7","4","341","10","1","274","9","0","120","25","2","232","10","0","71","8","0","76"
"Connecticut St&26th St NE-FS","15","4","1125","1","0","342","6","1","279","2","1","121","3","0","235","1","2","70","2","0","78"
"Connecticut St&25th St NE-FS","63","21","1167","25","3","364","22","6","295","2","3","120","12","8","239","1","1","70","1","0","79"
"General Managers Office NE-MB","48","33","1182","18","3","379","9","12","292","2","6","116","9","8","240","9","1","78","1","3","77"
"Wisconsin St&Connecticut St SW-FS","38","24","1196","10","11","378","10","3","299","4","3","117","6","5","241","4","1","81","4","1","80"
"Wisconsin St&25th St NW-NS","44","8","1232","12","0","390","14","1","312","4","1","120","8","0","249","3","6","78","3","0","83"
"26th St&Wisconsin St NW-FS","30","4","1258","9","0","399","9","2","319","0","0","120","6","2","253","4","0","82","2","0","85"
"26th St&De Haro St NE-NS","5","0","1263","4","0","403","1","0","320","0","0","120","0","0","253","0","0","82","0","0","85"
"26th St&Rhode Island St NE-NS","5","0","1268","2","0","405","3","0","323","0","0","120","0","0","253","0","0","82","0","0","85"
"Kansas St&26th St NE-FS","10","2","1276","2","1","406","3","0","326","0","1","119","5","0","258","0","0","82","0","0","85"
"Kansas St&25th St SE-NS","7","1","1282","6","0","412","0","0","326","0","1","118","0","0","258","1","0","83","0","0","85"
"Kansas St&23rd St SE-NS/BZ","79","144","1217","32","45","399","24","46","304","5","10","113","12","27","243","2","9","76","4","7","82"
"23rd St&Rhode Island St SW-NS","5","2","1220","3","1","401","1","1","304","0","0","113","1","0","244","0","0","76","0","0","82"
"De Haro St&23rd St NE-FS","15","5","1230","9","0","410","1","1","304","1","0","114","2","1","245","2","0","78","0","3","79"
"De Haro St&22nd St NE-FS","5","2","1233","4","0","414","1","2","303","0","0","114","0","0","245","0","0","78","0","0","79"
"De Haro St&Southern Heights Ave-NS","38","26","1245","22","14","422","8","5","306","2","2","114","5","4","246","1","0","79","0","1","78"
"De Haro St&20th St SE-NS","32","2","1275","15","1","436","4","1","309","6","0","120","7","0","253","0","0","79","0","0","78"
"De Haro St&19th St SE-NS","4","0","1279","0","0","436","1","0","310","2","0","122","1","0","254","0","0","79","0","0","78"
"De Haro St&18th St SE-NS","41","42","1278","7","39","404","6","3","313","14","0","136","10","0","264","2","0","81","2","0","80"
"De Haro St&Mariposa St SE-NS","22","2","1298","8","1","411","3","1","315","4","0","140","5","0","269","1","0","82","1","0","81"
"De Haro St&17th St SE-NS","81","75","1304","15","34","392","5","11","309","12","9","143","37","16","290","11","3","90","1","2","80"
"De Haro St&16th St SE-NS","13","6","1311","3","1","394","1","3","307","1","0","144","6","1","295","1","0","91","1","1","80"
"Rhode Island St&16th St NE-FS","10","14","1307","0","3","391","1","5","303","0","1","143","6","4","297","2","0","93","1","1","80"
