"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load","Midday On","Midday Off","Midday Load","School  On","School Off","School Load","PM Peak On","PM Peak Off","PM Peak Load","Evening On","Evening Off","Evening Load","Owl On","Owl Off","Owl Load"
"47-Van Ness to Caltrain Weekday",,,,,,,,,,,,,,,,,,,,,
"Powell St&Beach St SE-NS/BZ","508","0","513","45","0","46","139","0","141","85","0","86","146","0","147","66","0","66","27","0","27"
"North Point St&Mason St NW-FS/BZ","535","0","1048","58","0","104","170","0","311","97","0","183","136","0","283","52","0","118","22","0","49"
"North Point St&Jones St NW-FS/BZ","196","3","1241","19","0","123","45","2","354","31","0","214","64","1","346","21","0","139","16","0","65"
"North Point St&Hyde St NE-NS/BZ","95","15","1321","7","0","130","19","4","369","15","4","225","44","7","383","6","0","145","4","0","69"
"North Point St&Larkin St NE-NS/BZ","45","18","1348","2","0","132","7","6","370","17","6","236","15","6","392","3","0","148","1","0","70"
"North Point St&Polk St NW-FS/BZ","108","39","1417","11","3","140","21","22","369","25","7","254","35","6","421","10","1","157","6","0","76"
"Van Ness Ave&North Point St SW-FS","220","55","1582","30","4","166","54","21","402","56","12","298","52","17","456","13","1","169","15","0","91"
"Van Ness Ave&Chestnut St NW-NS/BZ","413","108","1887","78","18","226","127","32","497","82","17","363","78","22","512","20","17","172","28","2","117"
"Van Ness Ave&Greenwich St SW-FS","64","30","1921","14","0","240","27","10","514","11","4","370","6","10","508","2","4","170","4","2","119"
"Van Ness Ave&Union St NW-NS/BZ","341","55","2207","78","5","313","93","14","593","43","10","403","74","20","562","28","3","195","25","3","141"
"Van Ness Ave&Vallejo St SW-FS/BZ","177","47","2337","51","2","362","59","11","641","22","10","415","28","16","574","10","6","199","7","2","146"
"Van Ness Ave&Pacific Ave NW-NS/BZ","171","66","2442","56","9","409","48","20","669","21","14","422","26","18","582","10","4","205","10","1","155"
"Van Ness Ave&Jackson St SW-FS/BZ","144","71","2515","33","9","433","47","23","693","24","16","430","33","15","600","5","5","205","2","3","154"
"Van Ness Ave&Sacramento St NW-NS","337","254","2598","83","27","489","92","77","708","65","48","447","64","70","594","22","22","205","11","10","155"
"Van Ness Ave&Pine St NW-NS/BZ","280","131","2747","48","21","516","92","35","765","51","23","475","53","26","621","26","20","211","10","6","159"
"Van Ness Ave&Sutter St SW-FS/BZ","262","232","2777","36","35","517","88","51","802","34","43","466","67","70","618","25","22","214","12","11","160"
"Van Ness Ave&Geary Blvd NW-NS/BZ","285","334","2728","56","30","543","91","85","808","48","69","445","50","88","580","25","36","203","15","26","149"
"Van Ness Ave&O'Farrell St SW-FS","487","211","3004","105","19","629","191","56","943","82","51","476","62","47","595","28","22","209","19","16","152"
"Van Ness Ave&Eddy St SW-FS/BZ","319","304","3019","41","54","616","124","94","973","72","50","498","52","67","580","14","19","204","16","20","148"
"Van Ness Ave&Mcallister St SW-FS","235","361","2893","49","71","594","84","130","927","43","59","482","43","63","560","6","24","186","10","14","144"
"Van Ness Ave&Grove St SW-FS/BZ","71","219","2745","21","62","553","26","67","886","13","27","468","6","39","527","2","16","172","3","8","139"
"Van Ness Ave&Oak St NW-NS/BZ","301","1454","1592","104","222","435","83","448","521","51","266","253","49","315","261","5","114","63","9","89","59"
"11th St&Mission St S-FS/BZ","193","256","1529","26","38","423","63","96","488","52","50","255","41","44","258","8","12","59","3","16","46"
"11th St&Howard St S-FS/BZ","29","72","1486","4","25","402","12","20","480","7","14","248","5","10","253","1","2","58","0","1","45"
"11th St&Folsom St S-FS/BZ","25","126","1385","7","33","376","7","40","447","5","21","232","5","17","241","0","7","51","1","8","38"
"11th St&Harrison St S-FS/BZ","32","259","1158","3","23","356","18","120","345","4","60","176","4","38","207","3","14","40","0","4","34"
"Bryant St&11th St E-FS","43","82","1119","10","34","332","9","20","334","10","11","175","13","13","207","1","4","37","0","0","34"
"Bryant St&9th St E-FS/BZ","56","123","1052","3","15","320","13","46","301","14","32","157","16","25","198","10","3","44","0","2","32"
"Bryant St&8th St S-NS/BZ","17","45","1024","3","20","303","5","16","290","6","4","159","3","4","197","0","0","44","0","1","31"
"Bryant St&7th St E-FS/BZ","33","243","814","8","117","194","8","82","216","10","26","143","7","12","192","0","5","39","0","1","30"
"Bryant St&6th St S-NS/BZ","41","86","769","7","27","174","19","31","204","8","9","142","6","15","183","1","2","38","0","2","28"
"Bryant St&5th St E-FS/BZ","22","110","681","8","23","159","11","35","180","1","7","136","1","29","155","1","9","30","0","7","21"
"Bryant St&4th St S-NS","2","45","638","0","7","152","1","15","166","0","14","122","1","6","150","0","1","29","0","2","19"
