"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load","Midday On","Midday Off","Midday Load","School  On","School Off","School Load","PM Peak On","PM Peak Off","PM Peak Load","Evening On","Evening Off","Evening Load","Owl On","Owl Off","Owl Load"
"Church St&27th St NW-NS","56","386","1987","12","19","210","14","52","408","1","42","349","23","180","686","3","81","252","3","12","82"
"Church St&Day St SW-FS/SI","44","305","1726","10","15","205","10","33","385","9","57","301","13","149","550","2","36","218","0","15","67"
"Church St&30th St NE-FS","32","255","1503","11","20","196","6","35","356","0","25","276","10","95","465","4","63","159","1","17","51"
"30th St&Dolores St SW-NS/BZ","56","224","1335","10","14","192","24","70","310","8","41","243","11","68","408","2","27","134","1","4","48"
"San Jose Ave&Randall St W-FS/SI","48","178","1205","18","11","199","15","30","295","3","35","211","8","80","336","4","21","117","0","1","47"
"Glen Park Station W-FS/SI","12","139","1078","0","24","175","6","20","281","0","18","193","5","42","299","1","28","90","0","7","40"
"San Jose Ave&Santa Rosa Ave N-NS/SI","32","153","957","11","10","176","15","34","262","2","42","153","4","45","258","0","19","71","0","3","37"
"San Jose Ave&Santa Ynez Ave N-NS/SI","39","135","861","18","18","176","16","40","238","0","22","131","3","48","213","1","5","67","1","2","36"
"San Jose Ave&Ocean Ave NW-NS/SI","7","169","699","1","30","147","1","56","183","0","29","102","5","37","181","0","14","53","0","3","33"
"San Jose Ave&Geneva Ave **-NS/FL","3","59","643","0","7","140","0","20","163","0","16","86","0","10","171","1","1","53","2","5","30"
"Green Division Yard Outbound","0","625","18","0","140","0","0","162","1","0","86","0","0","157","14","0","52","1","0","28","2"
"Total Passenger Boardings ","8091","8077",,"804","804",,"1766","1766",,"1180","1180",,"2954","2940",,"1100","1100",,"287","287",
"Subject to disclaimer at www.sfmta.com/tepdata",,,,,,,,,,,,,,,,,,,,,

