"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load","Midday On","Midday Off","Midday Load","School  On","School Off","School Load","PM Peak On","PM Peak Off","PM Peak Load","Evening On","Evening Off","Evening Load","Owl On","Owl Off","Owl Load"
"24-Divisadero to Bayview Weekday",,,,,,,,,,,,,,,,,,,,,
"Jackson St&Webster St NW-FS","174","0","182","36","0","37","59","0","61","29","0","30","34","0","35","7","0","7","9","0","12"
"Jackson St&Steiner St NE-NS","189","0","371","17","0","54","52","0","113","35","0","65","54","0","89","20","0","27","11","0","23"
"Jackson St&Scott St NE-NS","28","5","394","3","0","57","5","3","115","10","2","73","10","0","99","0","0","27","0","0","23"
"Jackson St&Divisadero St NE-NS","49","15","428","5","5","57","12","2","125","10","4","79","19","4","114","2","0","29","1","0","24"
"Divisadero St&Clay St NW-NS/BZ","65","2","491","10","0","67","10","0","135","11","1","89","24","1","137","9","0","38","1","0","25"
"Divisadero St&California St SW","327","13","805","34","3","98","78","3","210","79","4","164","92","3","226","27","0","65","17","0","42"
"Divisadero St&Pine St SW-FS/BZ","120","6","919","14","1","111","32","2","240","20","0","184","32","2","256","17","1","81","5","0","47"
"Divisadero St&Sutter St SW-FS/BZ","313","38","1194","35","7","139","91","18","313","63","7","240","90","6","340","17","0","98","17","0","64"
"Divisadero St&Geary Blvd SW-FS/BZ","598","82","1710","65","16","188","181","21","473","140","18","362","144","18","466","46","8","136","22","1","85"
"Divisadero St&Ellis St NW-NS/BZ","109","6","1813","12","0","200","32","3","502","25","0","387","23","3","486","11","0","147","6","0","91"
"Divisadero St&Eddy St SW-FS/BZ","132","52","1893","39","2","237","34","14","522","23","13","397","23","15","494","10","4","153","3","4","90"
"Divisadero St&Mcallister St SW","180","112","1961","41","11","267","52","28","546","29","27","399","33","31","496","17","14","156","8","1","97"
"Divisadero St&Fulton St SW-FS/BZ","89","49","2001","22","5","284","23","12","557","8","13","394","19","14","501","12","5","163","5","0","102"
"Divisadero St&Hayes St SW-FS/BZ","191","151","2041","40","15","309","60","49","568","28","35","387","35","37","499","15","10","168","13","5","110"
"Divisadero St&Oak St SW-FS/BZ","132","67","2106","25","3","331","39","21","586","22","13","396","35","22","512","8","5","171","3","3","110"
"Divisadero St&Haight St SW-FS/BZ","241","150","2197","40","22","349","70","37","619","40","31","405","47","35","524","30","18","183","14","7","117"
"Castro St&Duboce Ave NW-NS/BZ","46","57","2186","9","10","348","11","19","611","12","12","405","10","13","521","1","2","182","3","1","119"
"Castro St&14th St NW-NS/BZ","65","59","2192","13","14","347","24","16","619","11","13","403","14","11","524","2","5","179","1","0","120"
"Castro St&15th St NW-NS","15","21","2186","4","6","345","4","8","615","4","2","405","3","5","522","0","0","179","0","0","120"
"Castro St&16th St NW-NS","11","34","2163","2","5","342","5","11","609","2","7","400","1","6","517","0","4","175","1","1","120"
"Castro St&Market St SW-FS/BB","432","608","1987","44","115","271","79","178","510","78","104","374","147","144","520","61","48","188","23","19","124"
"Castro St&18th St SW-FS/BB","302","181","2108","26","28","269","81","80","511","43","26","391","88","34","574","42","8","222","22","5","141"
"Castro St&19th St NW-NS","56","26","2138","5","5","269","12","6","517","5","3","393","28","9","593","2","0","224","4","3","142"
"Castro St&20th St NW-NS","19","36","2121","1","3","267","4","5","516","4","6","391","6","11","588","4","9","219","0","2","140"
"Castro St&21st St W-MI","9","60","2070","1","10","258","2","12","506","3","8","386","1","18","571","2","8","213","0","4","136"
"Castro St&22nd St NW-NS","8","129","1949","1","7","252","1","22","485","2","21","367","3","47","527","1","25","189","0","7","129"
"Castro St&23rd St W-MI","7","69","1887","1","9","244","3","13","475","0","11","356","3","24","506","0","9","180","0","3","126"
"Castro St&Elizabeth St W-MI","5","52","1840","0","2","242","0","7","468","3","10","349","1","18","489","1","7","174","0","8","118"
"Castro St&24th St SW-FS/BZ","100","380","1560","8","46","204","26","111","383","32","87","294","25","101","413","8","23","159","1","12","107"
"Castro St&25th St NW-NS/BZ","16","77","1499","3","30","177","4","5","382","5","7","292","3","24","392","1","9","151","0","2","105"
"Castro St&26th St NW-NS/FL","10","65","1444","2","5","174","4","16","370","1","11","282","1","25","368","2","7","146","0","1","104"
"26th St&Noe St SW-NS","33","32","1445","3","2","175","4","4","370","14","8","288","12","10","370","0","3","143","0","5","99"
"Noe St&27th St NW-NS","11","38","1418","1","1","175","2","5","367","3","8","283","4","14","360","1","9","135","0","1","98"
"Noe St&28th St NW-NS","5","49","1374","1","3","173","0","12","355","1","9","275","3","18","345","0","5","130","0","2","96"
"Noe St&29th St NW-NS","12","34","1352","3","7","169","5","4","356","2","4","273","1","12","334","0","4","126","1","3","94"
"Noe St&30th St NW-NS","39","53","1338","9","7","171","7","12","351","8","13","268","10","15","329","4","4","126","1","2","93"
"30th St&Sanchez St SW-NS","10","16","1332","3","0","174","2","7","346","2","2","268","1","4","326","2","2","126","0","1","92"
"30th St&Church St SE-FS","42","59","1315","5","5","174","8","19","335","15","15","268","12","13","325","1","4","123","1","3","90"
"30th St&Dolores St SW-NS/BZ","78","47","1346","10","9","175","41","15","361","13","8","273","10","6","329","4","3","124","0","6","84"
"30th St&Mission St SW-NS/BZ","571","496","1422","73","53","196","141","142","360","121","94","300","159","131","357","42","45","121","35","31","88"
"Cortland Ave&Mission St S-FS/BZ","245","26","1641","65","2","259","60","5","415","28","6","322","64","6","415","10","2","129","18","5","101"
"Cortland Ave&Prospect Ave W","6","8","1639","1","0","260","0","2","413","1","1","322","3","4","414","1","0","130","0","1","100"
"Cortland Ave&Elsie St W-NS/BZ","11","42","1608","3","2","261","3","10","406","2","13","311","3","14","403","0","2","128","0","1","99"
"Cortland Ave&Bocana St SW-NS/BZ","14","66","1556","4","3","262","2","20","388","3","15","299","5","21","387","0","4","124","0","3","96"
"Cortland Ave&Andover St SW-NS/BZ","18","185","1389","5","13","254","5","49","344","4","39","264","3","64","326","0","15","109","1","5","92"
"Cortland Ave&Ellsworth St SW","27","137","1279","13","20","247","3","29","318","3","21","246","4","40","290","1","21","89","3","6","89"
"Cortland Ave&Folsom St SW-NS/BZ","43","144","1178","12","27","232","11","29","300","11","35","222","7","36","261","1","11","79","1","6","84"
"Cortland Ave&Prentiss St SW-NS","12","33","1157","3","5","230","3","5","298","2","11","213","3","8","256","1","3","77","0","1","83"
"Cortland Ave&Bronte St SW","5","41","1121","2","6","226","1","12","287","0","10","203","2","11","247","0","1","76","0","1","82"
"Cortland Ave&Bay Shore Blvd SW","84","163","1042","11","39","198","23","44","266","15","23","195","19","32","234","6","9","73","10","16","76"
