"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load","Midday On","Midday Off","Midday Load","School  On","School Off","School Load","PM Peak On","PM Peak Off","PM Peak Load","Evening On","Evening Off","Evening Load"
"53-Southern Heights to Mission 16th Street Weekday",,,,,,,,,,,,,,,,,,
"Connecticut St&18th St SE-NS/BZ","71","0","80","8","0","9","27","0","29","10","0","11","19","0","24","7","0","7"
"Missouri St&19th St NW-NS","1","0","81","0","0","9","0","0","29","1","0","12","0","0","24","0","0","7"
"Missouri St&20th St NW-NS","4","3","82","2","2","9","0","1","28","0","0","12","2","0","26","0","0","7"
"Missouri St&Sierra St W-MI","4","2","84","4","2","11","0","0","28","0","0","12","0","0","26","0","0","7"
"Missouri St&Turner Ter W-MI","53","12","125","12","2","21","15","3","40","16","3","25","10","2","34","0","2","5"
"Missouri St&Watchman Way SW-FS","54","14","165","10","0","31","20","4","56","9","5","29","13","5","42","2","0","7"
"14 Dakota St SW-FS","23","8","180","6","0","37","11","6","61","0","0","29","5","0","47","1","2","6"
"25th St&Dakota St NW-FS","33","11","202","8","1","44","15","2","74","6","6","29","4","2","49","0","0","6"
"25th St&Connecticut St NE-NS","2","0","2","2","0","2",,,,,,,,,,,,
"25th St&Wisconsin St NE-NS","22","13","213","7","2","51","5","6","73","1","1","29","9","4","54","0","0","6"
"Wisconsin St&Connecticut St SE-NS","9","15","207","3","1","53","2","10","65","2","3","28","2","1","55","0","0","6"
"Wisconsin St&23rd St SE-NS","10","14","203","2","2","53","5","8","62","3","3","28","0","0","55","0","1","5"
"Wisconsin St&Madera St SE-NS","3","7","199","3","1","55","0","0","62","0","0","28","0","5","50","0","1","4"
"Wisconsin St&22nd St SE-NS/PB","2","0","201","0","0","55","0","0","62","0","0","28","0","0","50","2","0","6"
"22nd St&Carolina St NE-NS","7","4","204","0","0","55","4","0","66","2","2","28","1","2","49","0","0","6"
"Southern Heights Ave&De Haro St","6","4","206","3","1","57","0","0","66","0","2","26","3","1","51","0","0","6"
"Southern Heights Ave&Rhode Isla-NS","3","0","209","0","0","57","3","0","69","0","0","26","0","0","51","0","0","6"
"Rhode Island St&20th St SE-NS","6","2","213","0","2","55","3","0","72","0","0","26","3","0","54","0","0","6"
"20th St&Kansas St NE-NS","0","1","212","0","0","55","0","1","71","0","0","26","0","0","54","0","0","6"
"20th St&Vermont St NE-NS","1","1","212","0","0","55","1","1","71","0","0","26","0","0","54","0","0","6"
"Vermont St&19th St SE-NS","1","2","211","0","0","55","0","2","69","0","0","26","1","0","55","0","0","6"
"Vermont St&18th St SE-NS","3","5","209","3","5","53","0","0","69","0","0","26","0","0","55","0","0","6"
"Vermont St&Mariposa St SE-NS","0","1","208","0","0","53","0","1","68","0","0","26","0","0","55","0","0","6"
"Vermont St&17th St SE-NS","2","0","210","0","0","53","1","0","69","1","0","27","0","0","55","0","0","6"
"16th St&Vermont St NW-FS/BZ","2","0","212","0","0","53","0","0","69","0","0","27","2","0","57","0","0","6"
"16th St&Potrero Ave NW-FS/BZ","43","20","235","5","2","56","9","4","74","14","5","36","13","7","63","2","2","6"
"16th St&Bryant St NE-NS/BZ","41","28","248","11","7","60","14","15","73","7","0","43","7","4","66","2","2","6"
"16th St&Harrison St NE-NS/BZ","11","5","254","1","0","61","2","0","75","0","5","38","6","0","72","2","0","8"
"16th St&Shotwell St NE-NS/BZ","15","40","229","2","10","53","1","12","64","7","8","37","5","10","67","0","0","8"
"16th St&Mission St NE-NS/BZ","0","222","7","0","53","0","0","63","1","0","34","3","0","64","3","0","8","0"
"Total Passenger Boardings ","432","434",,"92","93",,"138","139",,"79","77",,"105","107",,"18","18",
"Subject to disclaimer at www.sfmta.com/tepdata",,,,,,,,,,,,,,,,,,
"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load","Midday On","Midday Off","Midday Load","School  On","School Off","School Load","PM Peak On","PM Peak Off","PM Peak Load","Evening On","Evening Off","Evening Load"
"53-Southern Heights Potrero Hill Weekday",,,,,,,,,,,,,,,,,,
"16th St&Mission St NE-NS/BZ","355","0","399","76","0","80","130","0","132","60","0","67","77","0","104","12","0","16"
"15th St&Mission St NW-FS","0","0","399","0","0","80","0","0","132","0","0","67","0","0","104","0","0","16"
"Valencia St&15th St SW-FS/BZ","0","0","399","0","0","80","0","0","132","0","0","67","0","0","104","0","0","16"
"16th St&Mission St SW-NS/BZ","0","0","399","0","0","80","0","0","132","0","0","67","0","0","104","0","0","16"
"16th St&Shotwell St SE-FS/BZ","0","0","399","0","0","80","0","0","132","0","0","67","0","0","104","0","0","16"
"16th St&Harrison St SW-NS/BZ","11","5","405","0","2","78","7","1","138","0","0","67","4","2","106","0","0","16"
"16th St&Bryant St SE-FS/BZ","8","46","367","4","5","77","1","14","125","3","15","55","0","12","94","0","0","16"
"16th St&Potrero Ave SW-NS/BZ","58","77","348","12","19","70","17","27","115","7","6","56","20","23","91","2","2","16"
"16th St&San Bruno Ave SE-FS/BZ","7","4","351","1","2","69","2","0","117","1","2","55","3","0","94","0","0","16"
"16th St&Kansas St SW-NS/BZ","1","13","339","1","9","61","0","3","114","0","1","54","0","0","94","0","0","16"
"Kansas St&17th St NW-NS","0","10","329","0","3","58","0","3","111","0","2","52","0","1","93","0","1","15"
"Kansas St&Mariposa St NW-NS","3","13","319","0","9","49","1","3","109","1","1","52","1","0","94","0","0","15"
"Vermont St&Mariposa St SW-FS","0","2","317","0","1","48","0","0","109","0","1","51","0","0","94","0","0","15"
"Vermont St&18th St NW-NS","0","14","303","0","9","39","0","2","107","0","3","48","0","0","94","0","0","15"
"Vermont St&19th St NW-NS","4","17","290","0","8","31","0","7","100","4","0","52","0","2","92","0","0","15"
"Vermont St&20th St NW-NS","1","9","282","0","2","29","1","7","94","0","0","52","0","0","92","0","0","15"
"20th St&Kansas St SW-NS","0","2","280","0","0","29","0","2","92","0","0","52","0","0","92","0","0","15"
"20th St&Rhode Island St SW-NS","0","2","278","0","0","29","0","1","91","0","1","51","0","0","92","0","0","15"
"Rhode Island St&Southern Height-NS","0","1","277","0","0","29","0","0","91","0","0","51","0","0","92","0","1","14"
"Southern Heights Ave&De Haro St-NS","0","11","266","0","1","28","0","10","81","0","0","51","0","0","92","0","0","14"
"Carolina St&22nd St NW-NS","2","12","256","0","1","27","2","6","77","0","5","46","0","0","92","0","0","14"
"22nd St&Wisconsin St SW-NS","1","3","254","0","2","25","1","1","77","0","0","46","0","0","92","0","0","14"
"Wisconsin St&Madera St W-MI","2","11","245","0","0","25","0","4","73","2","2","46","0","5","87","0","0","14"
"Wisconsin St&23rd St NW-NS","4","23","226","0","0","25","2","2","73","0","4","42","1","10","78","1","7","8"
"Wisconsin St&Coral Rd SW-FS/PB","4","30","200","0","4","21","2","4","71","2","11","33","0","11","67","0","0","8"
"Wisconsin St&25th St NW-NS","1","11","190","0","0","21","0","7","64","1","2","32","0","2","65","0","0","8"
"25th St&Wisconsin St SE-FS","0","0","190","0","0","21","0","0","64","0","0","32","0","0","65","0","0","8"
"25th St&Connecticut St SW-NS","5","16","179","0","3","18","2","6","60","2","2","32","1","3","63","0","2","6"
"Dakota St&25th St NE-FS","8","16","171","0","0","18","2","7","55","0","0","32","6","9","60","0","0","6"
"101 Dakota St E-MB","9","26","154","1","3","16","4","12","47","1","2","31","3","6","57","0","3","3"
"Dakota St&23rd St SE-NS","4","26","132","1","2","15","2","6","43","0","4","27","1","14","44","0","0","3"
"Missouri St&Watchman Way SE-NS","7","28","111","0","2","13","3","12","34","0","8","19","4","6","42","0","0","3"
"Missouri St&Turner Ter NE-FS","9","36","84","7","3","17","0","10","24","1","9","11","1","14","29","0","0","3"
"Missouri St&Sierra St NE-FS","14","12","86","3","1","19","3","2","25","4","2","13","2","5","26","2","2","3"
"20th St&Missouri St NE-NS","1","15","72","0","8","11","1","3","23","0","0","13","0","4","22","0","0","3"
"Connecticut St&19th St SE-NS","10","14","68","0","2","9","2","2","23","4","6","11","4","4","22","0","0","3"
"Connecticut St&18th St SE-NS/BZ","0","52","16","0","6","3","0","19","4","0","5","6","0","20","2","0","2","1"
"Total Passenger Boardings ","529","557",,"106","107",,"185","183",,"93","94",,"128","153",,"17","20",
"Subject to disclaimer at www.sfmta.com/tepdata",,,,,,,,,,,,,,,,,,

