"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load"
"16BX-Noriega B Express to 4th Street & Market Weekday",,,,,,
"Noriega St&34th Ave SW-NS/BZ","73","0","74","73","0","74"
"Noriega St&31st Ave SW-NS/BZ","63","0","137","63","0","137"
"Noriega St&29th Ave SW-NS/BZ","22","1","158","22","1","158"
"Noriega St&27th Ave SW-NS/BZ","28","0","186","28","0","186"
"Noriega St&25th Ave SW-NS","21","2","205","21","2","205"
"Noriega St&23rd Ave SW-NS","2","0","207","2","0","207"
"22nd Ave&Noriega St NE-FS/BZ","42","4","245","42","4","245"
"22nd Ave&Moraga St SE-NS","21","1","265","21","1","265"
"22nd Ave&Lawton St SE-NS","14","0","279","14","0","279"
"22nd Ave&Kirkham St SE-NS","22","0","301","22","0","301"
"22nd Ave&Judah St SE-NS","35","17","319","35","17","319"
"22nd Ave&Irving St NE-FS/BZ","10","4","325","10","4","325"
"22nd Ave&Lincoln Way SE-NS","6","0","331","6","0","331"
"Lincoln Way&21st Ave SW-NS/BZ","21","0","352","21","0","352"
"Lincoln Way&19th Ave SE-FS/BZ","32","10","374","32","10","374"
"Lincoln Way&17th Ave SW-NS/BZ","8","1","381","8","1","381"
"Lincoln Way&15th Ave SW-NS/BZ","3","0","384","3","0","384"
"Lincoln Way&Funston Ave SW-NS/BZ","14","1","397","14","1","397"
"Lincoln Way&11th Ave SW-NS/BZ","4","1","400","4","1","400"
"Lincoln Way&9th Ave SE-FS/BZ","21","8","413","21","8","413"
"Oak St&Franklin St S-MB/FL","0","84","329","0","84","329"
"Golden Gate Ave&Van Ness Ave SW-NS","3","42","290","3","42","290"
"Golden Gate Ave&Polk St SE-FS/BZ","1","28","263","1","28","263"
"Golden Gate Ave&Hyde St SE-FS/BZ","0","17","246","0","17","246"
"Golden Gate Ave&Jones St SE-FS/BZ","0","7","239","0","7","239"
"Market bet. 5th & 6th St SE-MB/BZ","1","137","103","1","137","103"
"Market bet. 5th & 4th St SE-MB/BZ","2","49","56","2","49","56"
"4th St&Market St S-FS/BZ","8","47","17","8","47","17"
"4th St&Mission St S-FS/BZ","1","1","16","1","1","16"
"4th St&Townsend St W-NS","0","16","0","0","16","0"
"Total Passenger Boardings ","478","478",,"478","478",
"Subject to disclaimer at www.sfmta.com/tepdata",,,,,,
"Stop","Daily On","Daily Off","Daily Load","PM Peak On","PM Peak Off","PM Peak Load"
"16BX-Noriega B Express to Noriega & Sunset Weekday",,,,,,
"4th St&Townsend St W-NS","3","0","3","3","0","3"
"5th  St North&Eddy St NE-FS","0","0","3","0","0","3"
"5th St North&Eddy St SW-FS/BZ","0","0","4","0","0","4"
"5th  St North&Market St NW-NS/BZ","205","0","209","205","0","209"
"Turk St&Taylor St N-MB/BZ","30","1","238","30","1","238"
"Turk St&Jones St NW-FS/BZ","4","0","242","4","0","242"
"Turk St&Leavenworth St NW-FS/BZ","4","1","245","4","1","245"
"Turk St&Hyde St NW-FS/BZ","7","1","251","7","1","251"
"Turk St&Larkin St NE-NS/BZ","19","2","268","19","2","268"
"Turk St&Polk St NW-FS","10","2","276","10","2","276"
"Turk St&Van Ness Ave NW-FS","30","2","304","30","2","304"
"Fell St&Gough St NW-FS","22","0","326","22","0","326"
"Lincoln Way&9th Ave NW-FS/BZ","12","19","319","12","19","319"
"Lincoln Way&11th Ave NW-FS/BZ","0","1","318","0","1","318"
"Lincoln Way&Funston Ave NW-FS/BZ","1","4","315","1","4","315"
"Lincoln Way&15th Ave NW-FS/BZ","0","4","311","0","4","311"
"Lincoln Way&17th Ave NW-FS/BZ","1","5","307","1","5","307"
"Lincoln Way&19th Ave NW-FS/BZ","18","29","296","18","29","296"
"Lincoln Way&21st Ave NW-FS/BZ","0","3","293","0","3","293"
"23rd Ave&Lincoln Way SW-FS","3","6","290","3","6","290"
"23rd Ave&Irving St SW-FS/BZ","28","47","271","28","47","271"
"23rd Ave&Judah St NW-NS","18","16","273","18","16","273"
"23rd Ave&Kirkham St NW-NS","3","11","265","3","11","265"
"23rd Ave&Lawton St NW-NS","0","17","248","0","17","248"
"23rd Ave&Moraga St NW-NS","0","21","227","0","21","227"
"23rd Ave&Noriega St NW-NS","1","40","188","1","40","188"
"Noriega St&25th Ave NE-NS","3","26","165","3","26","165"
"Noriega St&28th Ave NE-NS/BZ","4","31","138","4","31","138"
"Noriega St&31st Ave NE-NS","5","76","67","5","76","67"
"Noriega St&34th Ave NE-NS/BZ","1","32","36","1","32","36"
"Noriega St&Sunset Blvd NE-NS/BZ","0","34","2","0","34","2"
"Total Passenger Boardings ","432","431",,"432","431",
"Subject to disclaimer at www.sfmta.com/tepdata",,,,,,

