"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load","Midday On","Midday Off","Midday Load","School  On","School Off","School Load","PM Peak On","PM Peak Off","PM Peak Load","Evening On","Evening Off","Evening Load"
"56-Rutland to Executive Park Weekday",,,,,,,,,,,,,,,,,,
"Visitacion Valley Middle Sch-MB/BZ","19","1","39","1","0","6","7","0","10","10","0","20","0","0","1","1","1","2"
"Hahn St&Visitacion Ave SW-FS","0","2","37","0","2","4","0","0","10","0","0","20","0","0","1","0","0","2"
"Hahn St&Sunnydale Ave N-NS","3","1","39","0","0","4","1","1","10","0","0","20","2","0","3","0","0","2"
"Sunnydale Ave&Sawyer St SW-NS","2","4","37","2","0","6","0","0","10","0","4","16","0","0","3","0","0","2"
"Sunnydale Ave&Garrison Ave SW-NS","0","1","36","0","1","5","0","0","10","0","0","16","0","0","3","0","0","2"
"Sunnydale Ave&Schwerin St SW-NS","0","3","33","0","0","5","0","1","9","0","2","14","0","0","3","0","0","2"
"Sunnydale Ave&Cora St SE-FS","3","2","34","0","0","5","2","1","10","0","0","14","1","1","3","0","0","2"
"Rutland St&Sunnydale Ave NE-FS","0","0","34","0","0","5","0","0","10","0","0","14","0","0","3","0","0","2"
"Rutland St&Visitacion Ave SE-NS","0","0","34","0","0","5","0","0","10","0","0","14","0","0","3","0","0","2"
"Rutland St&Leland Ave S-NS","4","0","38","0","0","5","0","0","10","0","0","14","3","0","6","1","0","3"
"Leland Ave@Alpha St SW/NS FL","4","4","38","2","1","6","0","2","8","2","1","15","0","0","6","0","0","3"
"Leland Ave@Bay Shore Blvd SW/NS BZ","13","8","43","0","0","6","2","0","10","7","7","15","3","0","9","1","1","3"
"Bayshore Blvd&Blanken Ave E-NS","1","0","44","0","0","6","0","0","10","0","0","15","1","0","10","0","0","3"
"Blanken Ave&Tunnel Ave SW-NS","7","8","43","0","1","5","3","1","12","0","4","11","4","1","13","0","1","2"
"Blanken Ave&Peninsula Ave SW-NS","1","3","41","0","1","4","0","0","12","1","0","12","0","2","11","0","0","2"
"Blanken Ave&Nueva SW-NS","2","3","40","2","0","6","0","0","12","0","2","10","0","1","10","0","0","2"
"Blanken Ave&Gillette SW-NS","4","8","36","0","0","6","1","1","12","3","4","9","0","3","7","0","0","2"
"Executive Park W-MB","2","22","16","1","5","2","0","11","1","0","0","9","1","6","2","0","0","2"
"San Bruno Ave&Arleta Ave NE-FS/BZ","0","1","2",,,,,,,,,,"0","1","0","0","0","2"
"Total Passenger Boardings ","65","71",,"8","11",,"16","18",,"23","24",,"15","15",,"3","3",
"Subject to disclaimer at www.sfmta.com/tepdata",,,,,,,,,,,,,,,,,,
"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load","Midday On","Midday Off","Midday Load","School  On","School Off","School Load","PM Peak On","PM Peak Off","PM Peak Load","Evening On","Evening Off","Evening Load"
"56-Rutland to Visitacion ValleyWeekday",,,,,,,,,,,,,,,,,,
"Executive Park W-MB","16","0","24","0","0","0","5","0","7","3","0","4","8","0","13",,,
"Alana Way&Executive Park Blvd NE-NS","1","0","25","1","0","1","0","0","7","0","0","4","0","0","13",,,
"Executive Park Blvd&Blanken Ave SE","2","0","27","1","0","2","0","0","7","1","0","5","0","0","13",,,
"Blanken Ave&Gillette NE-NS","2","0","29","1","0","3","0","0","7","1","0","6","0","0","13",,,
"Blanken Ave&Nueva NE-NS","6","2","33","1","0","4","2","0","9","0","0","6","3","2","14",,,
"Blanken Ave&Peninsula Ave NE-NS","5","0","38","4","0","8","1","0","10","0","0","6","0","0","14",,,
"Blanken Ave&Tunnel Ave NE-NS","3","1","40","0","0","8","3","0","13","0","0","6","0","1","13",,,
"San Bruno Ave&Arleta Ave NE-FS/BZ","42","11","71","10","3","15","7","6","14","2","1","7","11","1","23","12","0","12"
"San Bruno Ave&Somerset St  E-MI","11","4","78","0","0","15","3","2","15","0","2","5","8","0","31","0","0","12"
"3801 San Bruno Ave SE-MB","2","2","78","2","0","17","0","2","13","0","0","5","0","0","31","0","0","12"
"Wilde Ave&Girard St NW-FS","17","0","95","3","0","20","6","0","19","4","0","9","3","0","34","1","0","13"
"Wilde Ave&Brussels St NW-FS","4","1","98","2","1","21","2","0","21","0","0","9","0","0","34","0","0","13"
"Wilde Ave&Goettingen St NW-FS","5","12","91","4","2","23","1","3","19","0","1","8","0","3","31","0","3","10"
"356 Wilde Ave N-MB","0","2","89","0","0","23","0","2","17","0","0","8","0","0","31","0","0","10"
"Wilde Ave&Rutland St NE-NS","6","12","83","0","2","21","0","1","16","0","0","8","6","5","32","0","4","6"
"Wilde Ave&Delta St E-NS","2","17","68","0","3","18","0","2","14","0","1","7","2","9","25","0","2","4"
"Delta St&Tioga Ave N-NS","2","6","64","1","4","15","1","1","14","0","0","7","0","0","25","0","1","3"
"Tioga Ave&Rutland St SW-NS","3","12","55","1","0","16","2","1","15","0","1","6","0","10","15","0","0","3"
"Rutland St&Campbell Ave NW-NS","3","0","58","1","0","17","2","0","17","0","0","6","0","0","15","0","0","3"
"Rutland St&Arleta Ave NW-NS","0","2","56","0","0","17","0","0","17","0","0","6","0","2","13","0","0","3"
"Raymond Ave@Rutland St NW/FS FL","1","3","54","0","2","15","0","1","16","1","0","7","0","0","13","0","0","3"
"Raymond Ave@Delta St NE/NS FL","3","3","54","1","1","15","2","1","17","0","0","7","0","1","12","0","0","3"
"Raymond Ave@Elliot St NE-NS/FL","1","0","55","1","0","16","0","0","17","0","0","7","0","0","12","0","0","3"
"Raymond Ave@Sawyer St NE/NS FL","3","14","44","3","5","14","0","5","12","0","0","7","0","4","8","0","0","3"
"Sawyer St@Visitacion Ave NE/NS BZ","13","11","46","11","3","22","2","6","8","0","1","6","0","0","8","0","1","2"
"Visitacion Valley Middle Sch-MB/BZ","0","34","12","0","18","4","0","5","3","0","6","0","0","3","5","0","2","0"
"Total Passenger Boardings ","153","149",,"48","44",,"39","38",,"12","13",,"41","41",,"13","13",
"Subject to disclaimer at www.sfmta.com/tepdata",,,,,,,,,,,,,,,,,,

