"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load","Midday On","Midday Off","Midday Load","School  On","School Off","School Load","PM Peak On","PM Peak Off","PM Peak Load","Evening On","Evening Off","Evening Load","Owl On","Owl Off","Owl Load"
"9-San Bruno to Mission & Main Weekday",,,,,,,,,,,,,,,,,,,,,
"Mclaren School SW-FS/BZ","98","0","764","18","0","249","40","0","267","20","0","126","20","0","117",,,,"0","0","5"
"1901 Sunnydale Ave SW-MB","63","0","827","24","0","273","21","0","288","7","0","133","9","0","126",,,,"2","0","7"
"1725 Sunnydale Ave SW-MB","30","1","856","13","0","286","9","1","296","3","0","136","3","0","129",,,,"2","0","9"
"Santos St&Brookdale Ave SW-FS","80","0","936","32","0","318","30","0","326","14","0","150","4","0","133",,,,"0","0","9"
"Santos St&Velasco Ave N-NS","67","1","1002","30","0","348","19","0","345","8","0","158","8","1","140",,,,"2","0","11"
"Santos St&Geneva Ave N-NS","92","46","1048","34","15","367","34","16","363","15","7","166","8","6","142",,,,"1","2","10"
"Geneva Ave&Castelo St SW-MI","2","2","1048","1","0","368","0","2","361","1","0","167","0","0","142",,,,"0","0","10"
"Geneva Ave&Rio Verde St SE-FS/BZ","198","26","1297","56","8","416","62","8","415","24","5","186","26","5","192","23","0","59","7","0","29"
"Schwerin St&Macdonald Ave S-NS","141","16","1422","43","3","456","44","9","450","23","2","207","18","2","208","8","0","67","5","0","34"
"Schwerin St&Velasco Ave E-FS","24","5","1441","2","0","458","12","1","461","4","1","210","2","3","207","1","0","68","3","0","37"
"Schwerin St&Garrison Ave SE-MB","43","0","1484","26","0","484","6","0","467","3","0","213","3","0","210","2","0","70","3","0","40"
"Schwerin St&Sunnydale Ave S-NS","119","19","1584","51","9","526","32","5","494","19","2","230","11","3","218","3","0","73","3","0","43"
"Sunnydale Ave&Cora St SE-FS","42","8","1618","17","4","539","8","3","499","5","0","235","9","1","226","0","0","73","3","0","46"
"Sunnydale Ave&Talbert St W-NS","52","10","1660","34","4","569","12","2","509","2","1","236","3","3","226","1","0","74","0","0","46"
"Sunnydale Ave&Bay Shore Blvd SW-NS","55","65","1650","18","36","551","9","17","501","3","4","235","17","6","237","4","0","78","4","2","48"
"Bay Shore Blvd&Visitacion Ave E-FS","32","28","1654","7","2","556","14","14","501","5","7","233","2","4","235","3","1","80","1","0","49"
"San Bruno Ave&Arleta Ave NE-FS/BZ","395","101","2024","135","26","722","90","31","560","39","20","252","79","13","301","24","7","97","28","4","92"
"San Bruno Ave&Somerset St  E-MI","13","3","2034","9","0","731","2","1","561","0","0","252","2","2","301","0","0","97","0","0","92"
"3801 San Bruno Ave SE-MB","22","6","2050","11","1","741","3","1","563","3","1","254","2","2","301","1","1","97","2","0","94"
"San Bruno Ave&Wilde Ave N-FS/BZ","131","21","2160","47","2","786","39","6","596","18","1","271","16","8","309","3","4","96","8","0","102"
"San Bruno Ave&Ward St NE-FS/BZ","26","8","2178","13","3","796","4","1","599","3","0","274","4","1","312","1","1","96","1","2","101"
"San Bruno Ave&Mansell St E-NS/BZ","161","74","2265","46","41","801","50","10","639","32","13","293","27","9","330","5","1","100","1","0","102"
"San Bruno Ave&Paul Ave N-FS/BZ","375","70","2570","148","19","930","104","10","733","49","9","333","47","24","353","13","4","109","14","4","112"
"San Bruno Ave&Wayland St E-NS/BZ","132","32","2670","51","8","973","47","9","771","14","4","343","9","8","354","5","1","113","6","2","116"
"San Bruno Ave&Bacon St NE-FS/BZ","381","193","2858","112","66","1019","123","45","849","54","31","366","69","40","383","14","6","121","9","5","120"
"San Bruno Ave&Thornton Ave E-NS","175","160","2873","54","33","1040","57","62","844","26","28","364","19","33","369","7","4","124","12","0","132"
"San Bruno Ave&Silver Ave E-MB/BZ","176","199","2850","61","74","1027","58","49","853","24","30","358","18","30","357","4","11","117","11","5","138"
"Bay Shore Blvd&Silver Ave N-FS","374","77","3147","144","34","1137","115","13","955","43","9","392","42","18","381","13","2","128","17","1","154"
"Bay Shore Blvd&Boutwell St NE-FS","15","4","3158","5","2","1140","5","2","958","3","0","395","2","0","383","0","0","128","0","0","154"
"Bay Shore Blvd&Marengo St NE-FS","96","75","3179","31","39","1132","35","19","974","9","6","398","14","9","388","3","1","130","4","1","157"
"Bay Shore Blvd&Cortland Ave NE-FS","88","94","3173","21","37","1116","29","22","981","15","13","400","18","14","392","3","7","126","2","1","158"
"Bay Shore Blvd&Oakdale Ave S-NS","197","99","3271","46","41","1121","47","25","1003","30","10","420","48","8","432","12","6","132","14","9","163"
"Bayshore Blvd&Jerrold Ave S-MB","77","45","3303","16","17","1120","22","11","1014","16","6","430","13","6","439","5","1","136","5","4","164"
"Potrero Ave&25th St SE-NS/BZ","64","135","3232","18","50","1088","24","37","1001","13","16","427","6","24","421","1","7","130","2","1","165"
"Potrero Ave&24th St NE-FS/BZ","298","443","3087","80","141","1027","94","124","971","42","66","403","53","81","393","13","16","127","16","15","166"
"SF General Hospital E-MB/BZ","579","216","3450","74","71","1030","234","89","1116","137","27","513","86","20","459","34","5","156","14","4","176"
"Potrero Ave&22nd St NE-FS/BZ","349","83","3716","88","29","1089","164","26","1254","42","16","539","33","6","486","8","2","162","14","4","186"
"Potrero Ave&20th St NE-FS/BZ","85","84","3717","35","38","1086","33","10","1277","9","12","536","6","20","472","1","3","160","1","1","186"
"Potrero Ave&18th St SE-NS/BZ","84","80","3721","17","39","1064","24","16","1285","24","14","546","13","6","479","4","5","159","2","0","188"
"Potrero Ave&17th St NE-FS/BZ","50","90","3681","17","26","1055","18","24","1279","6","21","531","3","10","472","2","4","157","4","5","187"
"Potrero Ave&16th St NE-FS/BZ","295","664","3312","56","187","924","118","233","1164","58","92","497","53","95","430","8","35","130","2","22","167"
"Potrero Ave&15th St NE-FS/BZ","44","21","3335","12","8","928","7","3","1168","10","1","506","14","6","438","0","0","130","1","3","165"
"11th St&Bryant St N-FS/BZ","49","111","3273","6","17","917","14","49","1133","16","23","499","9","21","426","3","1","132","1","0","166"
"11th St&Harrison St N-FS/BZ","180","81","3372","13","22","908","79","38","1174","33","14","518","42","3","465","9","1","140","4","3","167"
"11th St&Folsom St N-FS/BZ","88","59","3401","13","12","909","35","20","1189","21","11","528","12","11","466","3","5","138","4","0","171"
"11th St&Howard St N-FS/BZ","55","84","3372","15","35","889","20","22","1187","15","17","526","4","6","464","0","2","136","1","2","170"
"11th St&Mission St N-FS","43","239","3176","7","79","817","21","101","1107","8","29","505","6","23","447","1","4","133","0","3","167"
"11th St&Market St E-NS","56","644","2588","7","195","629","20","185","942","18","110","413","6","94","359","5","25","113","0","35","132"
"Market St&9th St S-NS/SI","150","227","2511","21","69","581","62","94","910","34","32","415","23","23","359","1","7","107","9","2","139"
"Market St&8th St S-NS/SI","166","288","2389","32","56","557","69","107","872","34","56","393","22","48","333","5","9","103","4","12","131"
"Market St&7th St S-NS/SI","247","380","2256","65","84","538","89","155","806","44","60","377","25","44","314","14","20","97","10","17","124"
"Market St&6th St S-NS/SI","123","280","2099","20","69","489","50","108","748","18","48","347","17","30","301","9","18","88","9","7","126"
"Market St&5th St S-NS/SI","140","532","1707","39","95","433","49","196","601","19","84","282","12","87","226","11","32","67","10","38","98"
"Market St&4th St S-NS/SI","119","490","1336","16","95","354","59","183","477","16","91","207","18","74","170","5","30","42","5","17","86"
"Market St&3rd St S-NS/SI","40","681","695","12","159","207","11","273","215","9","108","108","6","88","88","0","22","20","2","31","57"
"Market St&New Montgomery St NS/SI","19","231","483","8","65","150","4","81","138","2","30","80","2","28","62","1","7","14","2","20","39"
"2nd St&Market St S-FS","0","23","3",,,,,,,,,,"0","8","0","0","11","3","0","4","0"
"Market St&1st St S-NS/SI","16","221","252","6","73","83","5","65","78","4","39","45","1","26","29",,,,"0","18","17"
"Market St&Beale St E-FS/BZ","3","79","176","1","28","56","1","24","55","1","13","33","0","9","20",,,,"0","5","12"
"Spear St&Market St S-FS/BB","6","104","78","4","42","18","1","31","25","0","14","19","0","8","12",,,,"1","9","4"
"Main St&Mission St N-FS/BZ","0","62","16","0","15","3","0","16","9","0","15","4","0","12","0",,,,"0","4","0"
"Total Passenger Boardings ","7320","8120",,"2038","2323",,"2487","2705",,"1167","1269",,"1044","1170",,"296","329",,"288","324",
"Subject to disclaimer at www.sfmta.com/tepdata"
,,,,,,,,,,,,,,,,,,
"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load","Midday On","Midday Off","Midday Load","School  On","School Off","School Load","PM Peak On","PM Peak Off","PM Peak Load","Evening On","Evening Off","Evening Load","Owl On","Owl Off","Owl Load"
"9-San Bruno to McLaren Park Weekday",,,,,,,,,,,,,,,,,,,,,
"Main St&Mission St N-FS/BZ","98","0","991","8","0","146","19","0","325","17","0","195","48","0","297",,,,"6","0","28"
"Market St&Battery St N-NS/SI","267","2","1256","42","0","188","93","0","418","51","0","246","77","2","372",,,,"4","0","32"
"Market St&2nd St N-NS/SI","199","4","1451","24","0","212","65","3","480","40","0","286","68","1","439",,,,"2","0","34"
"2nd St&Market St S-FS","32","0","150",,,,,,,,,,,,,"18","0","92","14","0","58"
"Market St&Kearny St N-NS/SI","260","31","1830","47","6","253","105","15","570","46","3","329","60","7","492","0","0","92","2","0","94"
"Market St&Stockton St N-NS/SI","632","97","2365","87","5","335","208","42","736","106","20","415","138","30","600","50","0","142","43","0","137"
"Market St&5th  St N-NS/SI","667","132","2900","73","15","393","204","52","888","106","19","502","165","40","725","72","3","211","47","3","181"
"Market St&Taylor St N-NS/SI","305","112","3093","49","16","426","135","48","975","52","18","536","45","21","749","10","3","218","14","6","189"
"Market St&7th St N-NS/SI","416","199","3310","70","32","464","168","79","1064","59","24","571","75","39","785","24","17","225","20","8","201"
"Market St&Hyde St N-NS/BZ","406","198","3518","66","26","504","166","80","1150","76","25","622","63","47","801","18","13","230","17","7","211"
"Market St&Larkin St E-NS/SI","181","121","3578","20","21","503","69","53","1166","42","16","648","30","25","806","8","3","235","12","3","220"
"11th St&Market St S-FS","488","225","3841","99","28","574","158","80","1244","88","50","686","93","39","860","31","16","250","19","12","227"
"11th St&Mission St S-FS/BZ","262","96","4007","30","13","591","77","38","1283","54","20","720","77","20","917","20","3","267","4","2","229"
"11th St&Howard St S-FS/BZ","67","58","4016","15","4","602","21","23","1281","11","18","713","12","11","918","5","2","270","3","0","232"
"11th St&Folsom St S-FS/BZ","50","123","3943","9","16","595","16","47","1250","7","18","702","13","31","900","2","9","263","3","2","233"
"11th St&Harrison St S-FS/BZ","144","249","3838","18","20","593","45","109","1186","26","61","667","40","51","889","7","6","264","8","2","239"
"Division St&Bryant St SE-FS","30","62","3806","2","16","579","11","21","1176","6","7","666","8","12","885","2","1","265","1","5","235"
"Potrero Ave&Alameda St NW-NS","27","74","3759","1","26","554","4","18","1162","6","5","667","14","16","883","2","5","262","0","4","231"
"Potrero Ave&16th St SW-FS/BZ","681","392","4048","82","49","587","202","163","1201","134","70","731","183","81","985","54","18","298","26","11","246"
"Potrero Ave&17th St SW-FS/BZ","26","80","3994","2","10","579","6","19","1188","8","31","708","6","14","977","2","1","299","2","5","243"
"Potrero Ave&18th St SW-FS/BZ","93","81","4006","6","16","569","25","25","1188","34","13","729","25","18","984","2","6","295","1","3","241"
"Potrero Ave&20th St SW-FS/BZ","47","121","3932","11","10","570","6","35","1159","10","26","713","13","33","964","4","12","287","3","5","239"
"Potrero Ave&21st St SW-FS/BZ","66","434","3564","17","111","476","28","209","978","10","44","679","11","43","932","0","4","283","0","23","216"
"Potrero Ave&22nd St SW-FS/BZ","160","523","3201","13","97","392","44","224","798","49","95","633","37","76","893","13","14","282","4","17","203"
"Potrero Ave&23rd St SW-FS/BZ","49","143","3107","9","11","390","11","44","765","14","28","619","14","31","876","1","18","265","0","11","192"
"Potrero Ave&24th St SW-FS/BZ","470","274","3303","83","34","439","106","74","797","94","42","671","131","78","929","42","21","286","14","25","181"
"Potrero Ave&25th St SW-FS/BZ","104","72","3335","20","10","449","26","18","805","21","11","681","26","25","930","9","7","288","2","1","182"
"228 Bay Shore Blvd W-FS/BZ","12","95","3252","2","28","423","1","26","780","6","16","671","2","9","923","1","5","284","0","11","171"
"Bay Shore Blvd&Oakdale Ave N-NS/BZ","64","194","3122","3","69","357","10","41","749","12","28","655","31","34","920","1","16","269","7","6","172"
"380 Bay Shore Blvd N-NS","11","16","3117","0","4","353","6","6","749","3","2","656","1","2","919","1","1","269","0","1","171"
"Bay Shore Blvd&Cortland Ave NW-NS","142","225","3034","20","35","338","39","66","722","25","49","632","40","52","907","10","16","263","8","7","172"
"Bay Shore Blvd&Alemany Blvd SW-FS","11","15","3030","1","3","336","2","3","721","2","3","631","6","3","910","0","2","261","0","1","171"
"Bay Shore Blvd&Augusta St NW-NS","10","47","2993","1","4","333","1","5","717","6","9","628","2","17","895","0","5","256","0","7","164"
"Bay Shore Blvd&Silver Ave W-NS","22","291","2724","4","31","306","6","38","685","7","58","577","4","121","778","0","24","232","1","19","146"
"San Bruno Ave&Silver Ave S-FS/BZ","163","333","2554","28","30","304","30","85","630","42","75","544","47","101","724","12","32","212","4","10","140"
"San Bruno Ave&Felton St W-NS/BZ","255","278","2531","38","18","324","91","98","623","45","71","518","71","81","714","6","8","210","4","2","142"
"San Bruno Ave&Bacon St SW-NS/BZ","197","467","2261","32","75","281","57","117","563","48","88","478","52","132","634","5","29","186","3","26","119"
"San Bruno Ave&Woolsey St W-NS/BZ","26","98","2189","6","9","278","9","26","546","3","13","468","8","35","607","0","12","174","0","3","116"
"San Bruno Ave&Dwight St W-NS/BZ","67","354","1902","18","43","253","9","92","463","12","75","405","21","90","538","4","37","141","3","17","102"
"San Bruno Ave&Mansell St W-NS","64","256","1710","13","66","200","10","64","409","25","50","380","11","52","497","5","18","128","0","6","96"
"San Bruno Ave&Ward St SW-MI/BZ","2","58","1654","0","4","196","0","11","398","0","15","365","1","14","484","1","9","120","0","5","91"
"San Bruno Ave&Wilde Ave W-NS/BZ","15","155","1514","3","12","187","6","43","361","3","37","331","0","46","438","1","4","117","2","13","80"
"3800 San Bruno Ave N-MB","2","40","1476","1","2","186","0","10","351","0","14","317","1","11","428","0","2","115","0","1","79"
"San Bruno Ave&Somerset St NW-NS","4","42","1438","0","2","184","0","9","342","1","11","307","2","12","418","1","8","108","0","0","79"
"Bay Shore Blvd&Arleta Ave. W-FS","132","290","1280","21","46","159","32","71","303","17","62","262","38","80","376","9","17","100","15","14","80"
"Bay Shore Blvd&Leland Ave W-FS","71","118","1233","4","20","143","29","32","300","16","35","243","21","28","369","0","2","98","1","1","80"
"Sunnydale Ave&Bay Shore Blvd NW-FS","22","54","1201","6","21","128","4","9","295","4","9","238","6","7","368","1","3","96","1","5","76"
"Sunnydale Ave&Talbert St E-NS","7","36","1172","6","4","130","0","8","287","1","8","231","0","15","353","0","0","96","0","1","75"
"Sunnydale Ave&Rutland St E-NS","9","38","1143","1","9","122","3","6","284","3","7","227","1","13","341","1","3","94","0","0","75"
"Sunnydale Ave&Cora St N-FS","3","37","1109","1","2","121","0","5","279","2","9","220","0","17","324","0","3","91","0","1","74"
"Schwerin St&Sunnydale Ave W-FS","11","148","972","2","22","101","2","24","257","1","33","188","5","55","274","1","9","83","0","5","69"
"Schwerin St&Garrison Ave N-NS","4","64","912","1","4","98","1","14","244","1","20","169","1","15","260","0","6","77","0","5","64"
"Schwerin St&Velasco Ave N-NS","6","40","878","2","4","96","4","10","238","0","11","158","0","8","252","0","5","72","0","2","62"
"Schwerin St&Geneva Ave N-NS","61","210","729","21","15","102","17","64","191","11","30","139","7","61","198","1","21","52","4","19","47"
"Geneva Ave&Rio Verde St NE-NS","39","143","625","9","17","94","18","33","176","2","30","111","6","36","168","3","13","42","1","14","34"
"Geneva Ave&Castelo St E-NS","3","21","607","0","0","94","2","5","173","0","4","107","0","7","161","0","3","39","1","2","33"
"Geneva Ave&Santos St E-NS","35","210","432","9","54","49","13","64","122","9","29","87","4","38","127","0","15","24","0","10","23"
"Santos St&Velasco Ave S-NS","9","70","371","3","9","43","1","17","106","2","10","79","2","26","103","1","4","21","0","4","19"
"Santos St&Brookdale Ave E-FS","9","130","250","1","11","33","1","32","75","1","22","58","4","43","64","0","10","11","2","12","9"
"1800 Sunnydale Ave NE-FS","1","55","196","1","5","29","0","12","63","0","15","43","0","19","45","0","2","9","0","2","7"
"1900 Sunnydale Ave NE-FS","3","67","132","0","2","27","2","22","43","0","15","28","1","22","24","0","4","5","0","2","5"
"Mclaren School NE-FS","0","0","132","0","0","27","0","0","43","0","0","28","0","0","24","0","0","5","0","0","5"
"Mclaren School SW-FS/BZ","10","113","29","0","25","2","0","40","3","0","28","0","6","15","15","2","2","5","2","3","4"
"1901 Sunnydale Ave SW-MB","2","1","25",,,,,,,,,,"2","1","16","0","0","5","0","0","4"
"1725 Sunnydale Ave SW-MB","2","0","27",,,,,,,,,,"0","0","16","1","0","6","1","0","5"
"Santos St&Brookdale Ave SW-FS","2","0","29",,,,,,,,,,"2","0","18","0","0","6","0","0","5"
"Santos St&Velasco Ave N-NS","2","0","31",,,,,,,,,,"1","0","19","0","0","6","1","0","6"
"Santos St&Geneva Ave N-NS","2","2","31",,,,,,,,,,"2","2","19","0","0","6","0","0","6"
"Geneva Ave&Castelo St SW-MI","0","0","31",,,,,,,,,,"0","0","19","0","0","6","0","0","6"
"Geneva Ave&Rio Verde St SE-FS/BZ","0","17","14",,,,,,,,,,"0","11","8","0","5","1","0","1","5"
"Total Passenger Boardings ","4863","8154",,"761","1223",,"1427","2488",,"1000","1571",,"1205","1982",,"290","514",,"180","376",
"Subject to disclaimer at www.sfmta.com/tepdata"
,,,,,,,,,,,,,,,,,,,,,

