"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load","Midday On","Midday Off","Midday Load","School  On","School Off","School Load","PM Peak On","PM Peak Off","PM Peak Load","Evening On","Evening Off","Evening Load"
"7-Haight to Mission & Main Weekday",,,,,,,,,,,,,,,,,,
"Shrader St&Haight St SE-NS","0","0","34","0","0","4","0","0","9","0","0","2","0","0","15","0","0","4"
"Haight St&Cole St SW-NS/BZ","83","0","117","47","0","51","8","0","17","2","0","4","23","0","38","3","0","7"
"Haight St&Clayton St SW-NS/BZ","77","1","193","35","0","86","5","1","21","2","0","6","33","0","71","2","0","9"
"Haight St&Masonic Ave SE-FS/BZ","169","2","360","59","1","144","13","0","34","11","0","17","74","1","144","12","0","21"
"Haight St&Buena Vista West Ave","41","4","397","19","1","162","5","1","38","4","1","20","13","0","157","0","1","20"
"Haight St&Buena Vista East Ave","29","5","421","18","1","179","3","0","41","0","0","20","8","2","163","0","2","18"
"Haight St&Divisadero St SE-FS/BZ","72","29","464","33","7","205","8","1","48","4","2","22","23","18","168","4","1","21"
"Haight St&Pierce St SW-NS/BZ","36","9","491","24","0","229","2","0","50","2","0","24","8","5","171","0","4","17"
"Haight St&Fillmore St SE-FS/BZ","45","93","443","24","7","246","2","28","24","2","4","22","17","37","151","0","17","0"
"Haight St&Buchanan St SW-NS/BZ","20","6","457","10","2","254","3","0","27","1","0","23","6","4","153",,,
"Laguna St&Haight St NE-FS/BZ","7","12","452","4","3","255","0","1","26","0","2","21","3","6","150",,,
"Page St&Octavia St SW-NS/BZ","6","3","455","5","1","259","0","0","26","0","0","21","1","2","149",,,
"Page St&Gough St SW-NS/BZ","7","7","455","3","3","259","0","0","26","2","0","23","2","4","147",,,
"Page St&Franklin St SW-NS/BZ","4","11","448","2","4","257","0","1","25","0","1","22","2","5","144",,,
"Market St&South Van Ness Av S-N/SI","37","84","401","13","49","221","3","5","23","3","4","21","18","26","136",,,
"Market St&9th St S-NS/SI","38","27","412","17","15","223","1","2","22","2","1","22","18","9","145",,,
"Market St&8th St S-NS/SI","33","57","388","13","31","205","2","1","23","2","3","21","16","22","139",,,
"Market St&7th St S-NS/SI","50","34","404","18","13","210","4","2","25","4","2","23","24","17","146",,,
"Market St&6th St S-NS/SI","25","33","396","8","7","211","0","2","23","2","3","22","15","21","140",,,
"Market St&5th St S-NS/SI","42","72","366","28","20","219","1","1","23","1","6","17","12","45","107",,,
"Market St&4th St S-NS/SI","26","69","323","9","26","202","1","6","18","3","5","15","13","32","88",,,
"Market St&3rd St S-NS/SI","16","114","225","11","63","150","0","5","13","1","5","11","4","41","51",,,
"Market St&New Montgomery St NS/SI","12","65","172","4","44","110","1","6","8","2","2","11","5","13","43",,,
"Market St&1st St S-NS/SI","8","79","101","4","55","59","0","1","7","1","4","8","3","19","27",,,
"Market St&Beale St E-FS/BZ","2","31","72","1","20","40","0","3","4","0","2","6","1","6","22",,,
"Spear St&Market St S-FS/BB","1","40","33","0","23","17","0","3","1","0","0","6","1","14","9",,,
"Mission St&Main St N-NS/BZ","0","29","4","0","14","3","0","1","0","0","5","1","0","9","0",,,
"Total Passenger Boardings ","886","916",,"409","410",,"62","71",,"51","52",,"343","358",,"21","25",
"Subject to disclaimer at www.sfmta.com/tepdata",,,,,,,,,,,,,,,,,,
"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load","Midday On","Midday Off","Midday Load","School  On","School Off","School Load","PM Peak On","PM Peak Off","PM Peak Load","Evening On","Evening Off","Evening Load"
"7-Haight to Stanyan.GG Park Weekday",,,,,,,,,,,,,,,,,,
"Mission St&Main St N-NS/BZ","21","0","29","5","0","8","6","0","7",,,,"9","0","13","1","0","1"
"Market St&Battery St N-NS/SI","60","0","89","5","0","13","7","0","14",,,,"48","0","61","0","0","1"
"Market St&2nd St N-NS/SI","39","3","125","2","0","15","2","0","16",,,,"35","3","93","0","0","1"
"Market St&Kearny St N-NS/SI","74","1","198","26","0","41","11","1","26",,,,"33","0","126","4","0","5"
"Market St&Stockton St N-NS/SI","77","13","262","7","2","46","8","4","30",,,,"56","7","175","6","0","11"
"Market St&5th  St N-NS/SI","96","30","328","12","4","54","22","10","42",,,,"58","16","217","4","0","15"
"Market St&Taylor St N-NS/SI","34","44","318","2","17","39","12","9","45",,,,"20","18","219","0","0","15"
"Market St&7th St N-NS/BZ","31","38","311","6","14","31","7","5","47",,,,"15","15","219","3","4","14"
"Market St&Hyde St N-NS/BZ","51","33","329","14","4","41","3","13","37",,,,"34","16","237","0","0","14"
"Market St&Larkin St N-NS/SI","27","22","334","6","4","43","2","6","33",,,,"19","12","244","0","0","14"
"Market St&Van Ness Ave N-NS/SI","74","45","363","7","3","47","18","9","42",,,,"49","32","261","0","1","13"
"Haight St&Gough St NW-FS/BZ","24","30","357","5","3","49","1","3","40",,,,"17","24","254","1","0","14"
"Haight St&Octavia St NW-FS","5","8","354","0","0","49","1","0","41",,,,"4","8","250","0","0","14"
"Haight St&Laguna St NW-FS/BZ","9","10","353","4","0","53","1","3","39",,,,"4","7","247","0","0","14"
"Haight St&Buchanan St NE-NS/BZ","4","26","331","0","3","50","0","3","36",,,,"4","20","231","0","0","14"
"Haight St&Fillmore St NW-FS/BZ","84","53","365","24","5","70","12","7","41","13","0","15","35","40","226","0","1","13"
"Haight St&Pierce St NE-NS/BZ","19","20","364","3","2","71","6","0","47","1","0","16","9","18","217","0","0","13"
"Haight St&Divisadero St NW-FS/BZ","40","50","354","9","7","73","5","4","48","1","0","17","25","34","208","0","5","8"
"Haight St&Baker St NE-NS/BZ","4","34","324","2","5","70","1","5","44","0","1","16","1","23","186","0","0","8"
"Haight St&Central Ave NE-NS/BZ","3","42","285","2","7","65","0","7","37","0","0","16","1","28","159","0","0","8"
"Haight St&Masonic Ave NW-FS/BZ","7","126","166","1","28","38","0","14","23","0","6","10","5","70","94","1","8","1"
"Haight St&Clayton St NE-NS/BZ","3","69","100","0","18","20","1","10","14","0","0","10","2","41","55","0","0","1"
"Haight St&Cole St NW-FS/BZ","5","56","49","1","7","14","1","9","6","2","5","7","1","35","21","0","0","1"
"Stanyan St&Waller St NW-NS/BZ","0","24","25","0","6","8","0","2","4","0","5","2","0","11","10","0","0","1"
"Total Passenger Boardings ","791","777",,"143","139",,"127","124",,"17","17",,"484","478",,"20","19",
"Subject to disclaimer at www.sfmta.com/tepdata",,,,,,,,,,,,,,,,,,

