"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load","Midday On","Midday Off","Midday Load","School  On","School Off","School Load","PM Peak On","PM Peak Off","PM Peak Load","Evening On","Evening Off","Evening Load","Owl On","Owl Off","Owl Load"
"66-Quintara to 30th Avenue & Vincent Weekday",,,,,,,,,,,,,,,,,,,,,
"9th Ave&Judah St SW-FS/BZ","239","0","251","17","0","22","62","0","64","48","0","50","82","0","83","17","0","17","13","0","15"
"9th Ave&Kirkham St NW-NS/BZ","25","2","274","10","0","32","3","0","67","3","0","53","8","2","89","1","0","18","0","0","15"
"9th Ave&Lawton St NW-NS/RC","23","3","294","13","3","42","2","0","69","1","0","54","6","0","95","1","0","19","0","0","15"
"Lawton St&11th Ave NE-NS","20","11","303","8","3","47","8","3","74","1","0","55","1","4","92","2","1","20","0","0","15"
"Lawton St&Funston Ave NE-NS","8","13","298","0","0","47","5","4","75","0","4","51","3","2","93","0","2","18","0","1","14"
"Lawton St&Lomita Ave NE-NS","3","8","293","1","1","47","1","0","76","0","2","49","1","5","89","0","0","18","0","0","14"
"16th Ave&Lawton St NW-NS","1","7","287","1","0","48","0","2","74","0","1","48","0","1","88","0","3","15","0","0","14"
"16th Ave & Lawton St. SW","3","9","281","2","0","50","1","3","72","0","1","47","0","3","85","0","1","14","0","1","13"
"16th Ave&Lomita Ave NW-NS","3","4","280","0","0","50","3","3","72","0","1","46","0","0","85","0","0","14","0","0","13"
"16th Ave&Moraga St NW-NS","0","3","277","0","0","50","0","0","72","0","0","46","0","3","82","0","0","14","0","0","13"
"Noriega St&16th Ave SE-FS","3","11","269","0","3","47","0","0","72","0","0","46","1","7","76","2","1","15","0","0","13"
"15th Ave&Noriega St SW-FS","1","13","257","0","2","45","0","1","71","0","5","41","1","3","74","0","1","14","0","1","12"
"15th Ave&Ortega St NW-NS","2","6","253","0","1","44","2","2","71","0","1","40","0","2","72","0","0","14","0","0","12"
"15th Ave&Pacheco St NW-NS","0","8","245","0","0","44","0","3","68","0","2","38","0","3","69","0","0","14","0","0","12"
"15th Ave&Quintara St NW-NS","0","7","238","0","0","44","0","3","65","0","2","36","0","1","68","0","1","13","0","0","12"
"Quintara St&17th Ave NW-FS","1","6","233","0","0","44","1","4","62","0","0","36","0","2","66","0","0","13","0","0","12"
"Quintara St&19th Ave NE-NS","13","20","226","2","2","44","4","4","62","3","4","35","3","7","62","1","1","13","0","2","10"
"Quintara St&22nd Ave NE-NS","12","29","209","4","6","42","3","12","53","5","6","34","0","2","60","0","1","12","0","2","8"
"Quintara St&24th Ave NE-NS","6","43","172","0","24","18","1","4","50","3","5","32","2","9","53","0","1","11","0","0","8"
"Quintara St&26th Ave NE-NS","2","13","161","0","1","17","1","3","48","0","1","31","1","4","50","0","4","7","0","0","8"
"Quintara St&27th Ave NE-NS","0","9","152","0","2","15","0","2","46","0","1","30","0","4","46","0","0","7","0","0","8"
"Quintara St&28th Ave NE-NS","0","5","147","0","0","15","0","1","45","0","2","28","0","2","44","0","0","7","0","0","8"
"Quintara St&29th Ave NE-NS","0","10","137","0","0","15","0","5","40","0","1","27","0","2","42","0","0","7","0","2","6"
"30th Ave&Quintara St SW-FS","6","19","124","4","3","16","1","8","33","0","2","25","1","5","38","0","1","6","0","0","6"
