"Stop","Daily On","Daily Off","Daily Load","PM Peak On","PM Peak Off","PM Peak Load"
"38AX-Geary A Express to 48th Avenue & Point Weekday",,,,,,
"Davis St&Pine St W-MB","315","0","315","315","0","315"
"Pine St&Montgomery St NE-NS","123","0","438","123","0","438"
"Geary Blvd&Collins St NE-NS/BZ","0","0","438","0","0","438"
"Geary Blvd&Spruce St NE-NS/BZ","0","0","438","0","0","438"
"Geary Blvd&Commonwealth St NW-FS","0","0","438","0","0","438"
"Geary Blvd&Arguello Blvd NE-NS/BZ","0","0","438","0","0","438"
"Geary Blvd&3rd Ave NE-NS/BZ","0","0","438","0","0","438"
"Geary Blvd&6th Ave NE-NS/BZ","0","0","438","0","0","438"
"Geary Blvd&9th Ave NW-FS/BZ","0","0","438","0","0","438"
"Geary Blvd&12th Ave NE-NS/BZ","0","0","438","0","0","438"
"Geary Blvd&17th Ave NE-NS/BZ","0","0","438","0","0","438"
"Geary Blvd&20th Ave NE-NS/BZ","0","0","438","0","0","438"
"Geary Blvd&22nd Ave NE-NS/BZ","0","0","438","0","0","438"
"Geary Blvd&25th Ave NE-NS/BZ","14","142","310","14","142","310"
"Geary Blvd&28th Ave NE-NS/BZ","3","56","257","3","56","257"
"Geary Blvd&30th Ave NE-NS/BZ","4","24","237","4","24","237"
"Geary Blvd&33rd Ave NW-FS/BZ","2","47","192","2","47","192"
"Geary Blvd&36th Ave NE-NS/BZ","1","45","148","1","45","148"
"Geary Blvd&39th Ave NW-FS/BZ","0","32","116","0","32","116"
"Point Lobos Ave&42nd Ave NE-NS/BZ","1","49","68","1","49","68"
"Point Lobos Ave&44th Ave NE-NS","0","21","47","0","21","47"
"Point Lobos Ave&46th Ave NW-FS","0","20","27","0","20","27"
"48th Ave&Point Lobos Ave SW-FS/BZ","0","26","1","0","26","1"
"Total Passenger Boardings ","463","462",,"463","462",
"Subject to disclaimer at www.sfmta.com/tepdata",,,,,,
"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load"
"38AX-Geary A Express to Davis & Pine Weekday",,,,,,
"48th Ave&Point Lobos Ave SW-FS/BZ","50","0","51","50","0","51"
"Geary Blvd&45th Ave SW-NS","45","0","96","45","0","96"
"Geary Blvd&42nd Ave SE-FS/BZ","69","0","165","69","0","165"
"Geary Blvd&39th Ave SW-NS/BZ","46","0","211","46","0","211"
"Geary Blvd&36th Ave SW-NS/BZ","55","0","266","55","0","266"
"Geary Blvd&33rd Ave SW-NS/BZ","49","8","307","49","8","307"
"33rd Ave&Geary Blvd NE-FS","8","0","315","8","0","315"
"Geary Blvd&32nd Ave SE-FS/BZ","16","0","331","16","0","331"
"Geary Blvd&30th Ave SW-NS/BZ","24","2","353","24","2","353"
"Geary Blvd&28th Ave SW-NS/BZ","54","3","404","54","3","404"
"Geary Blvd&25th Ave SW-NS/BZ","101","14","491","101","14","491"
"Bush St&Sansome St S-MB/FL","4","219","276","4","219","276"
"Sansome St&Pine St SE-NS","2","98","180","2","98","180"
"California St&Battery St SE-FS","0","65","115","0","65","115"
"Davis St&Pine St W-MB","0","114","1","0","114","1"
"Total Passenger Boardings ","523","523",,"523","523",
"Subject to disclaimer at www.sfmta.com/tepdata",,,,,,

