"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load"
"71L-Haight-Noriega Limited to Ferry Plaza Weekday",,,,,,,,,
"Haight St&Cole St NW-FS/BZ","20","37","390","2","3","31","18","34","359"
"Stanyan St&Waller St NW-NS/BZ","24","38","376","2","3","30","22","35","346"
"Frederick St&Stanyan St NW-FS/BZ","5","3","378","0","0","30","5","3","348"
"Frederick St&Willard St NW-FS/BZ","2","0","380","0","0","30","2","0","350"
"Frederick St&Arguello Blvd NE-NS","4","7","377","0","1","29","4","6","348"
"Lincoln Way&5th Ave NW-FS/BZ","0","2","375","0","0","29","0","2","346"
"Lincoln Way&7th Ave NW-FS/BZ","1","7","369","1","1","29","0","6","340"
"Lincoln Way&9th Ave NW-FS/BZ","23","22","370","1","1","29","22","21","341"
"Lincoln Way&11th Ave NW-FS/BZ","0","4","366","0","0","29","0","4","337"
"Lincoln Way&Funston Ave NW-FS/BZ","2","7","361","0","1","28","2","6","333"
"Lincoln Way&15th Ave NW-FS/BZ","0","5","356","0","0","28","0","5","328"
"Lincoln Way&17th Ave NW-FS/BZ","2","7","351","1","0","29","1","7","322"
"Lincoln Way&19th Ave NW-FS/BZ","25","33","343","1","3","27","24","30","316"
"Lincoln Way&21st Ave NW-FS/BZ","0","1","342","0","0","27","0","1","315"
"23rd Ave&Lincoln Way SW-FS","1","6","337","0","0","27","1","6","310"
"23rd Ave&Irving St SW-FS/BZ","44","24","357","5","3","29","39","21","328"
"23rd Ave&Judah St NW-NS","32","13","376","3","1","31","29","12","345"
"23rd Ave&Kirkham St NW-NS","2","5","373","0","0","31","2","5","342"
"23rd Ave&Lawton St NW-NS","3","14","362","0","2","29","3","12","333"
"23rd Ave&Moraga St NW-NS","0","26","336","0","2","27","0","24","309"
"23rd Ave&Noriega St NW-NS","4","41","299","1","3","25","3","38","274"
"Noriega St&25th Ave NE-NS","10","26","283","1","3","23","9","23","260"
"Noriega St&28th Ave NE-NS/BZ","2","21","264","0","2","21","2","19","243"
"Noriega St&31st Ave NE-NS","17","60","221","2","7","16","15","53","205"
"Noriega St&34th Ave NE-NS/BZ","5","25","201","1","1","16","4","24","185"
"Noriega St&Sunset Blvd NE-NS/BZ","5","14","192","0","1","15","5","13","177"
"Noriega St&38th Ave NE-NS","5","21","176","0","3","12","5","18","164"
"Noriega St&40th Ave NE-NS/BZ","4","19","161","1","1","12","3","18","149"
"Noriega St&42nd Ave NE-NS/BZ","2","29","134","0","2","10","2","27","124"
"Noriega St&44th Ave NW-FS/BZ","3","40","97","1","4","7","2","36","90"
"Noriega St&46th Ave NW-FS/BZ","0","45","52","0","4","3","0","41","49"
"Noriega St&48th Ave NW-FS","1","11","42","0","1","2","1","10","40"
"Ortega St&48th Ave SW-NS/BZ","0","32","10","0","2","0","0","30","10"
"Total Passenger Boardings ","1308","1313",,"100","100",,"1208","1213",
"Subject to disclaimer at www.sfmta.com/tepdata",,,,,,,,,

